config_index,status,run_name,seed,result_dir,condition,dataset,learning_rule,rule_variant,broadcast_mode,broadcast_rank,core,normalize_inputs,has_i_to_e,has_i_to_i,additive_gain_mode,dendritic_normalization,train_accuracy,valid_accuracy,test_accuracy,train_loss,valid_loss,test_loss
40,complete,cifar10_additive_5f_path_transport_s42,42,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_40,cifar10_additive_5f_path_transport,cifar10,local_ca,5f,path_transport,4.0,additive,False,True,False,none,False,0.31031110882759094,0.3084000051021576,0.31290000677108765,,,
41,complete,cifar10_additive_5f_path_transport_s43,43,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_41,cifar10_additive_5f_path_transport,cifar10,local_ca,5f,path_transport,4.0,additive,False,True,False,none,False,0.33900001645088196,0.3328000009059906,0.34039998054504395,,,
42,complete,cifar10_additive_5f_path_transport_s44,44,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_42,cifar10_additive_5f_path_transport,cifar10,local_ca,5f,path_transport,4.0,additive,False,True,False,none,False,0.3042222261428833,0.3041999936103821,0.3100999891757965,,,
43,complete,cifar10_additive_5f_path_transport_s45,45,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_43,cifar10_additive_5f_path_transport,cifar10,local_ca,5f,path_transport,4.0,additive,False,True,False,none,False,0.32075557112693787,0.32600000500679016,0.31689998507499695,,,
44,complete,cifar10_additive_5f_path_transport_s46,46,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_44,cifar10_additive_5f_path_transport,cifar10,local_ca,5f,path_transport,4.0,additive,False,True,False,none,False,0.33571112155914307,0.3296000063419342,0.33969998359680176,,,
15,complete,cifar10_additive_5f_per_soma_s42,42,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_15,cifar10_additive_5f_per_soma,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,False,0.2734222114086151,0.27160000801086426,0.27730000019073486,,,
16,complete,cifar10_additive_5f_per_soma_s43,43,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_16,cifar10_additive_5f_per_soma,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,False,0.2597777843475342,0.25599998235702515,0.2612999975681305,,,
17,complete,cifar10_additive_5f_per_soma_s44,44,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_17,cifar10_additive_5f_per_soma,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,False,0.2427111119031906,0.25619998574256897,0.24120000004768372,,,
18,complete,cifar10_additive_5f_per_soma_s45,45,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_18,cifar10_additive_5f_per_soma,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,False,0.23773333430290222,0.23819999396800995,0.23839999735355377,,,
19,complete,cifar10_additive_5f_per_soma_s46,46,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_19,cifar10_additive_5f_per_soma,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,False,0.25522223114967346,0.26019999384880066,0.258899986743927,,,
35,complete,cifar10_additive_5f_per_soma_dendritic_norm_s42,42,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_35,cifar10_additive_5f_per_soma_dendritic_norm,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,True,0.2758888900279999,0.27239999175071716,0.2708999812602997,,,
36,complete,cifar10_additive_5f_per_soma_dendritic_norm_s43,43,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_36,cifar10_additive_5f_per_soma_dendritic_norm,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,True,0.2455555647611618,0.24199999868869781,0.24409998953342438,,,
37,complete,cifar10_additive_5f_per_soma_dendritic_norm_s44,44,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/cifar10_control_ladder_20260427_20260427_151343/results/config_37,cifar10_additive_5f_per_soma_dendritic_norm,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,none,True,0.25584444403648376,0.26260000467300415,0.2507999837398529,,,
