run_dir,run_name,seed,dataset,network_type,split,analysis_scope,source_feedback,removal_fraction,parent_gain_ratio_mean,parent_gain_ratio_q50,parent_gain_ratio_q95,distal_path_gain_ratio_mean,distal_path_gain_ratio_q50,distal_path_gain_ratio_q95,parent_total_clipped_fraction,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_target_norm_ratio
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,train,all_populations,exact_soma_blockwise_per_soma,4.0,2.422029733657837,1.0,19.999998092651367,2.85068416595459,1.0,19.999998092651367,0.0507354736328125,0.44693040572314624,0.548264867067337,0.31924946606620813,0.903120025046388
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,train,all_populations,approx_direct_code_per_soma,8.0,4.335334777832031,1.0,20.0,5.377068042755127,1.0,20.0,0.16832733154296875,0.025228419356137156,0.14562013745307922,-0.049749099122815436,0.042152565755344255
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,train,all_populations,exact_soma_blockwise_per_soma,8.0,4.335334777832031,1.0,20.0,5.377068042755127,1.0,20.0,0.16832733154296875,0.39883083888734006,0.5225994944572449,0.23357290788707719,0.27388987993124375
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13785217770542282,0.14473544508218766,0.17216845928032182,0.35759521672774364
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46603779078479785,0.5732694625854492,0.4410378271760712,2.396850611812553
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,0.25,1.0106666088104248,1.0,1.0633879899978638,1.0139174461364746,1.0,1.069467544555664,0.0,0.13759108895799554,0.14459613114595413,0.17180409995107718,0.3553439952332612
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,0.25,1.0106666088104248,1.0,1.0633879899978638,1.0139174461364746,1.0,1.069467544555664,0.0,0.4661748531615117,0.5733425974845886,0.4406581836590976,2.3817613674268157
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,0.5,1.0227234363555908,1.0,1.1353559494018555,1.0296341180801392,1.0,1.1493070125579834,0.0,0.1372721257057798,0.14442593604326248,0.17137370318341616,0.35287321490137546
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,exact_soma_blockwise_per_soma,0.5,1.0227234363555908,1.0,1.1353559494018555,1.0296341180801392,1.0,1.1493070125579834,0.0,0.46629681298457293,0.5734076738357544,0.44023815044463827,2.36520048776985
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,valid,all_populations,approx_direct_code_per_soma,1.0,1.0525963306427002,1.0,1.313090443611145,1.0684934854507446,1.0,1.351024866104126,0.0,0.13639498793271435,0.14395790547132492,0.17025429264242053,0.34712782980065
