config_idx,network_type,branch_factors,depth,branch_product,ie,seed,test_acc,valid_acc,train_acc
0,dendritic_additive,"[2, 2]",2,4,0,42,0.2833999991416931,0.2784166634082794,0.28327083587646484
1,dendritic_additive,"[2, 2]",2,4,0,43,0.45249998569488525,0.4418333172798157,0.45354166626930237
10,dendritic_additive,"[2, 2]",2,4,20,43,0.5472999811172485,0.5388333201408386,0.5463541746139526
100,dendritic_shunting,"[3, 3]",2,9,20,43,0.6847999691963196,0.6708333492279053,0.6788541674613953
101,dendritic_shunting,"[3, 3]",2,9,20,44,0.7283999919891357,0.7208333015441895,0.742312490940094
102,dendritic_shunting,"[3, 3]",2,9,40,42,0.7378999590873718,0.7282499670982361,0.7380833029747009
103,dendritic_shunting,"[3, 3]",2,9,40,43,0.7568999528884888,0.7490833401679993,0.7635208368301392
104,dendritic_shunting,"[3, 3]",2,9,40,44,0.7170000076293945,0.7120833396911621,0.7208124995231628
105,dendritic_shunting,"[4, 4]",2,16,0,42,0.3449999988079071,0.3476666510105133,0.34835416078567505
106,dendritic_shunting,"[4, 4]",2,16,0,43,0.3105999827384949,0.30516666173934937,0.3099375069141388
107,dendritic_shunting,"[4, 4]",2,16,0,44,0.3840999901294708,0.38508331775665283,0.38843750953674316
108,dendritic_shunting,"[4, 4]",2,16,5,42,0.6344000101089478,0.6185833215713501,0.628250002861023
109,dendritic_shunting,"[4, 4]",2,16,5,43,0.6053999662399292,0.590499997138977,0.5995416641235352
11,dendritic_additive,"[2, 2]",2,4,20,44,0.520799994468689,0.5131666660308838,0.5202500224113464
110,dendritic_shunting,"[4, 4]",2,16,5,44,0.6092999577522278,0.5954166650772095,0.6011874675750732
111,dendritic_shunting,"[4, 4]",2,16,10,42,0.675000011920929,0.6635000109672546,0.6776458024978638
112,dendritic_shunting,"[4, 4]",2,16,10,43,0.6974999904632568,0.6813333034515381,0.6972916722297668
113,dendritic_shunting,"[4, 4]",2,16,10,44,0.7135999798774719,0.6987500190734863,0.7123958468437195
114,dendritic_shunting,"[4, 4]",2,16,20,42,0.6207000017166138,0.6129166483879089,0.6168333292007446
115,dendritic_shunting,"[4, 4]",2,16,20,43,0.6996999979019165,0.6919166445732117,0.699833333492279
116,dendritic_shunting,"[4, 4]",2,16,20,44,0.6743999719619751,0.6659166812896729,0.6727083325386047
117,dendritic_shunting,"[4, 4]",2,16,40,42,0.7164999842643738,0.7107499837875366,0.7223749756813049
118,dendritic_shunting,"[4, 4]",2,16,40,43,0.6880999803543091,0.675000011920929,0.6827083230018616
119,dendritic_shunting,"[4, 4]",2,16,40,44,0.6700999736785889,0.6552500128746033,0.6694374680519104
