dataset,network_type,strategy,rule_variant,error_broadcast_mode,split,scope,scope_type,population,stage,stage_role,family,oracle_coefficients,residual_mean,residual_std,residual_count,captured_energy_mean,captured_energy_std,captured_energy_count,cosine_mean,cosine_std,cosine_count,optimal_global_scale_mean,optimal_global_scale_std,optimal_global_scale_count,rescaled_residual_mean,rescaled_residual_std,rescaled_residual_count,rescaled_captured_energy_mean,rescaled_captured_energy_std,rescaled_captured_energy_count,exact_error_energy_mean,exact_error_energy_std,exact_error_energy_count,population_error_energy_fraction_mean,population_error_energy_fraction_std,population_error_energy_fraction_count
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,global_oracle,True,0.9990809798240662,0.0006128841745801386,5,0.0018368952521747417,0.0012242161042688143,5,0.04093657024204731,0.012951813405032512,5,1.0000000738713894,1.3029612905417415e-07,5,0.9990809798240662,0.0006128841745801386,5,0.0018368952521747417,0.0012242161042688143,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,neuron_available,False,831.4484069824218,253.15305404873936,5,-742574.6284929703,422221.1960646056,5,0.3253994405269623,0.06042753988299721,5,0.00042274363227486604,0.00013891324406428793,5,0.9438350558280945,0.02141076920812879,5,0.10880865055951076,0.0402844740948737,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,neuron_oracle,True,0.9434757113456727,0.00713088346720318,5,0.1098129025015588,0.013453649991533692,5,0.33084476590156553,0.020335019962677312,5,0.999999989742969,8.098051844950649e-08,5,0.9434757113456727,0.00713088346720318,5,0.1098129025015588,0.013453649991533692,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,neuron_x_template_oracle,True,0.42403042912483213,0.07543770158633763,5,0.8156455177197073,0.06316986048781052,5,0.9025955677032471,0.03498062909256762,5,1.0000000386271257,7.629218684717969e-08,5,0.42403042912483213,0.07543769106522567,5,0.8156455189896088,0.06316985103562373,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,rank1_svd,True,0.8256297549279769,0.12458646421371368,5,0.30591807812534877,0.19676017448656846,5,0.5313601246098208,0.17166280938217382,5,1.0,0.0,5,0.8256297549279769,0.12458646421371368,5,0.30591807812534877,0.19676017448656846,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,scalar_available,False,64.42540588378907,16.564006377253357,5,-4369.125969103514,2064.428460353037,5,0.05782819055020809,0.0670757861931063,5,0.0007922797657796084,0.000856744864692942,5,0.996506929397583,0.005856123727302351,5,0.006946504314512936,0.011627716359452351,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,submitted_mw,False,173.59861602783204,46.962488682289916,5,-31899.859761366028,14579.05993844535,5,0.5985789835453034,0.20305196649931742,5,0.0033792594799403122,0.0003064736109535031,5,0.768281614780426,0.15193091412146786,5,0.3912769582577532,0.2287919564494031,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_all,population_all,0,,all,template_oracle,True,0.9617249250411988,0.0379647423238258,5,0.07393211122672909,0.07138779404492296,5,0.25083876252174375,0.11730926947380486,5,1.0000000867920877,1.1886133600980808e-07,5,0.9617249369621277,0.03796474421365019,5,0.07393208818262523,0.07138779732589079,5,0.01835280917584896,0.014656738715972296,5,1.0000000203876132,6.389608410787738e-08,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_dendritic,population_dendritic,0,,dendritic,global_oracle,True,0.9994334697723388,0.0002594107725252395,5,0.0011326856636642902,0.0005184436364480771,5,0.032695281133055684,0.0070032773953422585,5,1.000000006586168,2.2095852556562156e-07,5,0.9994334697723388,0.0002594107725252395,5,0.0011326856636642902,0.0005184436364480771,5,0.012326126266270877,0.015240906341883733,5,0.5740626922639892,0.22439788953692988,5
mnist,dendritic_additive,local_ca,5f,per_soma,test,population_0/population_dendritic,population_dendritic,0,,dendritic,neuron_available,False,1131.7884399414063,366.76047802932806,5,-1388554.671380443,692981.7286730598,5,0.2687239497900009,0.039639387248741,5,0.00026624913154931596,0.00011288082153039948,5,0.9625059485435485,0.011687611486587417,5,0.07347301880847468,0.02239063651483836,5,0.012326126266270877,0.015240906341883733,5,0.5740626922639892,0.22439788953692988,5
