feedback,run_dir,seed,network_type,rule_variant,broadcast_mode,decoder_update_mode,test_accuracy
scalar_fallback,scalar_config_0,42,dendritic_shunting,3f,per_soma,local,0.8966999650
scalar_fallback,scalar_config_1,43,dendritic_shunting,3f,per_soma,local,0.9086999893
scalar_fallback,scalar_config_2,44,dendritic_shunting,3f,per_soma,local,0.9057999849
scalar_fallback,scalar_config_3,45,dendritic_shunting,3f,per_soma,local,0.9097999930
scalar_fallback,scalar_config_4,46,dendritic_shunting,3f,per_soma,local,0.9172999859
scalar_fallback,scalar_config_5,42,dendritic_additive,3f,per_soma,local,0.9205999970
scalar_fallback,scalar_config_6,43,dendritic_additive,3f,per_soma,local,0.9220999479
scalar_fallback,scalar_config_7,44,dendritic_additive,3f,per_soma,local,0.9072999954
scalar_fallback,scalar_config_8,45,dendritic_additive,3f,per_soma,local,0.9217000008
scalar_fallback,scalar_config_9,46,dendritic_additive,3f,per_soma,local,0.9121999741
ancestry_shared,ancestry_config_0,42,dendritic_shunting,3f,per_soma_shared,local,0.9722999930
ancestry_shared,ancestry_config_1,43,dendritic_shunting,3f,per_soma_shared,local,0.9700999856
ancestry_shared,ancestry_config_2,44,dendritic_shunting,3f,per_soma_shared,local,0.9714999795
ancestry_shared,ancestry_config_3,45,dendritic_shunting,3f,per_soma_shared,local,0.9729999900
ancestry_shared,ancestry_config_4,46,dendritic_shunting,3f,per_soma_shared,local,0.9692999721
ancestry_shared,ancestry_config_5,42,dendritic_additive,3f,per_soma_shared,local,0.9700999856
ancestry_shared,ancestry_config_6,43,dendritic_additive,3f,per_soma_shared,local,0.9709999561
ancestry_shared,ancestry_config_7,44,dendritic_additive,3f,per_soma_shared,local,0.9724999666
ancestry_shared,ancestry_config_8,45,dendritic_additive,3f,per_soma_shared,local,0.9702999592
ancestry_shared,ancestry_config_9,46,dendritic_additive,3f,per_soma_shared,local,0.9702999592
