config_idx,run_dir,network_type,branch_factors,ie,seed,valid_acc,test_acc,tag
106,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_106,dendritic_shunting,"[4, 4]",0,43,0.6490000486373901,0.6730000376701355,best_depth2_lowI_shunting
31,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_31,dendritic_additive,"[4, 4]",0,43,0.359000027179718,0.35600000619888306,best_depth2_lowI_additive
138,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_138,dendritic_shunting,"[3, 3, 3]",5,42,0.6230000257492065,0.6380000114440918,best_depth3_midI_shunting
63,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_63,dendritic_additive,"[3, 3, 3]",5,42,0.34700000286102295,0.3160000145435333,best_depth3_midI_additive
99,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_99,dendritic_shunting,"[3, 3]",20,42,0.34700000286102295,0.3160000145435333,highI_collapse_shunting
25,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_25,dendritic_additive,"[3, 3]",20,43,0.359000027179718,0.35600000619888306,highI_match_additive
87,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_87,dendritic_shunting,"[2, 2]",40,42,0.34700000286102295,0.3160000145435333,very_highI_collapse_shunting
12,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/noise_resilience_morphology_ie_regime_20260402004716/results/config_12,dendritic_additive,"[2, 2]",40,42,0.34700000286102295,0.3160000145435333,very_highI_match_additive
