group,phi_clamp_min,phi_clamp_max,ema_alpha,train_accuracy_mean,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_accuracy_count,valid_accuracy_mean,valid_accuracy_std,valid_accuracy_min,valid_accuracy_max,valid_accuracy_count,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_count,display_label,plot_order
baseline,0.25,4.0,0.1,0.9284374912579855,0.005169566718217226,0.9244999885559082,0.934291660785675,3,0.9183333118756613,0.004918786828364129,0.9133332967758179,0.9231666326522827,3,0.9209999839464823,0.00823952837445991,0.9157999753952026,0.9304999709129333,3,"default clamp
[0.25, 4.0]",0
clamp_tight,0.5,2.0,0.1,0.9307708342870077,0.0026844315707127953,0.9282083511352539,0.9335625171661377,3,0.9194722175598145,0.004631793867948545,0.9160833358764648,0.9247499704360962,3,0.9253333210945129,0.00317540280456564,0.9235000014305115,0.9289999604225159,3,"tight clamp
[0.5, 2.0]",1
clamp_wide,0.1,8.0,0.1,0.9269513885180155,0.010162436434692513,0.9193750023841858,0.9384999871253967,3,0.9190555413564047,0.009672516324701301,0.909583330154419,0.9289166331291199,3,0.9214332898457845,0.008738616380514843,0.9134999513626099,0.9307999610900879,3,"wide clamp
[0.1, 8.0]",2
ema_alpha_005,0.25,4.0,0.05,0.9254652460416158,0.007377594078820837,0.9203124642372131,0.9339166283607483,3,0.9155555566151937,0.006945406182684618,0.9097499847412109,0.9232500195503235,3,0.9207333127657572,0.0066161337533083755,0.9143999814987183,0.9275999665260315,3,EMA alpha 0.05,3
ema_alpha_020,0.25,4.0,0.2,0.9250624775886536,0.009317530558180383,0.9147499799728394,0.9328749775886536,3,0.9161111116409302,0.00730406689637039,0.9077500104904175,0.9212499856948853,3,0.922166645526886,0.006300267126643614,0.9158999919891357,0.9284999966621399,3,EMA alpha 0.20,4
