run_dir,dataset,network_type,strategy,branch_factors,ie_value,seed,test_accuracy,source,weight_transform,checkpoint,population,parent_stage,n_couplings,coupling_mean,coupling_std,coupling_min,coupling_q05,coupling_q50,coupling_q95,coupling_max,coupling_rms,fraction_below_1em06,fraction_below_1em04,fraction_below_1em03,fraction_below_1em02
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_12,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,44,0.9203999638557434,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_12/main_network/standard_best_model.pt,0,3,60,16.520767211914062,0.9830535054206848,14.51921558380127,14.99682331085205,16.54021453857422,17.96816062927246,18.433687210083008,16.54998779296875,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,45,0.9128999710083008,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13/main_network/standard_best_model.pt,0,1,540,15.988783836364746,0.8836626410484314,13.873841285705566,14.58517837524414,15.9475679397583,17.515913009643555,18.18065643310547,16.01318359375,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,45,0.9128999710083008,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13/main_network/standard_best_model.pt,0,2,180,16.016407012939453,0.8431434035301208,14.16403579711914,14.715356826782227,15.934447288513184,17.284299850463867,18.080690383911133,16.03858184814453,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,45,0.9128999710083008,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_13/main_network/standard_best_model.pt,0,3,60,16.460468292236328,0.7569144368171692,14.552092552185059,15.187281608581543,16.527027130126953,17.64700698852539,17.90850830078125,16.477861404418945,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,46,0.918899953365326,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14/main_network/standard_best_model.pt,0,1,540,16.01218605041504,0.8576416969299316,13.983814239501953,14.673482894897461,15.988655090332031,17.454370498657227,18.446826934814453,16.035137176513672,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,46,0.918899953365326,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14/main_network/standard_best_model.pt,0,2,180,16.039857864379883,0.7943766117095947,14.367971420288086,14.677173614501953,15.993188858032227,17.371320724487305,17.782827377319336,16.05951690673828,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14,mnist,dendritic_shunting,standard,"[3, 3, 3]",10,46,0.918899953365326,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_14/main_network/standard_best_model.pt,0,3,60,16.509756088256836,0.9009997844696045,14.678378105163574,14.930721282958984,16.506290435791016,17.807464599609375,18.350557327270508,16.53432273864746,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,42,0.9125999808311462,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15/main_network/standard_best_model.pt,0,1,1620,16.051321029663086,0.811892569065094,13.924111366271973,14.771007537841797,16.029346466064453,17.310142517089844,18.469701766967773,16.071840286254883,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,42,0.9125999808311462,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15/main_network/standard_best_model.pt,0,2,540,16.058259963989258,0.8546665906906128,14.316411018371582,14.723798751831055,16.05624008178711,17.46219253540039,18.061189651489258,16.08098602294922,0.0,0.0,0.0,0.0
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,42,0.9125999808311462,depth_scaling,softplus,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_depth_scaling_v2_20260225184411/results/config_15/main_network/standard_best_model.pt,0,3,180,16.121639251708984,0.8775311708450317,14.288504600524902,14.778962135314941,16.18839454650879,17.4875431060791,18.66269302368164,16.1455020904541,0.0,0.0,0.0,0.0
