dataset,network_type,ie_value,n_runs,factorization_weighted_cosine_mean,factorization_weighted_cosine_std,factorization_weighted_scale_mismatch_mean,factorization_weighted_scale_mismatch_std,path_gain_cv_mean_mean,path_gain_cv_mean_std,scalar_weighted_cosine_mean,scalar_weighted_cosine_std,scalar_weighted_scale_mismatch_mean,scalar_weighted_scale_mismatch_std,per_soma_weighted_cosine_mean,per_soma_weighted_cosine_std,per_soma_weighted_scale_mismatch_mean,per_soma_weighted_scale_mismatch_std,path_factor_scalar_weighted_cosine_mean,path_factor_scalar_weighted_cosine_std,path_factor_scalar_weighted_scale_mismatch_mean,path_factor_scalar_weighted_scale_mismatch_std,path_transport_weighted_cosine_mean,path_transport_weighted_cosine_std,path_transport_weighted_scale_mismatch_mean,path_transport_weighted_scale_mismatch_std,path_transport_cosine_gain_mean,path_transport_cosine_gain_std,path_factor_scale_gain_mean,path_factor_scale_gain_std,per_soma_over_scalar_cosine_gain_mean,per_soma_over_scalar_cosine_gain_std,test_accuracy_mean,test_accuracy_std,valid_accuracy_mean,valid_accuracy_std,train_accuracy_mean,train_accuracy_std
mnist,dendritic_additive,0,5,1.0000003602436394,5.064807757586755e-07,4.727040588456263e-09,1.0480520622697216e-08,0.9028986773840435,0.185360994310916,0.00697792681077352,0.02651819483086882,1.0394418516410542,0.16505371905097976,0.09698022063821551,0.01886858177648132,1.146843407038428,0.16147166923477557,-0.027184366979278042,0.219663009431604,1.4563372648418136,0.19745670309042188,0.9573329879687382,0.030403605614652697,0.48762640553102876,0.0277332811833667,0.8603527673305227,0.014452900908385764,-0.3094938578033857,0.2601757941874675,0.090002293827442,0.01638132884315989,0.739199984073639,0.02936597645959941,0.7311499834060669,0.028182427959561364,0.7351791620254516,0.029593579073972455
mnist,dendritic_additive,5,5,1.0000000983723567,6.171363689368028e-08,9.463333914444022e-09,1.2972628458963972e-08,1.1614664752041088,0.03221780931306202,0.08925430250282465,0.0654330293031193,1.254055003390357,0.30731904707956753,0.14946304172850572,0.05700168136880786,1.3403645690975503,0.30796819248523627,0.34596406754392844,0.2537508231764119,0.6470372897762634,0.23728129103680357,0.9365067839622497,0.06448140995755201,0.5613198185418043,0.06412241221160025,0.7870437422337441,0.07811188134917862,0.693327279321287,0.47800049561821545,0.06020873922568106,0.017896112472431232,0.9005199909210205,0.013634943533781696,0.894599997997284,0.013573786439024208,0.9075208067893982,0.013105929552277785
mnist,dendritic_additive,10,5,1.0000001161777723,7.824075297806362e-08,1.3202483585871229e-08,5.7802805746776585e-09,1.0647596763347185,0.05190297196366423,0.055261189397424394,0.06034835326899733,1.3391541427072968,0.189523813757476,0.11770596592328866,0.05680535011589759,1.428439343891516,0.1797763691689429,0.06581954749730916,0.33312800052727554,0.7719646819092257,0.23196538057403748,0.9462066907149096,0.04357940126859368,0.509750185968449,0.05938309034245535,0.8285007247916208,0.0750447803663836,0.6564746619822903,0.40512312902085545,0.062444776525864255,0.0047169086907337095,0.9091999769210816,0.008457246828227587,0.9044166564941406,0.008229577012073401,0.9176458120346069,0.006884190651765346
mnist,dendritic_additive,20,5,1.0000002040651819,8.896095791976404e-08,6.79599225605974e-09,5.153873926359475e-09,1.0139530096622564,0.03667689481768377,0.11661907617862403,0.02159684276170149,1.7095087589128588,0.20848312680406925,0.17534304329982167,0.02300736587151071,1.7766238499048623,0.20716666422485835,0.5343707637144969,0.1321365946734115,0.5724111087835959,0.05231717324591306,0.957876773063953,0.013376832031055946,0.5052350665141188,0.11193109355851888,0.7825337297641315,0.020400436963211588,1.2042127411212664,0.22808114524474923,0.05872396712119764,0.010003134215853445,0.9126599788665771,0.005252902357856991,0.9076833128929138,0.004101743179338823,0.9247958183288574,0.005678718833296907
mnist,dendritic_additive,40,5,1.000000235328179,1.6628550190561457e-07,4.631508484987421e-09,4.103857354708745e-09,0.9689682956242718,0.056940688945023285,0.06097052585906704,0.061137990451584044,1.6123229560615264,0.2541640604986598,0.13033517311112233,0.06413952110098678,1.689161965846175,0.247102500761193,0.05761187314414061,0.39848665583892867,0.7094166543427821,0.2442922258131271,0.9465767154326805,0.026776084657531243,0.4460840740479465,0.07418454514263541,0.8162415423215583,0.0651105794764631,0.9797453115033928,0.4485765176562297,0.0693646472520553,0.019109109548577117,0.9061599612236023,0.012380954239082162,0.9026166439056397,0.012800366116622698,0.9209708213806153,0.014237483275533517
mnist,dendritic_shunting,0,5,1.0000004167389718,1.0514702481737534e-07,1.0818901913380882e-08,1.4968040089596394e-08,0.432616430517723,0.028753363197008965,0.04615791576126446,0.0432330325155199,5.06754034576028,0.17805661930097225,0.11643796544522042,0.04108485564343503,5.185400563278649,0.1743987249158857,0.18190984846307676,0.28307876750870703,0.37827905734490586,0.18057192837916852,1.0000014470173764,1.073792377955989e-06,1.8061799922018031,3.6966180861883684e-08,0.8835634815721558,0.04108449565319906,4.807121505933742,0.09869201069382016,0.07028004968395596,0.021254599379158103,0.834719979763031,0.010805634649231727,0.8315333127975464,0.011487540780341879,0.8383458256721497,0.011986007542362658
mnist,dendritic_shunting,5,5,1.00000023532438,7.765942227279792e-08,1.1274153473494766e-08,9.271710042802951e-09,0.2289362967499109,0.013219773267645684,0.16742513493563121,0.06936022030650371,1.3342874456500868,0.10483527130170014,0.2278057436816967,0.07562448861228158,1.4006171546914434,0.10192296852357632,0.3214001013825719,0.2100457808637057,1.0271517424601275,0.13499090140562092,1.0000013314760647,3.174841144816285e-07,1.8061799975427806,3.0763749689115254e-08,0.772195587794368,0.07562466048458362,0.3734654122313157,0.04267978215887764,0.06038060874606551,0.01663070336720921,0.9050399780273437,0.00590194075210781,0.8989166617393494,0.0029854914278768956,0.9130374789237976,0.006439471199858778
mnist,dendritic_shunting,10,5,1.0000001399854401,1.4589314299926336e-07,1.2221940935462675e-08,5.62303980160251e-09,0.2458121889592218,0.039261932363799136,0.17829360956182844,0.05601611253618935,1.4054952263702003,0.0540113668944507,0.22964261833291788,0.050567076878702995,1.4594307620836577,0.058124357912533696,0.39394360431111775,0.17757709261035703,1.1233568825595899,0.10619292265234749,1.0000004759201637,2.1354359491359013e-07,1.8061799749269043,2.0906410420036012e-08,0.7703578575872458,0.05056703300463538,0.3360738795240677,0.1168811752743771,0.05134900877108942,0.014236133629233715,0.9125199794769288,0.0019344246011465183,0.9075166583061218,0.00591795538627751,0.9234583377838135,0.0046320062140934835
mnist,dendritic_shunting,20,5,1.000000238302713,1.4742307484520022e-07,1.327555788972449e-08,1.2589437575972845e-08,0.24084229710415056,0.03318368167588785,0.1863098796170491,0.07039474132344872,1.500476042684706,0.16945659000598204,0.2526407328362648,0.062349694484612105,1.559785014443713,0.15146304506707775,0.46433633531515406,0.14409337301453856,1.1923989499393224,0.1830411068927106,1.0000008949866661,4.599895401025189e-07,1.8061799898478625,2.378848304121142e-08,0.7473601621504014,0.06234960287234304,0.3673860645043908,0.1548374849053217,0.0663308532192157,0.018606266474116305,0.9116799831390381,0.004049927647683262,0.9078166604042053,0.003879873448904722,0.9297541618347168,0.008314950698983324
mnist,dendritic_shunting,40,5,1.0000003603763683,1.0121678863914714e-07,1.564670737749993e-08,1.5660152043402823e-08,0.21431633290699428,0.017841921487349522,0.1346660023555159,0.091784898105412,1.3514923773196843,0.163654840997584,0.19502013450345163,0.07763049366411465,1.413987618339312,0.14818525802260876,0.2672825776828597,0.2789010377731491,1.1099985345438341,0.08281927444803962,1.0000009903540978,3.1386139015793326e-07,1.8061799747021214,3.896229147435164e-08,0.8049808558506462,0.07763066564136997,0.30398908379547795,0.07221077697726211,0.060354132147935745,0.016596798199874606,0.918619966506958,0.0029252365144339073,0.9169999837875367,0.003000572641195731,0.9387208104133606,0.006808672197915601
noise_resilience,dendritic_additive,0,5,1.0000021251903217,1.5796095485038514e-06,6.285599195404455e-09,1.4013823751366315e-08,0.8100168297295325,0.14154128143907604,0.0556988821508219,0.03220086672313989,1.582346923963901,0.30258477345967,0.12450544670797307,0.03191004354916139,1.6825202952784166,0.29875187697605127,0.3957118660426483,0.23038127284747018,1.1010326983426122,0.1387817312811584,0.9654693236717812,0.020941736858312385,0.5075063920196854,0.029053699432045037,0.840963876963808,0.03936205630200793,0.5814875969358043,0.4041556793435455,0.06880656455715119,0.00971491850420097,0.6676199913024903,0.03534581754286023,0.6670666575431824,0.03794602431339082,0.6816041588783264,0.03846815532689819
noise_resilience,dendritic_additive,5,5,1.0000012747188372,8.713392500643252e-07,1.3517378562876726e-08,1.1828516260215337e-08,0.9515920574780162,0.1096135784050404,0.14855117734808182,0.05059777463715944,1.8804768579709408,0.23357236525095537,0.19354967090945974,0.038590924602346886,1.9484856838005378,0.21601214115893513,0.5016896843910217,0.2245510190734554,0.7861899326553188,0.23929710916177577,0.9468882936697739,0.050724942926513784,0.4825076707252518,0.0570400593937954,0.7533386227603142,0.07007355696487139,1.162295751145219,0.44208853178123,0.04499849356137788,0.013853126816197724,0.814419972896576,0.007183099710238472,0.809333324432373,0.009074934860150872,0.8330708265304565,0.016034363720064105
