checkpoint,seed,network_type,branch_numel_weighted_cosine,branch_norm_ratio,branch_macro_cosine,soma_exact_bp_energy_fraction
add_42,42,dendritic_additive,-0.0014679914,0.0700563095,-0.0053283075,0.1780987784
add_43,43,dendritic_additive,0.0421055532,0.1005179661,0.0586316896,0.1231503202
add_44,44,dendritic_additive,0.0484161992,0.1205550195,0.0720121709,0.0904664833
shunt_42,42,dendritic_shunting,0.1603877284,0.2402207921,0.1998845641,0.0023302926
shunt_43,43,dendritic_shunting,0.1666338655,0.3012678139,0.1988534388,0.0020913051
shunt_44,44,dendritic_shunting,0.1526381073,0.2415572129,0.3146550715,0.0017024464
