dataset,network_type,error_broadcast_mode,ie_value,mean,std
cifar10,dendritic_additive,per_soma,2,0.0999999940395355,0.0
cifar10,dendritic_additive,per_soma,5,0.0999999940395355,0.0
cifar10,dendritic_additive,per_soma,10,0.0999999940395355,0.0
cifar10,dendritic_additive,per_soma,20,0.0999999940395355,0.0
cifar10,dendritic_additive,scalar,2,0.0999999940395355,0.0
cifar10,dendritic_additive,scalar,5,0.0999999940395355,0.0
cifar10,dendritic_additive,scalar,10,0.0999999940395355,0.0
cifar10,dendritic_additive,scalar,20,0.0999999940395355,0.0
cifar10,dendritic_shunting,per_soma,2,0.11339999549090857,0.01681764814374544
cifar10,dendritic_shunting,per_soma,5,0.1417499985545873,0.023108512174229462
cifar10,dendritic_shunting,per_soma,10,0.16042499616742129,0.010780960976141304
cifar10,dendritic_shunting,per_soma,20,0.16502499952912328,0.003753552503111583
cifar10,dendritic_shunting,scalar,2,0.1146999970078468,0.01895591541195847
cifar10,dendritic_shunting,scalar,5,0.1353749949485063,0.020616882331872442
cifar10,dendritic_shunting,scalar,10,0.16072499752044675,0.011042759361807002
cifar10,dendritic_shunting,scalar,20,0.16027499362826345,0.00969136230653606
mnist,dendritic_additive,per_soma,2,0.1157499980181455,0.004499997943639798
mnist,dendritic_additive,per_soma,5,0.11077499948441975,0.005449999123811701
mnist,dendritic_additive,per_soma,10,0.11037499830126755,0.006250001490116099
mnist,dendritic_additive,per_soma,20,0.11037499830126755,0.006250001490116099
mnist,dendritic_additive,scalar,2,0.10732499882578843,0.012350000441074349
mnist,dendritic_additive,scalar,5,0.11067499779164786,0.005650002509355502
mnist,dendritic_additive,scalar,10,0.11037499830126755,0.006250001490116099
mnist,dendritic_additive,scalar,20,0.11037499830126755,0.006250001490116099
mnist,dendritic_shunting,per_soma,2,0.3655499890446663,0.04916783809245479
mnist,dendritic_shunting,per_soma,5,0.35207498073577875,0.029979257949326224
mnist,dendritic_shunting,per_soma,10,0.3234749883413314,0.04125298198126867
mnist,dendritic_shunting,per_soma,20,0.2830999940633774,0.04343969364245948
mnist,dendritic_shunting,scalar,2,0.3303249850869179,0.034993746366567775
mnist,dendritic_shunting,scalar,5,0.33969999104738235,0.04762610456485822
mnist,dendritic_shunting,scalar,10,0.3027999922633171,0.025138144227280612
mnist,dendritic_shunting,scalar,20,0.2715499848127365,0.025517769413119777
