source,dataset,network_type,strategy,branch_factors,ie_value,population,parent_stage,test_accuracy_mean,test_accuracy_std,test_accuracy_count,n_couplings_mean,n_couplings_std,n_couplings_count,coupling_mean_mean,coupling_mean_std,coupling_mean_count,coupling_std_mean,coupling_std_std,coupling_std_count,coupling_min_mean,coupling_min_std,coupling_min_count,coupling_q05_mean,coupling_q05_std,coupling_q05_count,coupling_q50_mean,coupling_q50_std,coupling_q50_count,coupling_q95_mean,coupling_q95_std,coupling_q95_count,coupling_max_mean,coupling_max_std,coupling_max_count,coupling_rms_mean,coupling_rms_std,coupling_rms_count,fraction_below_1em06_mean,fraction_below_1em06_std,fraction_below_1em06_count,fraction_below_1em04_mean,fraction_below_1em04_std,fraction_below_1em04_count,fraction_below_1em03_mean,fraction_below_1em03_std,fraction_below_1em03_count,fraction_below_1em02_mean,fraction_below_1em02_std,fraction_below_1em02_count
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3, 3]",10,0,1,0.2972799926996231,0.10477712304632797,5,1620.0,0.0,5,2.5286413431167603,1.0658836425908704,5,0.625454106926918,0.4096681134669472,5,0.8401032507419586,0.49617488797585824,5,1.4765019297599793,0.7948368597527588,5,2.5404162406921387,1.0580293233660807,5,3.5402591228485107,1.6171640236990177,5,4.194404554367066,2.033330492565529,5,2.6171393394470215,1.106204431365743,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3, 3]",10,0,2,0.2972799926996231,0.10477712304632797,5,540.0,0.0,5,2.4770140171051027,0.8103762700887536,5,0.5390557438135147,0.31844715481862784,5,0.9430867671966553,0.26154477181326446,5,1.5739203929901122,0.4249213394142764,5,2.4768078565597533,0.8114226525951224,5,3.3301453590393066,1.3065128522896854,5,3.986884021759033,1.713161944499087,5,2.540856885910034,0.849058555321551,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3, 3]",10,0,3,0.2972799926996231,0.10477712304632797,5,180.0,0.0,5,2.269456386566162,0.5386767062897813,5,0.5142444491386413,0.33285625845703465,5,1.1046664714813232,0.27569368737657163,5,1.4534952163696289,0.20055922485471897,5,2.2538346529006956,0.5859297754452563,5,3.159182810783386,1.0460741562385616,5,3.6092933654785155,1.3664606113894702,5,2.3379714250564576,0.5804555893058404,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3, 3]",10,0,4,0.2972799926996231,0.10477712304632797,5,60.0,0.0,5,1.5600621700286865,0.3901886282401888,5,1.1132633209228515,0.3594865427332098,5,0.2134985864162445,0.14272972822874275,5,0.2766009449958801,0.10530409975516677,5,1.404039239883423,0.5107029621511463,5,3.3006733894348144,0.9962617309849436,5,4.2583554744720455,1.5859110132892944,5,1.9175626993179322,0.5259335096227599,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3]",10,0,1,0.36335999369621275,0.09463037363617258,5,540.0,0.0,5,2.0317835807800293,0.9608197371541752,5,0.5741883218288422,0.33567263104307377,5,0.7511619687080383,0.2165331851006366,5,1.189518892765045,0.49446716876352953,5,1.9661091327667237,0.9725801911524177,5,3.0592623710632325,1.4126582103182699,5,3.701970911026001,1.686661621172648,5,2.120176076889038,0.9945918072056277,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3]",10,0,2,0.36335999369621275,0.09463037363617258,5,180.0,0.0,5,2.2739739179611207,0.6170111100956613,5,0.597966930270195,0.35853853056316176,5,1.089291262626648,0.16206251972932054,5,1.3811470031738282,0.20888114756034884,5,2.2187507152557373,0.5573078738617199,5,3.2303423404693605,1.2089238044101185,5,3.6960003852844237,1.5134271153302812,5,2.3591843605041505,0.6802320874253932,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3]",10,0,3,0.36335999369621275,0.09463037363617258,5,60.0,0.0,5,1.7314526796340943,0.40821980878897557,5,1.3051798939704895,0.45474041843686736,5,0.17292111590504647,0.11167978278319463,5,0.23387911468744277,0.1038386729350441,5,1.450434958934784,0.47327650191478826,5,3.912076711654663,1.2119909244900406,5,4.314275074005127,1.5314963081309045,5,2.1715652465820314,0.5963153351692079,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3]",10,0,1,0.46511998772621155,0.05233228057572416,5,180.0,0.0,5,2.6913796424865724,0.5883096668193769,5,1.0809338808059692,0.19497089414809296,5,0.6144718825817108,0.1494574601493639,5,0.9972296953201294,0.23502178848341204,5,2.680875539779663,0.6636953371217402,5,4.405397176742554,0.7834287573893204,5,5.194375801086426,0.7066146639723823,5,2.9024105787277223,0.607507879987775,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3]",10,0,2,0.46511998772621155,0.05233228057572416,5,60.0,0.0,5,1.9866512775421143,0.22935284139769085,5,1.6060362815856934,0.18788558810461817,5,0.08094111159443855,0.03152564893440709,5,0.13592509403824807,0.06221984026534695,5,1.6387486219406129,0.47701223429152395,5,4.884759998321533,0.45928187151024064,5,5.5927125930786135,0.7136779566588445,5,2.5562800407409667,0.27814392360408957,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,[9],10,0,1,0.5491999864578248,0.054160553284196625,5,180.0,0.0,5,2.555819034576416,0.30235835442481956,5,2.1704889059066774,0.19783159150897453,5,0.041706982254982,0.011353510567301843,5,0.05873385965824127,0.014332907246463973,5,2.3405869007110596,0.7441291905132068,5,5.672041416168213,0.518956645363179,5,6.179451751708984,0.7103308422178048,5,3.354251003265381,0.34763563110351836,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3, 3]",10,0,1,0.910099983215332,0.003163060196035406,5,1620.0,0.0,5,0.8618112206459045,0.015211348261402838,5,0.2721163988113403,0.009844926237763882,5,0.3545500338077545,0.005465504194595327,5,0.5045000612735748,0.021789830159254103,5,0.8183351516723633,0.01062498177231848,5,1.3776127338409423,0.02833758744462308,5,2.191483974456787,0.1660699609072132,5,0.903795862197876,0.015068938693903274,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3, 3]",10,0,2,0.910099983215332,0.003163060196035406,5,540.0,0.0,5,1.2000208616256713,0.024825384671840704,5,0.49944555163383486,0.016407257453769242,5,0.35880531668663024,0.024397662474062658,5,0.5224900245666504,0.027358511575906054,5,1.1484531164169312,0.04056201068246678,5,2.096826267242432,0.03139083048599973,5,2.734629249572754,0.26130148048763596,5,1.2999611139297484,0.019541209692738898,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3, 3]",10,0,3,0.910099983215332,0.003163060196035406,5,180.0,0.0,5,1.711080265045166,0.02527328124467754,5,0.5101865887641907,0.040273423676006954,5,0.5153660356998444,0.05699938966902292,5,0.8162821531295776,0.10770725400677472,5,1.7447693586349486,0.04592345574735548,5,2.487144184112549,0.05558943915340233,5,3.0695928573608398,0.2891049807830626,5,1.785925602912903,0.021342203009999405,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3, 3]",10,0,4,0.910099983215332,0.003163060196035406,5,60.0,0.0,5,2.14756064414978,0.02952668941124935,5,0.2918888866901398,0.032723091562041166,5,1.399874782562256,0.17515512012906376,5,1.6387505292892457,0.12827396917191797,5,2.17684383392334,0.0409182050150749,5,2.5960933685302736,0.0822819715215893,5,2.7296427726745605,0.10839815912079626,5,2.1675204277038573,0.02795317014184975,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3]",10,0,1,0.9055999755859375,0.003633870311053519,5,540.0,0.0,5,1.371144986152649,0.028200439292737675,5,0.4592705249786377,0.005988274509141155,5,0.4418092668056488,0.04718298823565019,5,0.6725579619407653,0.03586505462511628,5,1.3431297540664673,0.010823825434928474,5,2.148567771911621,0.04045701925631461,5,2.772019624710083,0.07392966309009812,5,1.4460394620895385,0.02745065928591283,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3]",10,0,2,0.9055999755859375,0.003633870311053519,5,180.0,0.0,5,1.8296536207199097,0.024978162152899396,5,0.43489280343055725,0.035587152311916996,5,0.6717700302600861,0.19286217940990838,5,1.060817503929138,0.10729612375103378,5,1.8718136310577393,0.014874142274125594,5,2.4911288261413573,0.07448964686763336,5,2.9589800357818605,0.25243727453449105,5,1.8808839082717896,0.026279959360284495,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3]",10,0,3,0.9055999755859375,0.003633870311053519,5,60.0,0.0,5,2.1108378887176515,0.028444954855967586,5,0.2500834345817566,0.029356825136918764,5,1.5031491994857789,0.1315434736393185,5,1.689418911933899,0.11387810892555632,5,2.130975294113159,0.02352556053703126,5,2.495194911956787,0.02277885346891947,5,2.64273943901062,0.05093676904381242,5,2.1257792472839356,0.02686310207116255,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3]",10,0,1,0.897499966621399,0.002432086917257954,5,180.0,0.0,5,1.744938564300537,0.02965635280683676,5,0.49652692675590515,0.008079127557558527,5,0.6023354887962341,0.1051668160019314,5,0.958353066444397,0.07603488152364897,5,1.729114842414856,0.03968933948368482,5,2.5421095371246336,0.06871674882099364,5,3.09315767288208,0.23432064696159743,5,1.8142282724380494,0.029182598164951622,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3]",10,0,2,0.897499966621399,0.002432086917257954,5,60.0,0.0,5,2.0841343879699705,0.009019798360375786,5,0.31908518075942993,0.03541432824602072,5,1.29820396900177,0.10506211890731437,5,1.6045199155807495,0.07874226682553258,5,2.0702953815460203,0.019082680334354795,5,2.6143784046173097,0.04606336176438219,5,2.7851861000061033,0.05797665273852893,5,2.1086591720581054,0.008403783510392976,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_additive,standard,[9],10,0,1,0.9036199808120727,0.005749960093867324,5,180.0,0.0,5,1.504909086227417,0.013672933159930279,5,0.4828625023365021,0.01800357180511077,5,0.48716755509376525,0.08725068199277985,5,0.7280089378356933,0.047397159110491534,5,1.5036962747573852,0.023043989127161563,5,2.2997440338134765,0.05851162266178774,5,2.7297130584716798,0.15907010809328972,5,1.5805595159530639,0.013601913957265723,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3, 3]",10,0,1,0.5738399744033813,0.04189501856616093,5,1620.0,0.0,5,15.992912673950196,0.028665226215896088,5,1.4813863277435302,0.1932665754494513,5,12.24762191772461,0.6181861363770339,5,13.718882179260254,0.2949568939846058,5,15.925564193725586,0.06968959762525108,5,18.46805419921875,0.39452301951088115,5,20.30312843322754,0.6239130699683941,5,16.062299728393555,0.03174598461665958,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3, 3]",10,0,2,0.5738399744033813,0.04189501856616093,5,540.0,0.0,5,15.992689895629884,0.056401595981052696,5,1.5240198373794556,0.18060358193677722,5,12.551057624816895,0.37542244268933606,5,13.602272605895996,0.33722695293922983,5,15.988298416137695,0.13193670380076425,5,18.457120513916017,0.2625650937562832,5,19.691656494140624,0.4968877656998313,5,16.065958976745605,0.0543368539166183,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3, 3]",10,0,3,0.5738399744033813,0.04189501856616093,5,180.0,0.0,5,16.039841651916504,0.048743877569901777,5,1.3151277303695679,0.15653463626186057,5,12.870183753967286,0.38894516475231616,5,13.96771183013916,0.2575198369596498,5,16.038448333740234,0.11123703668213535,5,18.072504806518555,0.2812017609388385,5,19.366120910644533,0.6573244464317232,5,16.094277954101564,0.04733576445349035,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3, 3]",10,0,4,0.5738399744033813,0.04189501856616093,5,60.0,0.0,5,16.29566764831543,0.06913853388190264,5,2.0242144584655763,0.3161445069485216,5,12.066083526611328,0.7310156212355726,5,13.297062492370605,0.6614978944606729,5,16.35060691833496,0.1428232961575707,5,19.48465461730957,0.5185061747505646,5,20.75823402404785,0.7620053028808982,5,16.423318481445314,0.07606367937357301,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3]",10,0,1,0.5821199893951416,0.029715244994727795,5,540.0,0.0,5,15.92436866760254,0.06147934682861889,5,1.5918742179870606,0.20595032518407,5,12.184039688110351,0.34918105796510723,5,13.425991821289063,0.26622068455172343,5,15.887993621826173,0.09307216965784772,5,18.612059783935546,0.43243299351446174,5,20.335048294067384,0.3518698862960455,5,16.004826545715332,0.050970058734152064,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3]",10,0,2,0.5821199893951416,0.029715244994727795,5,180.0,0.0,5,15.926943969726562,0.08161348606480803,5,1.6087419509887695,0.2353297381193579,5,12.329275512695313,0.5488872811728618,5,13.279920387268067,0.3734987571969029,5,15.876838302612304,0.13315074579760527,5,18.426985931396484,0.2882781715178671,5,20.07481231689453,0.21558234089868655,5,16.009453964233398,0.056702236111275055,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3]",10,0,3,0.5821199893951416,0.029715244994727795,5,60.0,0.0,5,16.225186157226563,0.08347940510832849,5,2.61708345413208,0.4053594762319326,5,10.900217628479004,0.5967222214452628,5,12.037125396728516,0.7442504063164637,5,16.147663116455078,0.21863027069231813,5,20.231404876708986,0.5339173897047396,5,21.329760360717774,0.6890692824393156,5,16.43875846862793,0.11204693524490147,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3]",10,0,1,0.6170999765396118,0.02154113600111685,5,180.0,0.0,5,15.796959495544433,0.07297286257282198,5,1.6388502836227417,0.3421048255583495,5,12.083341979980469,0.8575392983111709,5,13.339171409606934,0.5691090444580076,5,15.748396492004394,0.11379626201122782,5,18.508232879638673,0.38360063434838504,5,20.052783584594728,0.5586362612526172,5,15.88478889465332,0.03767663278922991,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3]",10,0,2,0.6170999765396118,0.02154113600111685,5,60.0,0.0,5,16.234599304199218,0.1161137779604727,5,2.5808228969573976,0.4357978681689113,5,11.121463584899903,1.0958139007958352,5,12.16904811859131,0.5075444942357986,5,16.32881889343262,0.42209637854445387,5,20.168082427978515,0.6283446919015079,5,21.099310684204102,1.004884609506208,5,16.44315986633301,0.10049381978332024,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,[9],10,0,1,0.6345600008964538,0.062158486033839715,5,180.0,0.0,5,4.87998399734497,0.20490087773820964,5,2.420816993713379,0.233902759101219,5,0.7730621814727783,0.2947080412890141,5,1.3922812819480896,0.4233914526472591,5,4.637871932983399,0.34319338879901035,5,9.056568908691407,0.4558018820250053,5,10.772190856933594,0.3850601239561971,5,5.453824424743653,0.09844321960864054,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
depth_scaling,mnist,dendritic_shunting,standard,"[3, 3, 3, 3]",10,0,1,0.9179599761962891,0.004111325935519636,5,1620.0,0.0,5,16.05161247253418,0.00457541678165149,5,0.824759590625763,0.015464657411959357,5,13.909427642822266,0.15012016572724501,5,14.76872615814209,0.02496978790000313,5,16.020073318481444,0.014320398964754816,5,17.39503402709961,0.05553168880805416,5,18.368593597412108,0.078994502015962,5,16.07279281616211,0.004530985383298091,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
