broadcast_mode,broadcast_rank,router_mode,n_runs,test_accuracy_mean,test_accuracy_std,valid_accuracy_mean,valid_accuracy_std
low_rank,1,learned,5,0.7418000340461731,0.02153369464035166,0.7548000335693359,0.0395815478001862
low_rank,2,learned,5,0.8462000250816345,0.08184560072511865,0.859000051021576,0.07901899791848768
low_rank,4,learned,5,0.7476000308990478,0.08458311015683884,0.7660000443458557,0.0859040311413728
pathway_vector,2,learned,5,0.8148000478744507,0.1263950220666225,0.8290000319480896,0.1278339020958074
per_soma,2,learned,5,0.8026000380516052,0.1251091634690236,0.8242000460624694,0.11599225111085078
