task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,reference_credit_effective_rank,reference_capture,transported_credit_effective_rank
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,0.21102093093834404,0.2792479079427019,0.8069603082758787,0.8069603082758778,0.23009842781337947,8.17010999830402,1.0370587360892574,1.1242970452994745,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,0.21161205912934739,0.2800301588309413,0.8092208280504884,0.8092208280504887,0.2307429973675993,8.192996743813666,1.0399638254180879,1.1242970452994745,0.48466235172568967,1,0.8559444305221675,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,0.21946703931466777,0.2904247996560402,0.839258877848018,0.8392588778480179,0.23930811260574392,8.497118481231823,1.0785669904537618,1.1242970452994745,0.48466235172568967,1,0.8877168473170787,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.24722639879817157,0.3271592744170426,0.945412808582473,0.945412808582473,0.26957707666470226,9.571879261852946,1.2149898852471752,1.1242970452994745,0.48466235172568967,1,0.9999999999999998,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,0.21102093093834404,0.2792479079427019,0.8069603082758787,0.8069603082758778,0.23009842781337947,8.17010999830402,1.0370587360892574,1.1242970452994745,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,0.21184218133820945,0.28033468381389026,0.8101008331181313,0.8101008331181314,0.23099392393790996,8.20190639913125,1.0410947570560414,1.1242970452994745,0.48466235172568967,1,0.8568752462035869,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,0.22843218708278246,0.3022885458138784,0.873542294068992,0.8735422940689919,0.2490837609141126,8.844222643320595,1.1226260549831044,1.1242970452994745,0.48466235172568967,1,0.9239797537530274,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,0.24722639879817157,0.3271592744170426,0.945412808582473,0.945412808582473,0.26957707666470226,9.571879261852946,1.2149898852471752,1.1242970452994745,0.48466235172568967,1,0.9999999999999998,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,0.21102093093834404,0.2792479079427019,0.8069603082758787,0.8069603082758778,0.23009842781337947,8.17010999830402,1.0370587360892574,1.1242970452994745,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,0.22728231154017406,0.3007668942021636,0.8691450813459883,0.8691450813459884,0.24782993005781448,8.799702843196052,1.1169750114038028,1.1242970452994745,0.48466235172568967,1,0.919328650358737,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,0.22779595069556702,0.3014466024137763,0.8711092770745134,0.8711092770745135,0.24839000512522025,8.819589441081561,1.1194992821997336,1.1242970452994745,0.48466235172568967,1,0.9214062567870551,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,0.24722639879817157,0.3271592744170426,0.945412808582473,0.945412808582473,0.26957707666470226,9.571879261852946,1.2149898852471752,1.1242970452994745,0.48466235172568967,1,0.9999999999999998,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,0.21102093093834404,0.2792479079427019,0.8069603082758787,0.8069603082758778,0.23009842781337947,8.17010999830402,1.0370587360892574,1.1242970452994745,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,0.2138595631370565,0.28300432252861246,0.8178154566441902,0.8178154566441905,0.23319368856860279,8.28001349083948,1.0510091452127934,1.1242970452994745,0.48466235172568967,1,0.8650353043877209,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.24097910885713703,0.31889211988129146,0.9215226902217544,0.9215226902217539,0.26276499604722825,9.330002563733059,1.1842876862689822,1.1242970452994745,0.48466235172568967,1,0.9747304900633418,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,0.24722639879817157,0.3271592744170426,0.945412808582473,0.945412808582473,0.26957707666470226,9.571879261852946,1.2149898852471752,1.1242970452994745,0.48466235172568967,1,0.9999999999999998,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,0.21102093093834404,0.2792479079427019,0.8069603082758787,0.8069603082758778,0.23009842781337947,8.17010999830402,1.0370587360892574,1.1242970452994745,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,0.2116726738127645,0.2801103713646438,0.8094526232728808,0.809452623272881,0.2308090919644465,8.195343566135168,1.0402617152373275,1.1242970452994745,0.48466235172568967,1,0.8561896093692152,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,0.2224690325410363,0.2943973929167842,0.8507387313801791,0.8507387313801791,0.2425815031581514,8.613346832441025,1.0933202345383304,1.1242970452994745,0.48466235172568967,1,0.8998595361276667,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,feedback_only,comb_contiguous_k8,comb_contiguous,comb,8,1.1,1.0,1.0,64,64,64,0.24722639879817157,0.3271592744170426,0.945412808582473,0.945412808582473,0.26957707666470226,9.571879261852946,1.2149898852471752,1.1242970452994745,0.48466235172568967,1,0.9999999999999998,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,0.12947635872860339,0.29550006919221916,0.42288633019017174,0.42288633019017186,0.12058273340410915,4.281533799121664,0.543469063594281,0.5567816114989792,0.48466235172568967,1,0.8535533905932735,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,0.1298366856861972,0.2963224327645837,0.4240632040709459,0.4240632040709459,0.12091830979730171,4.293449117584601,0.5449815138682476,0.5567816114989792,0.48466235172568967,1,0.8559444305221675,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,0.13429193899893363,0.30649052580573927,0.4386146306170069,0.4386146306170069,0.12506753539904697,4.44077576338651,0.5636821660160538,0.5567816114989792,0.48466235172568967,1,0.8877168473170787,1.0
s7213_r1_n000_a125,confirmatory,7213,1,0.0,0.125,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.14334816127659314,0.3271592744170432,0.46819340964657086,0.46819340964657086,0.13350169316559626,4.740247590945652,0.6016951028121671,0.5567816114989792,0.48466235172568967,1,0.9999999999999998,1.0
