root_id,control,morphology_capture_advantage,animal
864691134941194851,shuffled ancestry,0.22083122229114938,minnie65 v661
864691135082534135,shuffled ancestry,0.3949077079068014,minnie65 v661
864691135334986985,shuffled ancestry,0.12904782803933557,minnie65 v661
864691135342193329,shuffled ancestry,0.04631757599391939,minnie65 v661
864691135367232761,shuffled ancestry,0.3198722695445838,minnie65 v661
864691135404231406,shuffled ancestry,0.3001583410975207,minnie65 v661
864691135404277230,shuffled ancestry,0.4394447284630147,minnie65 v661
864691135416557754,shuffled ancestry,0.3746016446936459,minnie65 v661
864691135455195242,shuffled ancestry,0.3845887314790182,minnie65 v661
864691135468547212,shuffled ancestry,0.1499033322268435,minnie65 v661
864691135495249040,shuffled ancestry,0.25724801089562266,minnie65 v661
864691135502788957,shuffled ancestry,0.25716232406953154,minnie65 v661
864691135516884435,shuffled ancestry,0.4841026288951137,minnie65 v661
864691135572379429,shuffled ancestry,0.29166545906670904,minnie65 v661
864691135573814980,shuffled ancestry,0.2180305032427623,minnie65 v661
864691135658994050,shuffled ancestry,0.15349101868108417,minnie65 v661
864691135687601120,shuffled ancestry,0.14666579506916022,minnie65 v661
864691135716106266,shuffled ancestry,0.17530003926109317,minnie65 v661
864691135716174106,shuffled ancestry,0.25081034523451473,minnie65 v661
864691135740320660,shuffled ancestry,0.38946099879492846,minnie65 v661
864691135762339894,shuffled ancestry,0.23092864197065766,minnie65 v661
864691135856802606,shuffled ancestry,0.2025015051648389,minnie65 v661
864691135856845358,shuffled ancestry,0.14533072392582125,minnie65 v661
864691135867632406,shuffled ancestry,0.1596422365198129,minnie65 v661
864691135919106224,shuffled ancestry,0.28061558866142944,minnie65 v661
864691135938349828,shuffled ancestry,0.22542347486520165,minnie65 v661
864691135947212897,shuffled ancestry,0.20825780116074177,minnie65 v661
864691135952698659,shuffled ancestry,0.4289562139523913,minnie65 v661
864691135992368833,shuffled ancestry,0.5044877122088802,minnie65 v661
864691136024229689,shuffled ancestry,0.10220752847656933,minnie65 v661
864691136066506392,shuffled ancestry,0.2570006040503384,minnie65 v661
864691136066697624,shuffled ancestry,0.2600585622274514,minnie65 v661
864691136066733720,shuffled ancestry,0.18993645775176493,minnie65 v661
864691136100511093,shuffled ancestry,0.240787393602102,minnie65 v661
864691136109892792,shuffled ancestry,0.1830587153261276,minnie65 v661
864691136137737085,shuffled ancestry,0.49091212131740963,minnie65 v661
864691136195348812,shuffled ancestry,0.1680243668672604,minnie65 v661
864691136275165965,shuffled ancestry,0.364231041668415,minnie65 v661
864691136371808392,shuffled ancestry,0.2095444003165281,minnie65 v661
864691136389026167,shuffled ancestry,0.2089447968904974,minnie65 v661
864691136419314071,shuffled ancestry,0.24750658180676033,minnie65 v661
864691136486753554,shuffled ancestry,0.3597620592263443,minnie65 v661
864691136619341965,shuffled ancestry,0.2555051578387332,minnie65 v661
864691136663284190,shuffled ancestry,0.30987904596638516,minnie65 v661
864691136673975943,shuffled ancestry,0.21317649041722087,minnie65 v661
864691136953057759,shuffled ancestry,0.27359495779539644,minnie65 v661
864691137197373249,shuffled ancestry,0.40315847403711447,minnie65 v661
648518346349531254,random paths,0.5505780318320495,Pinky v185
648518346349538278,random paths,0.6346088858240121,Pinky v185
648518346349538332,random paths,0.6810976748568338,Pinky v185
648518346349538440,random paths,0.7584866631167166,Pinky v185
648518346349538466,random paths,0.49342797520301074,Pinky v185
648518346349539333,random paths,0.568824535988555,Pinky v185
648518346349539366,random paths,0.5197207835836566,Pinky v185
648518346349539785,random paths,0.3611538659873804,Pinky v185
648518346349539825,random paths,-9.857926614860253e-17,Pinky v185
648518346349539864,random paths,0.7142683699154571,Pinky v185
648518346349531254,depth-only bins,0.6334294896335947,Pinky v185
648518346349538278,depth-only bins,0.3068152844044668,Pinky v185
648518346349538332,depth-only bins,0.4776560684337467,Pinky v185
648518346349538440,depth-only bins,0.5529320629363803,Pinky v185
648518346349538466,depth-only bins,0.4807440197262064,Pinky v185
648518346349539333,depth-only bins,0.7386956798400585,Pinky v185
648518346349539366,depth-only bins,0.4663196649000247,Pinky v185
648518346349539785,depth-only bins,0.9059727785771566,Pinky v185
648518346349539825,depth-only bins,0.7876360036144765,Pinky v185
648518346349539864,depth-only bins,0.509271521929737,Pinky v185
648518346349531254,shuffled ancestry,0.6908446724279658,Pinky v185
648518346349538278,shuffled ancestry,0.46798433379088966,Pinky v185
648518346349538332,shuffled ancestry,0.6281796367704081,Pinky v185
648518346349538440,shuffled ancestry,0.6819927370552056,Pinky v185
648518346349538466,shuffled ancestry,0.543062197008843,Pinky v185
648518346349539333,shuffled ancestry,0.6727390170259401,Pinky v185
648518346349539366,shuffled ancestry,0.5248189980159725,Pinky v185
648518346349539785,shuffled ancestry,0.6737396730133784,Pinky v185
648518346349539825,shuffled ancestry,0.8979592057936484,Pinky v185
648518346349539864,shuffled ancestry,0.7879364977835379,Pinky v185
