root_id,n_skeleton_nodes,n_dendrite_nodes,n_segments,n_branchpoints,n_leaves,max_topological_depth,max_path_length_um,total_cable_um,n_synapses,mapping_pass_fraction,mapping_distance_median_um,n_e_synapses,n_i_synapses,typed_proxy_validation_n,typed_proxy_concordance,e_path_distance_median_um,i_path_distance_median_um,e_topological_depth_median,i_topological_depth_median,n_e_segments,n_i_segments,credit_kernel_participation_rank,credit_kernel_rank_fraction,credit_domain_weighted_mean,credit_domain_median,credit_domain_p10,credit_domain_p90,credit_domain_depthmatched_null_mean,credit_domain_depthmatched_null_sd,credit_domain_depthmatched_z,scalar_broadcast_cosine_no_inhibition,scalar_broadcast_cosine_actual_inhibition,scalar_broadcast_cosine_change,scalar_broadcast_cosine_depthmatched_null_mean,scalar_broadcast_cosine_actual_minus_null,log_update_gain_sd_no_inhibition,log_update_gain_sd_actual_inhibition,kernel_singular_value_1_fraction,selection_order,qc_typed_synapses,qc_included,qc_exclusion_reason
648518346349539333,23999,23999,99,48,51,11,433.2475703012001,3874.636940603196,2304,0.98828125,1.3960032227391808,13,14,0,,131.31138611941827,47.30107924665245,5.722222222222223,3.0,9,12,1.3068372560563766,0.14520413956181963,0.09502287284980927,0.0,0.0,0.4960180995475114,0.1217859762042869,0.02046485207114296,-1.3077594336592195,0.7419362534161119,0.7483934291416707,0.006457175725558817,0.7468351913211057,0.0015582378205650782,1.0387900866156818,0.9844961123941216,0.8651412042121115,0,27,True,
648518346349531254,21025,21025,98,45,53,11,338.33048108321486,3605.9636333528933,2623,0.9939001143728555,1.4152635796910904,15,13,0,,133.2856039457486,58.52790692550875,4.782296650717704,3.0,12,12,1.510857667374089,0.12590480561450743,0.10156943693413091,0.0983645227236987,0.0012423337002673387,0.1693505268123919,0.109951733636768,0.016580287009376155,-0.50555799775341,0.6117665328488633,0.5866602159147618,-0.02510631693410148,0.5897092946075055,-0.003049078692743734,1.3039666858752883,1.219893608020781,0.8058616889528278,1,28,True,
648518346349539825,23362,23362,99,47,52,8,333.7725756416693,3834.103311586704,2682,0.9962714392244594,1.2868638618371722,15,5,0,,90.0775713154788,36.55144703388122,3.0,1.0,12,4,1.9454903399308026,0.48637258498270064,0.12479558308433786,0.055470308424121526,0.0,0.2200705846248274,0.09606548922925987,0.03397813643949784,0.8455464856418886,0.6132934241868039,0.614731039145457,0.0014376149586531328,0.6116886489437947,0.003042390201662304,1.022768316634359,1.0211306742265516,0.5836935909061705,2,20,True,
648518346349539864,26200,26200,100,49,51,9,389.91599438157834,4231.009255655268,3112,0.9942159383033419,1.4611979644909199,12,13,0,,101.11422644789906,37.51084636475376,5.872062663185379,3.1195,10,10,1.4004052695979576,0.14004052695979577,0.036333497718437684,0.0,0.0,0.19406519065190647,0.07673315923043551,0.03209879134983579,-1.2586038231687036,0.4344220322458907,0.42924919603737816,-0.0051728362085125545,0.4682070724296414,-0.038957876392263224,1.1224990289561798,1.1143816784201648,0.8311342770514805,3,25,True,
648518346349538466,16662,16662,88,41,47,8,216.01289906347802,2960.740791762806,3166,0.9933670246367656,1.3403237313906025,10,15,0,,150.77815494115956,92.6788480107086,3.4595959595959593,2.8339160839160833,10,12,2.2917941602614276,0.22917941602614275,0.14587466693954382,0.056712132089016515,0.0,0.38251974156496776,0.12936912651866078,0.022741154237967808,0.7258004694117937,0.5968700318244833,0.5920975647271775,-0.0047724670973058325,0.5815564475536117,0.010541117173565762,0.8464874370563676,0.8691322574520722,0.597231587975856,4,25,True,
648518346349538440,28465,28465,114,55,59,10,402.22823649096233,4668.221085968138,5369,0.9914322965170422,1.4908826244879003,16,24,0,,160.92124495294712,97.16513461980304,5.625,4.0,13,21,1.3823135984026635,0.10633181526174335,0.04820434011529455,0.0,0.0,0.1152129817444219,0.05526589488020801,0.013681808376814538,-0.5161272962191246,0.3059311282118186,0.3026899968883955,-0.00324113132342313,0.3150843134917268,-0.01239431660333129,1.690760945078869,1.7397090384199023,0.8453173298669564,5,40,True,
648518346349538278,22635,22635,92,45,47,9,419.7111132543365,3663.886415345858,4652,0.9926913155631987,1.5851769609167001,13,27,0,,79.51474820572143,60.48477357995877,5.0,4.0,11,17,1.9332950420244766,0.17575409472949788,0.06428284038864872,0.0,0.0,0.09462140992167103,0.06279339890710382,0.019660313910616005,0.0757587843366346,0.8171495888553162,0.883588833997804,0.06643924514248778,0.7980004264939662,0.08558840750383778,0.830487553821356,0.6991659481374679,0.7023015721825465,6,40,True,
648518346349539366,18763,18763,88,41,47,9,241.99556660882604,3312.734807983883,4262,0.9964805255748475,1.653482823726482,11,19,0,,195.88792260984354,124.96419043492816,5.895121951219512,3.0,9,16,2.6314385479591698,0.2923820608843522,0.032879309641118744,0.0,0.0,0.035065532306277306,0.04813811039550472,0.026548262044772383,-0.5747570492054331,0.41661031409800603,0.4315652919119369,0.014954977813930848,0.48856585113631307,-0.05700055922437619,1.2085100577233965,1.2380016340763431,0.44145068957303796,7,30,True,
648518346349539095,15776,15776,80,38,42,8,222.12806715840586,2686.824038754587,3692,0.9924160346695557,1.6186415600734705,2,17,0,,122.57863737417547,71.50307988988402,5.118055555555555,4.0,2,14,1.0,0.5,0.03360569319978914,0.0,0.0,0.0,0.13654432925281634,0.07793318429232476,-1.3208575652049301,0.9059874283378089,0.9103652814182877,0.004377853080478777,0.9212775254784169,-0.01091224406012925,1.1319375947053736,1.0123592734597817,1.0,8,19,False,fewer than 20 mapped typed inputs or 3 inhibitory inputs
648518346349538332,17995,17995,88,41,47,8,200.76088746558366,2988.0201441355903,4347,0.9935587761674718,1.6344445539693329,5,15,0,,153.477638605973,70.33708133996474,5.0,5.0,5,11,1.8086242416278002,0.36172484832556007,0.09329805996472662,0.0,0.0,0.2802197802197802,0.07868495270161936,0.019669284605977555,0.7429404554279666,0.5393563653555293,0.5382485175083755,-0.0011078478471537867,0.5679353600189827,-0.02968684251060716,1.3693592877425185,1.3604285721192082,0.6941805323501845,9,20,True,
