task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,penalized_test_loss,weight_norm
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,16,4.9851518495810725e-06,0.013904332410425446,1.079954789673516
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,16,3.672089371859926e-06,0.023903019347947724,1.0687416384625754
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,16,3.4759245355586256e-06,0.04390282318311143,1.0667704814734795
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,16,4.2613759203588913e-07,0.08389977339616789,0.9995081120526552
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,16,4.9851518495810725e-06,0.015275760981854018,1.079954789673516
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,16,1.7699854335462e-06,0.025272545815437985,1.0435247679414814
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,16,1.6129140413496946e-06,0.04527238874404579,1.0404582415453945
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,16,4.2613759203588913e-07,0.08527120196759647,0.9995081120526552
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,16,4.9851518495810725e-06,0.015124385801318434,1.079954789673516
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,16,4.9641360565841046e-06,0.02512436478552544,1.0797970274869395
s7208_r1_n000_a125,confirmatory,7208,1,0.0,0.125,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,16,3.940748806575125e-06,0.045123341398275424,1.071295599209435
