seed,phase,task,step,model,optimizer,rule,rate,selected_rate,common_rate,test_nmse,validation_nmse,population_nmse,parameter_norm,max_abs_parameter,gradient_clipped_steps,parameter_projected_steps,elapsed_seconds
211203,fresh,matching,0,algebraic,sgd,exact,0.03,True,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.03872143290936947
211203,fresh,matching,0,algebraic,sgd,unit_broadcast,0.01,True,False,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038758195005357265
211203,fresh,matching,0,algebraic,sgd,unit_broadcast,0.03,False,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.03878418798558414
211203,fresh,matching,0,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038808501907624304
211203,fresh,matching,0,algebraic,sgd,sign_broadcast,0.01,True,False,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.03883146692533046
211203,fresh,matching,0,algebraic,sgd,sign_broadcast,0.03,False,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.03885435895062983
211203,fresh,matching,0,algebraic,adam,exact,0.003,True,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038876478909514844
211203,fresh,matching,0,algebraic,adam,unit_broadcast,0.003,True,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038903018925338984
211203,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.003,False,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038936658995226026
211203,fresh,matching,0,algebraic,adam,calibrated_broadcast,0.01,True,False,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.0389597259927541
211203,fresh,matching,0,algebraic,adam,sign_broadcast,0.003,False,True,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.038984750979579985
211203,fresh,matching,0,algebraic,adam,sign_broadcast,0.01,True,False,1.1133133385548521,1.0825745541596934,1.047373571966574,1.694404077018193,0.8291638349453214,0,0,0.039006493985652924
211203,fresh,matching,1,algebraic,sgd,exact,0.03,True,True,1.1086983680566527,1.078325360213516,1.043056059706767,1.6929342114234371,0.8293064537144068,0,0,0.07904122199397534
211203,fresh,matching,1,algebraic,sgd,unit_broadcast,0.01,True,False,1.11129323457761,1.0807892005108095,1.0454653704123278,1.6929802682595103,0.8277455564526411,0,0,0.07907642994541675
211203,fresh,matching,1,algebraic,sgd,unit_broadcast,0.03,False,True,1.1073321595400671,1.0772938618575334,1.0417258181654687,1.6903658689289787,0.8249089994672807,0,0,0.07910274295136333
211203,fresh,matching,1,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.1090205469700263,1.0786264996145447,1.0433486163544017,1.6931065724713577,0.8292732541777008,0,0,0.07912635896354914
211203,fresh,matching,1,algebraic,sgd,sign_broadcast,0.01,True,False,1.1104137001239047,1.0799175344903367,1.0446621454404093,1.6907787915195105,0.8305821134380017,0,0,0.07914908800739795
211203,fresh,matching,1,algebraic,sgd,sign_broadcast,0.03,False,True,1.10471780556998,1.0747025248284787,1.0393370663624557,1.68374254868386,0.8334186704233622,0,0,0.07917180599179119
211203,fresh,matching,1,algebraic,adam,exact,0.003,True,True,1.1084419011886224,1.0781566807234033,1.0428594631921801,1.6870538878073054,0.8321638286348049,0,0,0.07919368695002049
211203,fresh,matching,1,algebraic,adam,unit_broadcast,0.003,True,True,1.1089259222057652,1.0786328868793185,1.0432889868965887,1.6892402504020894,0.8261638351568454,0,0,0.07921558397356421
211203,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.003,False,True,1.1090627616347768,1.0785868577299682,1.043449560260204,1.6899201018394163,0.8321638267200989,0,0,0.07923750299960375
211203,fresh,matching,1,algebraic,adam,calibrated_broadcast,0.01,True,False,1.0997218549121055,1.0698398071017547,1.0348425203307516,1.679994289287761,0.8391638075279131,0,0,0.0792599149281159
211203,fresh,matching,1,algebraic,adam,sign_broadcast,0.003,False,True,1.1090627591588915,1.0785868448385632,1.0434495620492217,1.689919929505949,0.8321638347337974,0,0,0.07928262394852936
211203,fresh,matching,1,algebraic,adam,sign_broadcast,0.01,True,False,1.0997218498424153,1.0698397693000252,1.0348425270085084,1.6799937916720176,0.8391638342402413,0,0,0.07930507697165012
211203,fresh,matching,16,algebraic,sgd,exact,0.03,True,True,1.0431818523978873,1.0180567410152275,0.9816135850377661,1.6823457631529486,0.8292347904913446,0,0,0.1265814369544387
211203,fresh,matching,16,algebraic,sgd,unit_broadcast,0.01,True,False,1.0844847041131571,1.0571141936468063,1.0203634557465013,1.6918154422328882,0.8213700943942928,0,0,0.12661563698202372
211203,fresh,matching,16,algebraic,sgd,unit_broadcast,0.03,False,True,1.0480877963470816,1.025628325054151,0.9864387585158843,1.7419550739465954,0.8024595211078007,0,0,0.12664145999588072
211203,fresh,matching,16,algebraic,sgd,calibrated_broadcast,0.03,True,True,1.0494204450470346,1.023912857439579,0.9873885079035302,1.67876251286533,0.829819791264621,0,0,0.12667259492445737
211203,fresh,matching,16,algebraic,sgd,sign_broadcast,0.01,True,False,1.0720011885633665,1.0448724620175174,1.0087793318631058,1.6385363225067955,0.8368168454224348,0,0,0.12669589696452022
211203,fresh,matching,16,algebraic,sgd,sign_broadcast,0.03,False,True,1.0108341948728852,0.9894932318140205,0.9516524023805691,1.599516858333326,0.8547360342436721,0,0,0.12671884591691196
211203,fresh,matching,16,algebraic,adam,exact,0.003,True,True,1.0532430503234878,1.0281947972928,0.9913347560746125,1.6327174591109297,0.8390489905371736,0,0,0.12686062196735293
