structure,optimizer,rule,step,mean,ci95_low,ci95_high,n_seeds
assignment_shuffled,adam,broadcast,0,0.3420199559971565,0.21349766674996873,0.4665189023418922,20
assignment_shuffled,adam,broadcast,1,0.34102483710775533,0.21310408797463198,0.46484797036516895,20
assignment_shuffled,adam,broadcast,16,0.34295977105972775,0.22331237416840158,0.458301205093156,20
assignment_shuffled,adam,broadcast,64,0.3737812621910594,0.2823550246752486,0.46725499963218364,20
assignment_shuffled,adam,broadcast,256,0.4789678392474034,0.4181594017329562,0.5449356523651522,20
assignment_shuffled,adam,broadcast,1024,0.5694911930280492,0.5257259750165917,0.6130993677920071,20
assignment_shuffled,adam,exact,0,1.0,1.0,1.0,20
assignment_shuffled,adam,exact,1,1.0,1.0,1.0,20
assignment_shuffled,adam,exact,16,1.0,1.0,1.0,20
assignment_shuffled,adam,exact,64,1.0,1.0,1.0,20
assignment_shuffled,adam,exact,256,1.0,1.0,1.0,20
assignment_shuffled,adam,exact,1024,1.0,1.0,1.0,20
assignment_shuffled,adam,global_projection,0,0.7025154951983538,0.6491204799610962,0.7480414943337725,20
assignment_shuffled,adam,global_projection,1,0.7051274468057158,0.6526527700531793,0.7500821960770927,20
assignment_shuffled,adam,global_projection,16,0.7384471020063268,0.6944183639912793,0.7784701153208597,20
assignment_shuffled,adam,global_projection,64,0.7312282597703387,0.6959985299242756,0.7681636526977649,20
assignment_shuffled,adam,global_projection,256,0.7361274239450161,0.679352005665983,0.788923392682105,20
assignment_shuffled,adam,global_projection,1024,0.8465441207460671,0.7982232228558793,0.8902110533687542,20
assignment_shuffled,adam,shuffled_projection,0,0.7874999435342634,0.7624153574186981,0.812919941808567,20
assignment_shuffled,adam,shuffled_projection,1,0.7895478971446382,0.7656568802289336,0.8142677614267995,20
assignment_shuffled,adam,shuffled_projection,16,0.8006085601419951,0.7695392667723093,0.8294904556470378,20
assignment_shuffled,adam,shuffled_projection,64,0.8033513723640585,0.7696333912989816,0.8334903703802473,20
assignment_shuffled,adam,shuffled_projection,256,0.804383156609312,0.7627586156196702,0.8414687471548868,20
assignment_shuffled,adam,shuffled_projection,1024,0.8771639112761986,0.8513067248957564,0.8985786272230646,20
assignment_shuffled,adam,subtree_projection,0,0.8039251486301868,0.7475773626898765,0.8493052340226603,20
assignment_shuffled,adam,subtree_projection,1,0.811829615890419,0.7574755555329317,0.8542682339486399,20
assignment_shuffled,adam,subtree_projection,16,0.8079473044362635,0.7495038238974712,0.8575015976827239,20
assignment_shuffled,adam,subtree_projection,64,0.8586773737463906,0.8275277380812939,0.8889372611862091,20
assignment_shuffled,adam,subtree_projection,256,0.8927902047691072,0.8616862251300024,0.9194058466060844,20
assignment_shuffled,adam,subtree_projection,1024,0.9260260013316077,0.9038906161379321,0.9434448357419896,20
assignment_shuffled,sgd,broadcast,0,0.3420199559971565,0.21349766674996873,0.4665189023418922,20
assignment_shuffled,sgd,broadcast,1,0.34044608001443544,0.2133340617759887,0.4629768220137863,20
assignment_shuffled,sgd,broadcast,16,0.4252736529011689,0.33453841283769425,0.5122907024105441,20
assignment_shuffled,sgd,broadcast,64,0.4854430641115436,0.4182866676655374,0.5494219991987428,20
assignment_shuffled,sgd,broadcast,256,0.5777251828466385,0.5151935008644136,0.6314679474344471,20
assignment_shuffled,sgd,broadcast,1024,0.6629343256696507,0.6150450116895811,0.7097913677975533,20
assignment_shuffled,sgd,exact,0,1.0,1.0,1.0,20
assignment_shuffled,sgd,exact,1,1.0,1.0,1.0,20
assignment_shuffled,sgd,exact,16,1.0,1.0,1.0,20
assignment_shuffled,sgd,exact,64,1.0,1.0,1.0,20
assignment_shuffled,sgd,exact,256,1.0,1.0,1.0,20
assignment_shuffled,sgd,exact,1024,1.0,1.0,1.0,20
assignment_shuffled,sgd,global_projection,0,0.7025154951983538,0.6491204799610962,0.7480414943337725,20
assignment_shuffled,sgd,global_projection,1,0.7056419518424029,0.6520620765053937,0.7510731354578619,20
assignment_shuffled,sgd,global_projection,16,0.7414412516222556,0.6882891949335792,0.7884860658556787,20
assignment_shuffled,sgd,global_projection,64,0.76170418496845,0.7130209789232687,0.808520285685264,20
assignment_shuffled,sgd,global_projection,256,0.7549870655789432,0.6957991522010613,0.8110802958872662,20
assignment_shuffled,sgd,global_projection,1024,0.7530909887467058,0.6888817620443782,0.8125380833893229,20
assignment_shuffled,sgd,shuffled_projection,0,0.7874999435342634,0.7624153574186981,0.812919941808567,20
assignment_shuffled,sgd,shuffled_projection,1,0.7903313067940002,0.7655482701980215,0.815773734999686,20
assignment_shuffled,sgd,shuffled_projection,16,0.8160380673841363,0.7907814975575057,0.8431715989746759,20
assignment_shuffled,sgd,shuffled_projection,64,0.8147316802045687,0.7805816292159015,0.8482204434343167,20
assignment_shuffled,sgd,shuffled_projection,256,0.7850009485767292,0.7340327444335603,0.8348188054595634,20
assignment_shuffled,sgd,shuffled_projection,1024,0.7745326959698627,0.6911300568846234,0.8429031453290136,20
assignment_shuffled,sgd,subtree_projection,0,0.8039251486301868,0.7475773626898765,0.8493052340226603,20
assignment_shuffled,sgd,subtree_projection,1,0.8064274337610948,0.7501781821145179,0.851275183345733,20
assignment_shuffled,sgd,subtree_projection,16,0.8286372650489412,0.7779016242095242,0.8690767172789965,20
assignment_shuffled,sgd,subtree_projection,64,0.8332447828149707,0.7890535810861397,0.873263178878827,20
assignment_shuffled,sgd,subtree_projection,256,0.805402041258677,0.7414278800131822,0.8582678580962881,20
assignment_shuffled,sgd,subtree_projection,1024,0.7712766683848332,0.6777202652551944,0.8449607694455675,20
compatible,adam,broadcast,0,0.30445616694878747,0.18085116753632674,0.42517842066703654,20
compatible,adam,broadcast,1,0.3036127820186313,0.17996892883285492,0.4237409558268291,20
compatible,adam,broadcast,16,0.29882045474942565,0.18198254309057563,0.4120628030842778,20
compatible,adam,broadcast,64,0.31946947037835705,0.2191021663336931,0.41852032436480396,20
compatible,adam,broadcast,256,0.5047888432134827,0.43182108879965114,0.579660638751557,20
compatible,adam,broadcast,1024,0.5713018537803726,0.529542978915982,0.6116953879896935,20
compatible,adam,exact,0,1.0,1.0,1.0,20
compatible,adam,exact,1,1.0,1.0,1.0,20
compatible,adam,exact,16,1.0,1.0,1.0,20
compatible,adam,exact,64,1.0,1.0,1.0,20
compatible,adam,exact,256,1.0,1.0,1.0,20
compatible,adam,exact,1024,1.0,1.0,1.0,20
compatible,adam,global_projection,0,0.6907681078059295,0.6398188331288497,0.7381105487497662,20
compatible,adam,global_projection,1,0.6901229655009476,0.6397455085769405,0.7371306590240405,20
compatible,adam,global_projection,16,0.6681013341465855,0.6222068022426853,0.7125159725277824,20
compatible,adam,global_projection,64,0.6453616985905601,0.5895961956989296,0.6940887473824373,20
compatible,adam,global_projection,256,0.7081565058444916,0.6395678757045558,0.7724459807774617,20
compatible,adam,global_projection,1024,0.8274108060542098,0.7828790998274023,0.8689181509333481,20
compatible,adam,shuffled_projection,0,0.7837060183492105,0.7538768688502294,0.811926855979169,20
compatible,adam,shuffled_projection,1,0.7829164046500221,0.7538973203409879,0.8107630405347042,20
compatible,adam,shuffled_projection,16,0.7418644264342324,0.6944537788342143,0.7854738697155881,20
compatible,adam,shuffled_projection,64,0.6942636504200257,0.6449395465796935,0.7431933308422873,20
compatible,adam,shuffled_projection,256,0.7796837266231939,0.7395200566443754,0.8159249409462425,20
compatible,adam,shuffled_projection,1024,0.8528845182410514,0.8168175733959342,0.8832252785283858,20
compatible,adam,subtree_projection,0,0.79613429860792,0.74641807891917,0.8414739021374905,20
compatible,adam,subtree_projection,1,0.7995801007363478,0.7525599844844251,0.8415442409196764,20
compatible,adam,subtree_projection,16,0.7849742439166919,0.733352460452983,0.832909440483783,20
compatible,adam,subtree_projection,64,0.7603728657512966,0.7075869288303697,0.8127317802902573,20
