family,structure,optimizer,rule,mean,ci95_low,ci95_high,n_seeds
matching,assignment_shuffled,adam,broadcast,0.820025111520526,0.7628538414799519,0.8769428005802087,20
matching,assignment_shuffled,adam,exact,0.5831608323483797,0.5442722291451083,0.630768710153274,20
matching,assignment_shuffled,adam,global_projection,0.6619321826920995,0.5951592095506275,0.7373138621795148,20
matching,assignment_shuffled,adam,shuffled_projection,0.6559466356348084,0.6003451838837451,0.7150907844317329,20
matching,assignment_shuffled,adam,subtree_projection,0.6513343415357433,0.6001521348446068,0.7037907899657393,20
matching,assignment_shuffled,sgd,broadcast,0.825412524202895,0.7663198170507377,0.8847169806357706,20
matching,assignment_shuffled,sgd,exact,0.6658063128741691,0.6026721633784404,0.7292073448863817,20
matching,assignment_shuffled,sgd,global_projection,0.9511128456780389,0.9156008085141999,0.9823632902544654,20
matching,assignment_shuffled,sgd,shuffled_projection,0.8874427127329323,0.8473722390852915,0.929247697751639,20
matching,assignment_shuffled,sgd,subtree_projection,0.8832616101853651,0.8256305317579808,0.9377937771112247,20
matching,compatible,adam,broadcast,0.042227982875950254,0.024262776139842485,0.07531504075008079,20
matching,compatible,adam,exact,0.024707765157280157,0.023837936121586332,0.02585484750843738,20
matching,compatible,adam,global_projection,0.02728959249275299,0.0235611361243825,0.034539052551545324,20
matching,compatible,adam,shuffled_projection,0.0478931776851021,0.023523150206590227,0.09640992123770804,20
matching,compatible,adam,subtree_projection,0.09403667649406958,0.030388141227455326,0.16793007947918911,20
matching,compatible,sgd,broadcast,0.022927344849715873,0.022721565503642342,0.0231135104930105,20
matching,compatible,sgd,exact,0.05644046769811665,0.02704251705011531,0.10941478254227867,20
matching,compatible,sgd,global_projection,0.422340916944695,0.24031863034786047,0.604508287968236,20
matching,compatible,sgd,shuffled_projection,0.2900933675262928,0.14940478769711396,0.4401243640076047,20
matching,compatible,sgd,subtree_projection,0.516124272703936,0.3746433734297372,0.6560782552226151,20
nested,assignment_shuffled,adam,broadcast,0.9939051995465193,0.9560514015324341,1.023248519525332,20
nested,assignment_shuffled,adam,exact,0.6792803816598889,0.625973088212384,0.7314202886912851,20
nested,assignment_shuffled,adam,global_projection,0.8733982369340613,0.8117961259430583,0.9352042649386613,20
nested,assignment_shuffled,adam,shuffled_projection,0.8249989417656602,0.7788226459142301,0.8689553093702159,20
nested,assignment_shuffled,adam,subtree_projection,0.8764278977049195,0.8200024659133406,0.9327858145487253,20
nested,assignment_shuffled,sgd,broadcast,1.2864599079998777,0.9658024718568488,1.8879163204292235,20
nested,assignment_shuffled,sgd,exact,0.8563807417215644,0.7855680330267738,0.9244135607690261,20
nested,assignment_shuffled,sgd,global_projection,1.0002886538703284,0.9791897845511777,1.0180678118812367,20
nested,assignment_shuffled,sgd,shuffled_projection,0.9786021902722142,0.9481255650188899,1.004602036633541,20
nested,assignment_shuffled,sgd,subtree_projection,0.9809779677723904,0.9438642377226111,1.0118264313413563,20
nested,compatible,adam,broadcast,0.7537785199626961,0.739519410603417,0.7671324579902862,20
nested,compatible,adam,exact,0.024468267602726947,0.024075219603328438,0.024991781126172168,20
nested,compatible,adam,global_projection,0.5412822599421074,0.4112385174378138,0.6668005266245896,20
nested,compatible,adam,shuffled_projection,0.27697178526062227,0.18027944285415395,0.38037208467010103,20
nested,compatible,adam,subtree_projection,0.37909665055560926,0.28836170493679,0.46910530512496385,20
nested,compatible,sgd,broadcast,0.7550241531815047,0.7430414154951638,0.7673682175872304,20
nested,compatible,sgd,exact,0.16331306117806604,0.06347715097486537,0.2769878196939462,20
nested,compatible,sgd,global_projection,0.6830823689688584,0.6183571494417033,0.7467223747713037,20
nested,compatible,sgd,shuffled_projection,0.5780075465299438,0.4742499608948655,0.674461184169461,20
nested,compatible,sgd,subtree_projection,0.5930602865723035,0.5090084498701054,0.6695748430552952,20
quartet,assignment_shuffled,adam,broadcast,1.0521748427708233,1.043344752595732,1.0608560164701646,20
quartet,assignment_shuffled,adam,exact,0.5614336544473899,0.5576705946164588,0.5654269531454695,20
quartet,assignment_shuffled,adam,global_projection,0.8685940520091464,0.7740977847431519,0.9589095029210633,20
quartet,assignment_shuffled,adam,shuffled_projection,0.6580124552885868,0.5958989146643936,0.734039629034171,20
quartet,assignment_shuffled,adam,subtree_projection,0.6530110089233213,0.599996892596654,0.7220774610895093,20
quartet,assignment_shuffled,sgd,broadcast,1.05938775227744,1.0529802744616963,1.0660154853126507,20
quartet,assignment_shuffled,sgd,exact,0.9029916726905054,0.801179297364154,1.0022078033684385,20
quartet,assignment_shuffled,sgd,global_projection,0.9900534619750765,0.9236635451401357,1.0421513419952155,20
