contrast,quantity,mean,ci95_low,ci95_high,n_seeds,positive_seeds
bp_exact_minus_broadcast,600_minus180_contrast,-0.12499988079071045,-0.5620020627975464,0.2690267115831371,10,5
broadcast_bp_minus_localca_recipe,600_minus180_contrast,-11.90999984741211,-12.538998767733574,-11.261001229286194,10,0
depth_gain_exact_bp,600_minus180_contrast,7.354001402854919,6.964974448084831,7.699003219604492,10,10
localca_path_minus_shared,600_minus180_contrast,-12.384997606277466,-13.122000098228455,-11.656998381018639,10,0
