budget,contrast,seed,difference_pp
180,depth_gain_exact_bp,10200,30.549997091293335
180,depth_gain_exact_bp,10201,30.51999807357788
180,depth_gain_exact_bp,10202,29.889994859695435
180,depth_gain_exact_bp,10203,30.729997158050537
180,depth_gain_exact_bp,10204,30.699998140335083
180,depth_gain_exact_bp,10205,30.889999866485596
180,depth_gain_exact_bp,10206,30.260002613067627
180,depth_gain_exact_bp,10207,31.349998712539673
180,depth_gain_exact_bp,10208,30.94000220298767
180,depth_gain_exact_bp,10209,32.37000107765198
180,localca_path_minus_shared,10200,9.799998998641968
180,localca_path_minus_shared,10201,10.820001363754272
180,localca_path_minus_shared,10202,10.780000686645508
180,localca_path_minus_shared,10203,9.849995374679565
180,localca_path_minus_shared,10204,12.889999151229858
180,localca_path_minus_shared,10205,11.28000020980835
180,localca_path_minus_shared,10206,9.259998798370361
180,localca_path_minus_shared,10207,9.679996967315674
180,localca_path_minus_shared,10208,11.619997024536133
180,localca_path_minus_shared,10209,12.659996747970581
180,bp_exact_minus_broadcast,10200,-0.09999871253967285
180,bp_exact_minus_broadcast,10201,0.5199968814849854
180,bp_exact_minus_broadcast,10202,0.8199989795684814
180,bp_exact_minus_broadcast,10203,0.31999945640563965
180,bp_exact_minus_broadcast,10204,-0.3600001335144043
180,bp_exact_minus_broadcast,10205,0.7600009441375732
180,bp_exact_minus_broadcast,10206,0.2200007438659668
180,bp_exact_minus_broadcast,10207,0.34000277519226074
180,bp_exact_minus_broadcast,10208,1.6400039196014404
180,bp_exact_minus_broadcast,10209,1.8700003623962402
180,broadcast_bp_minus_localca_recipe,10200,13.899999856948853
180,broadcast_bp_minus_localca_recipe,10201,12.740004062652588
180,broadcast_bp_minus_localca_recipe,10202,12.139999866485596
180,broadcast_bp_minus_localca_recipe,10203,14.399999380111694
180,broadcast_bp_minus_localca_recipe,10204,14.560002088546753
180,broadcast_bp_minus_localca_recipe,10205,12.81999945640564
180,broadcast_bp_minus_localca_recipe,10206,12.2700035572052
180,broadcast_bp_minus_localca_recipe,10207,12.790000438690186
180,broadcast_bp_minus_localca_recipe,10208,14.969998598098755
180,broadcast_bp_minus_localca_recipe,10209,13.889998197555542
600,depth_gain_exact_bp,10200,38.33000063896179
600,depth_gain_exact_bp,10201,37.76000142097473
600,depth_gain_exact_bp,10202,37.88999915122986
600,depth_gain_exact_bp,10203,38.23999762535095
600,depth_gain_exact_bp,10204,38.89000415802002
600,depth_gain_exact_bp,10205,38.270002603530884
600,depth_gain_exact_bp,10206,37.73000240325928
600,depth_gain_exact_bp,10207,38.359999656677246
600,depth_gain_exact_bp,10208,37.90000081062317
600,depth_gain_exact_bp,10209,38.36999535560608
600,localca_path_minus_shared,10200,-1.1199951171875
600,localca_path_minus_shared,10201,-1.789999008178711
600,localca_path_minus_shared,10202,-1.4699995517730713
600,localca_path_minus_shared,10203,-0.8000016212463379
600,localca_path_minus_shared,10204,-1.1899948120117188
600,localca_path_minus_shared,10205,-2.0400047302246094
600,localca_path_minus_shared,10206,-2.479994297027588
600,localca_path_minus_shared,10207,-1.3999998569488525
600,localca_path_minus_shared,10208,-1.8999993801116943
600,localca_path_minus_shared,10209,-1.0200023651123047
600,bp_exact_minus_broadcast,10200,0.5000054836273193
600,bp_exact_minus_broadcast,10201,0.23999810218811035
600,bp_exact_minus_broadcast,10202,0.6400048732757568
600,bp_exact_minus_broadcast,10203,0.6600022315979004
600,bp_exact_minus_broadcast,10204,0.45000314712524414
600,bp_exact_minus_broadcast,10205,0.45999884605407715
600,bp_exact_minus_broadcast,10206,0.5299985408782959
600,bp_exact_minus_broadcast,10207,0.37000179290771484
600,bp_exact_minus_broadcast,10208,0.4199981689453125
600,bp_exact_minus_broadcast,10209,0.5099952220916748
600,broadcast_bp_minus_localca_recipe,10200,1.419997215270996
600,broadcast_bp_minus_localca_recipe,10201,1.6300022602081299
600,broadcast_bp_minus_localca_recipe,10202,1.7299950122833252
600,broadcast_bp_minus_localca_recipe,10203,1.510000228881836
600,broadcast_bp_minus_localca_recipe,10204,1.410001516342163
600,broadcast_bp_minus_localca_recipe,10205,2.120000123977661
600,broadcast_bp_minus_localca_recipe,10206,1.2899994850158691
600,broadcast_bp_minus_localca_recipe,10207,1.130002737045288
600,broadcast_bp_minus_localca_recipe,10208,1.530003547668457
600,broadcast_bp_minus_localca_recipe,10209,1.6100049018859863
