task,core,depth,seed,correct_accuracy,shuffled_accuracy,correct_minus_shuffled
mnist,dendritic_additive,2,42,0.9678999781608582,0.9617999792099,0.006099998950958141
mnist,dendritic_additive,2,43,0.9690999984741212,0.9614999890327454,0.0076000094413758434
mnist,dendritic_additive,2,44,0.9692999720573424,0.9626999497413636,0.006600022315978782
mnist,dendritic_additive,2,45,0.9670999646186828,0.9620999693870544,0.004999995231628307
mnist,dendritic_additive,2,46,0.9666999578475952,0.963699996471405,0.0029999613761901855
mnist,dendritic_additive,2,47,0.9695000052452089,0.9634999632835388,0.006000041961670033
mnist,dendritic_additive,2,48,0.9684999585151672,0.9641000032424928,0.0043999552726744495
mnist,dendritic_additive,2,49,0.971299946308136,0.964299976825714,0.006999969482421986
mnist,dendritic_additive,2,50,0.9687999486923218,0.9641000032424928,0.0046999454498289905
mnist,dendritic_additive,2,51,0.9661999940872192,0.9659000039100648,0.00029999017715443
mnist,dendritic_additive,4,42,0.973099946975708,0.9700999855995178,0.0029999613761901855
mnist,dendritic_additive,4,43,0.9734999537467957,0.9685999751091005,0.0048999786376952015
mnist,dendritic_additive,4,44,0.9751999974250792,0.9714999794960022,0.0037000179290770374
mnist,dendritic_additive,4,45,0.9718999862670898,0.9669999480247498,0.004900038242340088
mnist,dendritic_additive,4,46,0.9718999862670898,0.97079998254776,0.001100003719329834
mnist,dendritic_additive,4,47,0.9756999611854552,0.9709999561309814,0.004700005054473766
mnist,dendritic_additive,4,48,0.973699986934662,0.9685999751091005,0.0051000118255615234
mnist,dendritic_additive,4,49,0.973800003528595,0.9696999788284302,0.004100024700164795
mnist,dendritic_additive,4,50,0.973800003528595,0.9695999622344972,0.004200041294097789
mnist,dendritic_additive,4,51,0.9723999500274658,0.9695999622344972,0.002799987792968639
mnist,dendritic_shunting,2,42,0.968999981880188,0.9659000039100648,0.00309997797012318
mnist,dendritic_shunting,2,43,0.967799961566925,0.9621999859809875,0.0055999755859375
mnist,dendritic_shunting,2,44,0.9695000052452089,0.9634999632835388,0.006000041961670033
mnist,dendritic_shunting,2,45,0.9686999917030334,0.9631999731063844,0.005500018596649059
mnist,dendritic_shunting,2,46,0.9697999954223632,0.9633999466896056,0.006400048732757568
mnist,dendritic_shunting,2,47,0.967799961566925,0.9666999578475952,0.001100003719329834
mnist,dendritic_shunting,2,48,0.9703999757766724,0.9628999829292296,0.007499992847442738
mnist,dendritic_shunting,2,49,0.9709999561309814,0.9650999903678894,0.005899965763092041
mnist,dendritic_shunting,2,50,0.9714999794960022,0.9627999663352966,0.008700013160705566
mnist,dendritic_shunting,2,51,0.9714999794960022,0.9644999504089355,0.00700002908706665
mnist,dendritic_shunting,4,42,0.97079998254776,0.967199981212616,0.003600001335144043
mnist,dendritic_shunting,4,43,0.973099946975708,0.9682999849319458,0.004799962043762207
mnist,dendritic_shunting,4,44,0.9724999666213988,0.9695999622344972,0.0029000043869016334
mnist,dendritic_shunting,4,45,0.9704999923706056,0.9666999578475952,0.003800034523010365
mnist,dendritic_shunting,4,46,0.9722999930381776,0.9679999947547911,0.0042999982833864525
mnist,dendritic_shunting,4,47,0.973099946975708,0.9696999788284302,0.003399968147277832
mnist,dendritic_shunting,4,48,0.9718999862670898,0.9661999940872192,0.0056999921798706055
mnist,dendritic_shunting,4,49,0.9720999598503112,0.967799961566925,0.0042999982833861194
mnist,dendritic_shunting,4,50,0.9715999960899352,0.9677000045776368,0.003899991512298362
mnist,dendritic_shunting,4,51,0.9709999561309814,0.9696999788284302,0.0012999773025512695
noise_resilience,dendritic_additive,2,42,0.9276999831199646,0.9230999946594238,0.0045999884605407715
noise_resilience,dendritic_additive,2,43,0.9350000023841858,0.9259999990463256,0.009000003337860218
noise_resilience,dendritic_additive,2,44,0.9314000010490416,0.9264000058174132,0.004999995231628418
noise_resilience,dendritic_additive,2,45,0.9358999729156494,0.9254999756813048,0.010399997234344593
noise_resilience,dendritic_additive,2,46,0.9321999549865724,0.9264000058174132,0.005799949169159158
noise_resilience,dendritic_additive,2,47,0.9363999962806702,0.930799961090088,0.005600035190582164
noise_resilience,dendritic_additive,2,48,0.9343000054359436,0.924299955368042,0.010000050067901611
noise_resilience,dendritic_additive,2,49,0.9330999851226808,0.9239999651908876,0.009100019931793213
noise_resilience,dendritic_additive,2,50,0.9337999820709229,0.9268999695777892,0.006900012493133656
noise_resilience,dendritic_additive,2,51,0.9300999641418456,0.9264999628067015,0.003600001335144043
noise_resilience,dendritic_additive,4,42,0.9358999729156494,0.9318999648094176,0.0040000081062318005
noise_resilience,dendritic_additive,4,43,0.9330999851226808,0.9312999844551086,0.0018000006675721325
noise_resilience,dendritic_additive,4,44,0.9336999654769896,0.9328999519348145,0.000800013542175182
noise_resilience,dendritic_additive,4,45,0.934599995613098,0.9334999918937684,0.001100003719329612
noise_resilience,dendritic_additive,4,46,0.9332000017166138,0.9355999827384948,-0.0023999810218809925
noise_resilience,dendritic_additive,4,47,0.932699978351593,0.934599995613098,-0.001900017261505016
noise_resilience,dendritic_additive,4,48,0.9340999722480774,0.9307000041007996,0.003399968147277832
noise_resilience,dendritic_additive,4,49,0.9350000023841858,0.930899977684021,0.004100024700164795
noise_resilience,dendritic_additive,4,50,0.9329999685287476,0.9316999912261964,0.0012999773025511585
noise_resilience,dendritic_additive,4,51,0.9351999759674072,0.9319999814033508,0.0031999945640563965
noise_resilience,dendritic_shunting,2,42,0.9470999836921692,0.9387999773025512,0.008300006389618031
noise_resilience,dendritic_shunting,2,43,0.9472000002861024,0.9394999742507936,0.007700026035308838
noise_resilience,dendritic_shunting,2,44,0.948199987411499,0.9404999613761902,0.007700026035308838
noise_resilience,dendritic_shunting,2,45,0.948300004005432,0.939799964427948,0.00850003957748402
noise_resilience,dendritic_shunting,2,46,0.948199987411499,0.9378999471664428,0.010300040245056263
noise_resilience,dendritic_shunting,2,47,0.9485999941825868,0.9413999915122986,0.007200002670288197
noise_resilience,dendritic_shunting,2,48,0.9459999799728394,0.9402999877929688,0.0056999921798706055
noise_resilience,dendritic_shunting,2,49,0.9494999647140504,0.94269996881485,0.0067999958992004395
noise_resilience,dendritic_shunting,2,50,0.946899950504303,0.9420999884605408,0.004799962043762207
noise_resilience,dendritic_shunting,2,51,0.948699951171875,0.9435999989509584,0.005099952220916637
noise_resilience,dendritic_shunting,4,42,0.9472999572753906,0.9411999583244324,0.006099998950958252
noise_resilience,dendritic_shunting,4,43,0.9493999481201172,0.9437999725341796,0.005599975585937611
noise_resilience,dendritic_shunting,4,44,0.949899971485138,0.9418999552726746,0.00800001621246349
noise_resilience,dendritic_shunting,4,45,0.9483999609947203,0.944000005722046,0.0043999552726743385
noise_resilience,dendritic_shunting,4,46,0.948799967765808,0.9402999877929688,0.008499979972839244
noise_resilience,dendritic_shunting,4,47,0.9454999566078186,0.941100001335144,0.0043999552726745605
noise_resilience,dendritic_shunting,4,48,0.9496999979019164,0.9452999830245972,0.004400014877319225
noise_resilience,dendritic_shunting,4,49,0.949899971485138,0.942799985408783,0.0070999860763550915
noise_resilience,dendritic_shunting,4,50,0.9483999609947203,0.9409999847412108,0.0073999762535095215
noise_resilience,dendritic_shunting,4,51,0.9503999948501588,0.9475999474525452,0.0028000473976136364
