task,core,depth,routing,n_seeds,mean_accuracy,ci95_low,ci95_high
mnist,dendritic_additive,2,correct,10,0.9684399724006653,0.9675499796867371,0.9693499743938446
mnist,dendritic_additive,2,shuffled,10,0.9633699834346772,0.9625899791717529,0.9641899943351746
mnist,dendritic_additive,4,correct,10,0.9734999775886536,0.9727799713611602,0.9742499709129333
mnist,dendritic_additive,4,shuffled,10,0.9696499705314636,0.9688299655914306,0.9704099714756012
mnist,dendritic_shunting,2,correct,10,0.9696999788284302,0.9688899755477905,0.9705099761486053
mnist,dendritic_shunting,2,shuffled,10,0.9640199720859528,0.9631999611854554,0.9649199666082858
mnist,dendritic_shunting,4,correct,10,0.9718899726867676,0.9713499784469605,0.9724199593067169
mnist,dendritic_shunting,4,shuffled,10,0.9680899798870086,0.9673699796199798,0.9688299717009067
noise_resilience,dendritic_additive,2,correct,10,0.9329899847507477,0.9313499808311463,0.9344899833202363
noise_resilience,dendritic_additive,2,shuffled,10,0.925989979505539,0.9248299777507782,0.9272999823093414
noise_resilience,dendritic_additive,4,correct,10,0.9340499818325043,0.9334299862384796,0.9346999824047089
noise_resilience,dendritic_additive,4,shuffled,10,0.932509982585907,0.9316299796104431,0.9334999859333039
noise_resilience,dendritic_shunting,2,correct,10,0.9478699803352356,0.9472399890422821,0.9484699785709381
noise_resilience,dendritic_shunting,2,shuffled,10,0.9406599760055542,0.9396199703216552,0.9416999816894531
noise_resilience,dendritic_shunting,4,correct,10,0.9487699687480926,0.9478299677371979,0.9495499789714813
noise_resilience,dendritic_shunting,4,shuffled,10,0.9428999781608581,0.9416599750518799,0.9443199813365937
