unit_index,pre_pt_root_id,nucleus_id,segment_id,major_branch,path_um,depth,x_um,y_um,z_um,n_synapses,contact_size,repeat_reliability,manual_match
0,864691135102434592,294768,2570,1489,155.24005683212124,7.0,616.8000000000001,488.04,807.6,1,396.0,0.35373789418443774,False
1,864691135573296677,258370,3680,3035,132.7636614041002,2.0,649.976,571.888,813.44,1,14236.0,-0.18779638376031677,True
2,864691136100052085,224524,4701,2851,102.73546162005576,3.0,682.376,569.824,875.52,1,12424.0,0.29370259052526115,True
3,864691135545285672,293776,2724,1489,147.01544642097036,4.0,692.792,541.224,715.88,1,3932.0,0.1275273126282143,True
4,864691136906009522,258087,4380,3035,118.43447613746493,3.0,653.264,558.352,824.64,1,192.0,0.15561280473259861,True
5,864691135376325193,294251,2846,2796,144.2324173941878,3.0,671.408,532.904,753.28,1,8364.0,0.2337102237488669,False
6,864691136026382905,327945,4099,1489,128.2991350501121,4.0,645.928,504.888,753.04,1,13552.0,0.18474786508277274,False
7,864691135868145174,224132,3613,3557,133.64715910718326,3.0,603.936,583.712,799.16,1,6128.0,0.25747340298649873,False
8,864691135347693215,224535,3520,3491,75.46413734584691,2.0,660.032,571.288,794.6800000000001,1,2056.0,0.09595439148895568,True
9,864691135442839112,263172,4175,3688,124.92642806281194,2.0,713.688,544.048,871.16,2,3000.0,0.15546491102523732,False
10,864691135943762036,294535,2526,1489,158.75266650822388,9.0,657.832,487.352,839.52,1,2480.0,0.08470015743523686,True
11,864691135582973549,333202,4433,3688,117.40283186580152,3.0,717.456,517.672,853.12,1,1120.0,0.035227326940508556,False
