family,structure,rule,mean_test_nmse,ci95_low,ci95_high,mean_clean_test_nmse,seed_count
all,development_fixed,broadcast,0.9726006977235558,0.9483768485268981,0.9961963884571166,0.9499294107167877,20
all,development_fixed,exact,0.5836934099472402,0.541132803895221,0.6277175758234415,0.561276048203706,20
all,estimated_dp,broadcast,0.7320636311397037,0.7031837048555597,0.7642325892356908,0.70976574022465,20
all,estimated_dp,exact,0.12456175722772207,0.09454433078730252,0.15725163601776945,0.10176834312630723,20
all,oracle_dp,broadcast,0.6801755593718023,0.6466805242264267,0.7095864252443984,0.6577349772832201,20
all,oracle_dp,exact,0.10101461732073798,0.08197413760372475,0.12282998201283683,0.07842194976416206,20
matching,development_fixed,broadcast,0.9071629524358003,0.8387238825288147,0.9699744280210376,0.883235048995002,20
matching,development_fixed,exact,0.5810557505181398,0.5104042603555624,0.6469376283340036,0.5585950116734169,20
matching,estimated_dp,broadcast,0.023448434731745797,0.022796245202232102,0.024500106515601305,0.00091383090226325,20
matching,estimated_dp,exact,0.027462008570350825,0.02394192629728768,0.03263512168911237,0.0048351796631705395,20
matching,oracle_dp,broadcast,0.023966992787266474,0.023181891249243025,0.025016995582247605,0.001451762332326995,20
matching,oracle_dp,exact,0.026091959290936977,0.02371918819507727,0.0300872497843326,0.00362989322367745,20
nested_prefix,development_fixed,broadcast,0.9634142715836876,0.8948644514128552,1.0181891657325592,0.9406692589695934,20
nested_prefix,development_fixed,exact,0.5791571680800781,0.5020877459308045,0.6515667391502553,0.5568584073005034,20
nested_prefix,estimated_dp,broadcast,0.9654442454032557,0.8851284010617222,1.074058064709837,0.9429169098957377,20
nested_prefix,estimated_dp,exact,0.02378703524012341,0.023518041989613544,0.024070176890270162,0.001435155818279985,20
nested_prefix,oracle_dp,broadcast,0.7666590917436424,0.710553130473467,0.8235118499294404,0.7437663251890371,20
nested_prefix,oracle_dp,exact,0.02394321361365607,0.0236086521739674,0.024361426640661165,0.0015749948414954655,20
quartet,development_fixed,broadcast,1.020126855201792,1.0083834175022721,1.0288345345819283,0.9982555390188403,20
quartet,development_fixed,exact,0.472278102409976,0.4021729794871988,0.5453141984569808,0.44944373957204264,20
quartet,estimated_dp,broadcast,0.9931281867362941,0.9648082615292055,1.0160160157753424,0.9713172700196667,20
quartet,estimated_dp,exact,0.02411392165612831,0.023771694158234963,0.024471490923512133,0.0016141877181811252,20
quartet,oracle_dp,broadcast,0.9811084573474694,0.9275378191960647,1.0166897532058576,0.9591075341639412,20
quartet,oracle_dp,exact,0.05938972606316352,0.023883843543669788,0.1210762029406985,0.03724815988429854,20
random_interactions,development_fixed,broadcast,0.9996987116729434,0.9641413652139829,1.02495092340203,0.9775577958837159,20
random_interactions,development_fixed,exact,0.7022826187807673,0.6363090901117372,0.7643915908959317,0.6802070342688614,20
random_interactions,estimated_dp,broadcast,0.9462336576875197,0.8593951301875827,1.013959610491232,0.9239149500809324,20
random_interactions,estimated_dp,exact,0.4228840634442858,0.304320958644286,0.5520869752787939,0.3991888493055972,20
random_interactions,oracle_dp,broadcast,0.9489676956088309,0.8645296501391583,1.0154946992087264,0.9266142874475749,20
random_interactions,oracle_dp,exact,0.2946335703151954,0.2324381600393001,0.37153737508951573,0.2712347511071768,20
