seed,family,family_index,structure,rule,optimizer,rate,step,test_nmse,clean_test_nmse,population_nmse,true_cut_bound,status,gradient_clipped_steps,parameter_projected_steps,max_abs_parameter,parameter_norm,parameters,edges,seconds
930910,matching,0,estimated_dp,exact,adam,0.01,0,1.0149552776098083,0.9927148798252344,1.0138860222222057,0.0,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0043981400085613
930910,matching,0,estimated_dp,broadcast,adam,0.003,0,1.0149552776098083,0.9927148798252344,1.0138860222222057,0.0,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0044348310912027
930910,matching,0,development_fixed,exact,adam,0.01,0,1.011502470606714,0.9886099153672976,1.006209963102704,0.4342064702238392,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0044537900248542
930910,matching,0,development_fixed,broadcast,adam,0.003,0,1.011502470606714,0.9886099153672976,1.006209963102704,0.4342064702238392,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0044710610527545
930910,matching,0,oracle_dp,exact,adam,0.01,0,1.010091095470756,0.9878856992874496,1.008384547161862,0.0,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0044863820075988
930910,matching,0,oracle_dp,broadcast,adam,0.003,0,1.010091095470756,0.9878856992874496,1.008384547161862,0.0,completed,0,0,0.6179163615399926,1.4889179125488576,28,14,0.0045018540695309
930910,matching,0,estimated_dp,exact,adam,0.01,1,1.0054935605495112,0.9833047103995683,1.002903023828048,0.0,completed,0,0,0.6079164376311793,1.4903953167008797,28,14,0.0084284610347822
930910,matching,0,estimated_dp,broadcast,adam,0.003,1,1.0138443282013605,0.9916192084688312,1.0126559919204192,0.0,completed,0,0,0.6149163623318182,1.4862553704568058,28,14,0.0084638310363516
930910,matching,0,development_fixed,exact,adam,0.01,1,1.0118185299472582,0.9889205316198062,1.005485656603716,0.4342064702238392,completed,0,0,0.627916340497855,1.4943339106413478,28,14,0.0084821940399706
930910,matching,0,development_fixed,broadcast,adam,0.003,1,1.0116219052340767,0.9887297019505144,1.006279460822149,0.4342064702238392,completed,0,0,0.620916360936454,1.4847589975275035,28,14,0.0084984700661152
930910,matching,0,oracle_dp,exact,adam,0.01,1,1.0093538092974357,0.9871720459070034,1.0066739316392024,0.0,completed,0,0,0.627916282739015,1.500924058279396,28,14,0.0085141070885583
930910,matching,0,oracle_dp,broadcast,adam,0.003,1,1.009873578043211,0.9876588973145348,1.0080204746921375,0.0,completed,0,0,0.6209163121984163,1.487127264733591,28,14,0.0085290690185502
930910,matching,0,estimated_dp,exact,adam,0.01,16,0.8449406958750292,0.8236060907455414,0.8292103651888927,0.0,completed,0,0,0.6587489594789581,1.7282063607323128,28,14,0.0221525840461254
930910,matching,0,estimated_dp,broadcast,adam,0.003,16,0.9940114852555796,0.9719761196052586,0.9923557290532976,0.0,completed,0,0,0.6021989766844281,1.450464303679626,28,14,0.0221788940252736
930910,matching,0,development_fixed,exact,adam,0.01,16,0.9968990122526898,0.9740700899473744,0.988840581769688,0.4342064702238392,completed,0,0,0.7664916682873284,1.6240689799691976,28,14,0.0221980080241337
930910,matching,0,development_fixed,broadcast,adam,0.003,16,1.0117485600993834,0.9888401140315928,1.0063831388144695,0.4342064702238392,completed,0,0,0.6143042521639743,1.479430883572282,28,14,0.0222143341088667
930910,matching,0,oracle_dp,exact,adam,0.01,16,0.9670103522315868,0.9452767327006948,0.961066629837344,0.0,completed,0,0,0.6774402899055233,1.6323669879538585,28,14,0.0222301800968125
930910,matching,0,oracle_dp,broadcast,adam,0.003,16,1.010238071949259,0.9880717631863182,1.0080595589620165,0.0,completed,0,0,0.6227577094837442,1.4839792286841071,28,14,0.0222457681084051
930910,matching,0,estimated_dp,exact,adam,0.01,64,0.0846321778659839,0.0602809339155394,0.060878897575857,0.0,completed,0,0,1.089646475180999,2.4630806632422027,28,14,0.0584467690205201
930910,matching,0,estimated_dp,broadcast,adam,0.003,64,0.9483192472687348,0.9266532258704592,0.9483057091785962,0.0,completed,0,0,0.6897831480794356,1.429547716435149,28,14,0.0584838089998811
930910,matching,0,development_fixed,exact,adam,0.01,64,0.8843817610932514,0.8629188031212927,0.8732333960426621,0.4342064702238392,completed,0,0,1.1308490363325854,2.1383203239852,28,14,0.0585031510563567
930910,matching,0,development_fixed,broadcast,adam,0.003,64,1.0087850396397426,0.9858460178027278,1.0055842076701345,0.4342064702238392,completed,0,0,0.6251651780876659,1.5224196627044522,28,14,0.0585195580497384
930910,matching,0,oracle_dp,exact,adam,0.01,64,0.1985034426362463,0.177471835962833,0.177777912579211,0.0,completed,0,0,0.9718134768570704,2.5269149908806607,28,14,0.0585361360572278
