family,seed,contrast,difference
all,930910,fixed_exact_minus_estimated_exact,0.7490237488514992
all,930911,fixed_exact_minus_estimated_exact,0.6356738047901213
all,930912,fixed_exact_minus_estimated_exact,0.5703968258913529
all,930913,fixed_exact_minus_estimated_exact,0.4913254068604528
all,930914,fixed_exact_minus_estimated_exact,0.5021473589253711
all,930915,fixed_exact_minus_estimated_exact,0.6101890742386021
all,930916,fixed_exact_minus_estimated_exact,0.32351748232542604
all,930917,fixed_exact_minus_estimated_exact,0.20481458850049783
all,930918,fixed_exact_minus_estimated_exact,0.5665165424506302
all,930919,fixed_exact_minus_estimated_exact,0.3378009229204624
all,930920,fixed_exact_minus_estimated_exact,0.35711470423983105
all,930921,fixed_exact_minus_estimated_exact,0.6058992897724853
all,930922,fixed_exact_minus_estimated_exact,0.3847973586532184
all,930923,fixed_exact_minus_estimated_exact,0.38912554231803836
all,930924,fixed_exact_minus_estimated_exact,0.4336978521120495
all,930925,fixed_exact_minus_estimated_exact,0.2083597614271057
all,930926,fixed_exact_minus_estimated_exact,0.3284124475382451
all,930927,fixed_exact_minus_estimated_exact,0.6496783612588777
all,930928,fixed_exact_minus_estimated_exact,0.3952899229456148
all,930929,fixed_exact_minus_estimated_exact,0.4388520583704826
all,930910,estimated_broadcast_minus_exact,0.5969864563514755
all,930911,estimated_broadcast_minus_exact,0.6593374829128669
all,930912,estimated_broadcast_minus_exact,0.7076360519443425
all,930913,estimated_broadcast_minus_exact,0.6862194364378378
all,930914,estimated_broadcast_minus_exact,0.6377107742420534
all,930915,estimated_broadcast_minus_exact,0.5552647198740782
all,930916,estimated_broadcast_minus_exact,0.734596644518033
all,930917,estimated_broadcast_minus_exact,0.5082939481399195
all,930918,estimated_broadcast_minus_exact,0.7416769926838456
all,930919,estimated_broadcast_minus_exact,0.627060757927014
all,930920,estimated_broadcast_minus_exact,0.5804862582843959
all,930921,estimated_broadcast_minus_exact,0.5045272894998458
all,930922,estimated_broadcast_minus_exact,0.5032809492740327
all,930923,estimated_broadcast_minus_exact,0.5302780688750837
all,930924,estimated_broadcast_minus_exact,0.6077491146604881
all,930925,estimated_broadcast_minus_exact,0.48477089706198284
all,930926,estimated_broadcast_minus_exact,0.5628880160274874
all,930927,estimated_broadcast_minus_exact,0.6729609450712565
all,930928,estimated_broadcast_minus_exact,0.5843878213618312
all,930929,estimated_broadcast_minus_exact,0.6639248530917641
all,930910,estimated_exact_minus_oracle_exact,-0.0002842637138398829
all,930911,estimated_exact_minus_oracle_exact,-0.13195036486926973
all,930912,estimated_exact_minus_oracle_exact,5.38195883200282e-05
all,930913,estimated_exact_minus_oracle_exact,0.000480190982561135
all,930914,estimated_exact_minus_oracle_exact,0.0003993056018276528
all,930915,estimated_exact_minus_oracle_exact,9.699926235705314e-05
all,930916,estimated_exact_minus_oracle_exact,0.13253965157310432
all,930917,estimated_exact_minus_oracle_exact,0.16913188813322905
all,930918,estimated_exact_minus_oracle_exact,0.0003252643102912012
all,930919,estimated_exact_minus_oracle_exact,-0.04595037520429075
all,930920,estimated_exact_minus_oracle_exact,0.03004583207926205
all,930921,estimated_exact_minus_oracle_exact,-0.007896676061294974
all,930922,estimated_exact_minus_oracle_exact,-0.008718760773475637
all,930923,estimated_exact_minus_oracle_exact,0.10003312700686531
all,930924,estimated_exact_minus_oracle_exact,0.004671438257588353
all,930925,estimated_exact_minus_oracle_exact,0.12429613327031466
all,930926,estimated_exact_minus_oracle_exact,0.08272992354333888
all,930927,estimated_exact_minus_oracle_exact,0.0002850351025483755
all,930928,estimated_exact_minus_oracle_exact,0.020935246441109112
all,930929,estimated_exact_minus_oracle_exact,-0.0002806163908644632
matching,930910,fixed_exact_minus_estimated_exact,0.847562046114202
matching,930911,fixed_exact_minus_estimated_exact,0.6705572324488633
matching,930912,fixed_exact_minus_estimated_exact,0.5281174619742961
matching,930913,fixed_exact_minus_estimated_exact,0.6618569512064856
matching,930914,fixed_exact_minus_estimated_exact,0.3304554692044028
matching,930915,fixed_exact_minus_estimated_exact,0.6262553810096
matching,930916,fixed_exact_minus_estimated_exact,0.2127109960248181
matching,930917,fixed_exact_minus_estimated_exact,0.4192763032746888
matching,930918,fixed_exact_minus_estimated_exact,0.5587613787126628
matching,930919,fixed_exact_minus_estimated_exact,0.2804987673851149
matching,930920,fixed_exact_minus_estimated_exact,0.7126682588340385
matching,930921,fixed_exact_minus_estimated_exact,0.6239468388308274
matching,930922,fixed_exact_minus_estimated_exact,0.7077768919755655
matching,930923,fixed_exact_minus_estimated_exact,0.5253230386770862
matching,930924,fixed_exact_minus_estimated_exact,0.5790370593150904
matching,930925,fixed_exact_minus_estimated_exact,0.402903825095631
matching,930926,fixed_exact_minus_estimated_exact,0.4748357137622611
matching,930927,fixed_exact_minus_estimated_exact,0.6619868936186393
matching,930928,fixed_exact_minus_estimated_exact,0.6533765051250907
matching,930929,fixed_exact_minus_estimated_exact,0.5939678263664148
matching,930910,estimated_broadcast_minus_exact,-0.0006077484138870999
matching,930911,estimated_broadcast_minus_exact,-0.0016329470122441007
matching,930912,estimated_broadcast_minus_exact,-0.0012705754480509986
matching,930913,estimated_broadcast_minus_exact,-0.0017773936710717975
matching,930914,estimated_broadcast_minus_exact,-0.0003540396382209002
matching,930915,estimated_broadcast_minus_exact,-0.0008235836219107999
matching,930916,estimated_broadcast_minus_exact,-0.0006455220343858994
matching,930917,estimated_broadcast_minus_exact,0.0016806540232711005
matching,930918,estimated_broadcast_minus_exact,-0.004134560905344798
matching,930919,estimated_broadcast_minus_exact,-0.0012005000593501985
matching,930920,estimated_broadcast_minus_exact,-0.0005112843061470008
matching,930921,estimated_broadcast_minus_exact,-0.0005744720799568982
matching,930922,estimated_broadcast_minus_exact,-0.0017202073685173014
matching,930923,estimated_broadcast_minus_exact,-0.030832136033676197
matching,930924,estimated_broadcast_minus_exact,-0.029786859289473402
matching,930925,estimated_broadcast_minus_exact,-0.0016986217179336023
matching,930926,estimated_broadcast_minus_exact,-0.001525923834107202
matching,930927,estimated_broadcast_minus_exact,-0.002099557559477997
matching,930928,estimated_broadcast_minus_exact,-0.0005807099482564998
matching,930929,estimated_broadcast_minus_exact,-0.0001754878533591006
matching,930910,estimated_exact_minus_oracle_exact,0.00012570864854419966
matching,930911,estimated_exact_minus_oracle_exact,-0.0005569074716872992
matching,930912,estimated_exact_minus_oracle_exact,-3.957700980540199e-05
matching,930913,estimated_exact_minus_oracle_exact,0.0006671105019738985
matching,930914,estimated_exact_minus_oracle_exact,3.118302833299974e-06
matching,930915,estimated_exact_minus_oracle_exact,8.935742240359992e-05
matching,930916,estimated_exact_minus_oracle_exact,-0.00026862484244270096
matching,930917,estimated_exact_minus_oracle_exact,9.11501282810992e-05
matching,930918,estimated_exact_minus_oracle_exact,0.0013213664131674976
matching,930919,estimated_exact_minus_oracle_exact,-0.0019184623945852006
matching,930920,estimated_exact_minus_oracle_exact,-0.00017081742524530097
matching,930921,estimated_exact_minus_oracle_exact,0.0002995171835110007
matching,930922,estimated_exact_minus_oracle_exact,-0.035508575500470096
matching,930923,estimated_exact_minus_oracle_exact,0.040204734732809
matching,930924,estimated_exact_minus_oracle_exact,0.0207230644450528
matching,930925,estimated_exact_minus_oracle_exact,0.0009733963505028018
matching,930926,estimated_exact_minus_oracle_exact,0.0009200882430473005
matching,930927,estimated_exact_minus_oracle_exact,0.00029431611001839997
matching,930928,estimated_exact_minus_oracle_exact,5.208713397509765e-05
matching,930929,estimated_exact_minus_oracle_exact,9.893461639299758e-05
nested_prefix,930910,fixed_exact_minus_estimated_exact,0.8919479836298709
nested_prefix,930911,fixed_exact_minus_estimated_exact,0.7091336295713687
nested_prefix,930912,fixed_exact_minus_estimated_exact,0.7291853435377941
nested_prefix,930913,fixed_exact_minus_estimated_exact,0.49834294290272274
nested_prefix,930914,fixed_exact_minus_estimated_exact,0.6293467132364874
nested_prefix,930915,fixed_exact_minus_estimated_exact,0.6400991643719893
nested_prefix,930916,fixed_exact_minus_estimated_exact,0.6738465651229122
nested_prefix,930917,fixed_exact_minus_estimated_exact,0.29484609339219503
nested_prefix,930918,fixed_exact_minus_estimated_exact,0.6406862699942505
nested_prefix,930919,fixed_exact_minus_estimated_exact,0.6122013767912581
nested_prefix,930920,fixed_exact_minus_estimated_exact,0.4888918690604128
nested_prefix,930921,fixed_exact_minus_estimated_exact,0.39543027431439426
nested_prefix,930922,fixed_exact_minus_estimated_exact,0.6497912720599995
nested_prefix,930923,fixed_exact_minus_estimated_exact,0.6022294881136702
nested_prefix,930924,fixed_exact_minus_estimated_exact,0.20159733301900518
nested_prefix,930925,fixed_exact_minus_estimated_exact,0.2158852712180137
nested_prefix,930926,fixed_exact_minus_estimated_exact,0.6024411395689765
nested_prefix,930927,fixed_exact_minus_estimated_exact,0.6270939774005894
nested_prefix,930928,fixed_exact_minus_estimated_exact,0.4157034073417333
nested_prefix,930929,fixed_exact_minus_estimated_exact,0.5887025421514526
nested_prefix,930910,estimated_broadcast_minus_exact,0.9910888219572851
nested_prefix,930911,estimated_broadcast_minus_exact,0.7855154800699098
nested_prefix,930912,estimated_broadcast_minus_exact,0.9422766148689121
nested_prefix,930913,estimated_broadcast_minus_exact,0.9675158876847687
nested_prefix,930914,estimated_broadcast_minus_exact,0.7146715767792661
nested_prefix,930915,estimated_broadcast_minus_exact,1.0011732217031526
nested_prefix,930916,estimated_broadcast_minus_exact,1.7348114231349911
nested_prefix,930917,estimated_broadcast_minus_exact,0.971271420120117
nested_prefix,930918,estimated_broadcast_minus_exact,1.0212121321631027
nested_prefix,930919,estimated_broadcast_minus_exact,0.9036473127040932
nested_prefix,930920,estimated_broadcast_minus_exact,0.6099949461582473
nested_prefix,930921,estimated_broadcast_minus_exact,0.9363523062310805
nested_prefix,930922,estimated_broadcast_minus_exact,0.8290034747992043
nested_prefix,930923,estimated_broadcast_minus_exact,1.0276622096213572
nested_prefix,930924,estimated_broadcast_minus_exact,0.972636607153914
nested_prefix,930925,estimated_broadcast_minus_exact,0.7463232313673218
nested_prefix,930926,estimated_broadcast_minus_exact,0.9265293110865654
nested_prefix,930927,estimated_broadcast_minus_exact,0.9316699706808187
nested_prefix,930928,estimated_broadcast_minus_exact,0.8380884897045427
nested_prefix,930929,estimated_broadcast_minus_exact,0.9816997652739937
nested_prefix,930910,estimated_exact_minus_oracle_exact,-0.00042482432373589993
nested_prefix,930911,estimated_exact_minus_oracle_exact,-0.00033169912117279876
nested_prefix,930912,estimated_exact_minus_oracle_exact,4.413880210819843e-05
nested_prefix,930913,estimated_exact_minus_oracle_exact,-0.002285840510997301
nested_prefix,930914,estimated_exact_minus_oracle_exact,0.0002487092838454989
nested_prefix,930915,estimated_exact_minus_oracle_exact,-9.861382208150096e-05
nested_prefix,930916,estimated_exact_minus_oracle_exact,-0.00027006304527920147
nested_prefix,930917,estimated_exact_minus_oracle_exact,-0.00040862492382509955
nested_prefix,930918,estimated_exact_minus_oracle_exact,-2.0309172002699882e-05
nested_prefix,930919,estimated_exact_minus_oracle_exact,-6.943491789939901e-05
nested_prefix,930920,estimated_exact_minus_oracle_exact,-0.00016675135570680052
nested_prefix,930921,estimated_exact_minus_oracle_exact,-5.601660183689877e-05
nested_prefix,930922,estimated_exact_minus_oracle_exact,-5.205623727300157e-06
nested_prefix,930923,estimated_exact_minus_oracle_exact,0.0012325382092169025
nested_prefix,930924,estimated_exact_minus_oracle_exact,0.00030188402024109925
nested_prefix,930925,estimated_exact_minus_oracle_exact,0.0
nested_prefix,930926,estimated_exact_minus_oracle_exact,-0.0004695965322364
nested_prefix,930927,estimated_exact_minus_oracle_exact,0.0005506847947467017
nested_prefix,930928,estimated_exact_minus_oracle_exact,0.0
nested_prefix,930929,estimated_exact_minus_oracle_exact,-0.0008945426303102987
quartet,930910,fixed_exact_minus_estimated_exact,0.6279681526719836
quartet,930911,fixed_exact_minus_estimated_exact,0.47799058657696836
