family,contrast,mean_difference,ci95_low,ci95_high,ci975_low,ci975_high,seed_count,primary,meaningful_superiority
all,fixed_exact_minus_estimated_exact,0.4591316527195183,0.3948293520505193,0.5233198964592279,0.384889667267149,0.532268163248317,20,True,True
all,estimated_broadcast_minus_exact,0.6075018739119817,0.5736329841719187,0.6411834537592721,0.5691559788503392,0.6461037269120056,20,True,True
all,estimated_exact_minus_oracle_exact,0.02354713990698409,-0.004697339788073526,0.054138157103823865,-0.008592315401747931,0.05790045731319659,20,False,False
matching,fixed_exact_minus_estimated_exact,0.553593741947789,0.4828041438135034,0.6194053497595644,0.4723895945779754,0.6276235029943393,20,False,True
matching,estimated_broadcast_minus_exact,-0.004013573838605035,-0.00841304172935429,-0.0008757755936557964,-0.008915393394757746,-0.0007814959489709436,20,False,False
matching,estimated_exact_minus_oracle_exact,0.0013700492794138492,-0.004086125427338804,0.007203361228169473,-0.005187235798724494,0.00820727739469443,20,False,False
nested_prefix,fixed_exact_minus_estimated_exact,0.5553701328399547,0.47840421523593096,0.627800182933934,0.4664744293223569,0.6375725468790305,20,False,True
nested_prefix,estimated_broadcast_minus_exact,0.9416572101631322,0.8614814186127567,1.0502686094973124,0.8524744132126928,1.0656052608899729,20,False,True
nested_prefix,estimated_exact_minus_oracle_exact,-0.0001561783735326599,-0.0004543058033810576,0.0001129941414733075,-0.0005037168513330653,0.0001526150027191311,20,False,False
quartet,fixed_exact_minus_estimated_exact,0.4481641807538475,0.3781434606799952,0.5211089984728888,0.36802099223552703,0.5322895626740686,20,False,True
quartet,estimated_broadcast_minus_exact,0.969014265080166,0.9407681139649535,0.9919285078343568,0.9366395622162983,0.9945087446186899,20,False,True
quartet,estimated_exact_minus_oracle_exact,-0.03527580440703522,-0.09708186546296112,0.00028014766353405394,-0.1062531973959562,0.00033231580118138894,20,False,False
random_interactions,fixed_exact_minus_estimated_exact,0.2793985553364815,0.12651611473094881,0.4230032080009548,0.10660983275326673,0.44321877959092537,20,False,True
random_interactions,estimated_broadcast_minus_exact,0.5233495942432338,0.39902826291821814,0.6461168397967103,0.3830978523678645,0.661987588518768,20,False,True
random_interactions,estimated_exact_minus_oracle_exact,0.12825049312909043,0.04269528623252193,0.22990790948896653,0.03307879621098369,0.2439698807077938,20,False,True
