seed,family,calibration_rows,calibration_noise_sd,observed_rank995,oracle_menu_test_nmse,label_queries,policy,selected_candidate,test_nmse,regret,exact_population_nmse
820910,matching,64,0.0,8,0.3764922629053603,64,estimated_cut,mixed_p3,0.3764922629053603,0.0,0.3783848387094809
820910,matching,64,0.0,8,0.3764922629053603,64,two_sweep_pilot,balanced_p1,0.3942199049011451,0.017727641995784804,0.3952542376520445
820910,matching,64,0.0,8,0.3764922629053603,64,development_best_fixed,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.0,8,0.3764922629053603,64,observed_rank_only,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.0,8,0.3764922629053603,64,fixed_balanced,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.0,8,0.3764922629053603,64,fixed_comb,comb_p0,0.6340853417010495,0.25759307879568916,0.649294708637244
820910,matching,64,0.0,8,0.3764922629053603,64,fixed_mixed,mixed_p0,0.3986453140131073,0.022153051107747013,0.4081426465523554
820910,matching,64,0.0,8,0.3764922629053603,64,oracle_full_target_cut,mixed_p3,0.3764922629053603,0.0,0.3783848387094809
820910,matching,64,0.0,8,0.3764922629053603,64,uniform_random_expectation,exact_expectation,0.5796335805105902,0.2031413176052299,0.5833095248571812
820910,matching,64,0.0,8,0.3764922629053603,64,oracle_best_trained_menu,mixed_p3,0.3764922629053603,0.0,0.3783848387094809
820910,matching,64,0.5,8,0.3764922629053603,64,estimated_cut,mixed_p3,0.3764922629053603,0.0,0.3783848387094809
820910,matching,64,0.5,8,0.3764922629053603,64,two_sweep_pilot,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.5,8,0.3764922629053603,64,development_best_fixed,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.5,8,0.3764922629053603,64,observed_rank_only,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.5,8,0.3764922629053603,64,fixed_balanced,balanced_p0,0.6375616912503824,0.2610694283450221,0.6222049270909602
820910,matching,64,0.5,8,0.3764922629053603,64,fixed_comb,comb_p0,0.6340853417010495,0.25759307879568916,0.649294708637244
