calibration_rows,calibration_noise_sd,estimator_seconds,score_seconds,pilot_seconds
64,0.0,0.0017714215209707,0.04090351401828225,0.05510719300946215
64,0.5,0.0022062445059418,0.043313524452969404,0.0549363500322215
256,0.0,0.00243804347701365,0.04093052598182105,0.06659655203111464
256,0.5,0.00265275494894005,0.0436378470039926,0.06614486098987975
1024,0.0,0.00666039297357195,0.040466773498337646,0.08844413695624095
1024,0.5,0.007196681457571651,0.04332000302383675,0.0878395360196009
