root_id,alignment,control,morphology_minus_control_credit_capture,morphology_minus_control_one_step_progress,morphology_minus_control_iterative_progress
864691135060651419,0.0,random paths,-0.057905747493855256,-0.19540145479939505,-0.05509168360943611
864691135060651419,0.0,depth bins,-0.05895117997093794,-0.19886598404038067,-0.05370234729195104
864691135060651419,0.0,ancestry-shuffled paths,-0.06119765669725857,-0.20275903840078655,-0.05801508462783133
864691135060651419,0.2,random paths,0.12619393211744973,0.19356332824951286,0.12385402020207711
864691135060651419,0.2,depth bins,0.12919482589977013,0.19877974990690933,0.1312702991342543
864691135060651419,0.2,ancestry-shuffled paths,0.1356662079390123,0.2122890462595332,0.1345420121857125
864691135060651419,0.4,random paths,0.3103127789767821,0.36465202098950933,0.3006491345074293
864691135060651419,0.4,depth bins,0.3171427288039619,0.37250711373392786,0.3137052405342422
864691135060651419,0.4,ancestry-shuffled paths,0.3326959613617324,0.4030195097384414,0.3249547666985485
864691135060651419,0.6,random paths,0.49443718238199685,0.4957692888576709,0.47618507660542597
864691135060651419,0.6,depth bins,0.5050332020645573,0.5034516189273575,0.4946764055250279
864691135060651419,0.6,ancestry-shuffled paths,0.5297738056033323,0.550975526768329,0.5140649455388034
864691135060651419,0.8,random paths,0.678567142333095,0.6078526141318575,0.6513493723538205
864691135060651419,0.8,depth bins,0.6928662456815573,0.6127689527762729,0.6750904365202304
864691135060651419,0.8,ancestry-shuffled paths,0.7268997406638132,0.6782399221648467,0.7028228540719548
864691135060651419,1.0,random paths,0.8627162695322196,0.7112408763140834,0.8270193968516121
864691135060651419,1.0,depth bins,0.8805011863320401,0.7083453876549092,0.8556662549055076
864691135060651419,1.0,ancestry-shuffled paths,0.9241915645107424,0.7961208886883615,0.892264769888068
864691135196576298,0.0,random paths,-0.2847510331888522,-0.48622337498085055,-0.282006101189956
864691135196576298,0.0,depth bins,-0.3676454362872853,-0.5728556132377034,-0.35490270029061094
864691135196576298,0.0,ancestry-shuffled paths,-0.3293776220064778,-0.5285011530757442,-0.33937060602390434
864691135196576298,0.2,random paths,-0.13328867969777985,-0.12284604603694599,-0.12913638277729855
864691135196576298,0.2,depth bins,-0.17468813596907212,-0.16127866398593688,-0.16265070225674527
864691135196576298,0.2,ancestry-shuffled paths,-0.1404643424531074,-0.1285007800318671,-0.14943039160700655
864691135196576298,0.4,random paths,0.018094538670782312,0.026030336852766456,0.02148859665202668
864691135196576298,0.4,depth bins,0.018512613064515016,0.026236265810514414,0.02736004660225022
864691135196576298,0.4,ancestry-shuffled paths,0.048801854444619375,0.05323624710541519,0.038863039408211675
864691135196576298,0.6,random paths,0.16945481592966982,0.13596713566769847,0.17185392777715697
864691135196576298,0.6,depth bins,0.21178393738126772,0.1702151191942124,0.21729660697112374
864691135196576298,0.6,ancestry-shuffled paths,0.23817036135648506,0.1947573749220014,0.2277951553285834
864691135196576298,0.8,random paths,0.3207921520788833,0.22695775235326332,0.32381618776399756
864691135196576298,0.8,depth bins,0.4051258369811864,0.2924900104939555,0.4096006785984257
864691135196576298,0.8,ancestry-shuffled paths,0.42764117828249004,0.3176240072257033,0.41987032649594214
864691135196576298,1.0,random paths,0.4720503531055864,0.30656637753041516,0.4791916442334836
864691135196576298,1.0,depth bins,0.5987111852964789,0.4019366151308881,0.6072320573920202
864691135196576298,1.0,ancestry-shuffled paths,0.6174649125528513,0.4327027907810035,0.6181027350184802
864691135277186789,0.0,random paths,-0.07158162358439332,-0.22280413624638107,-0.07034322193157602
864691135277186789,0.0,depth bins,-0.07317670055302489,-0.22698419391466387,-0.06670441417451943
864691135277186789,0.0,ancestry-shuffled paths,-0.07841500175399986,-0.23673883773729504,-0.07354283644417137
864691135277186789,0.2,random paths,0.09881770360804154,0.1438021545954642,0.08780022350490432
864691135277186789,0.2,depth bins,0.10108426841391949,0.1478922881414751,0.09648892425860024
864691135277186789,0.2,ancestry-shuffled paths,0.10878466970064217,0.16099666401388785,0.10094105653304616
864691135277186789,0.4,random paths,0.2691460616878606,0.29829052388756916,0.24557911282976516
864691135277186789,0.4,depth bins,0.275589374522335,0.30343881025908426,0.25949908581324765
864691135277186789,0.4,ancestry-shuffled paths,0.29590642874351814,0.33459513892638293,0.2749920380991473
864691135277186789,0.6,random paths,0.43945384596752146,0.4147621542101952,0.40338767786630775
864691135277186789,0.6,depth bins,0.4501652554872295,0.4181213796796822,0.4225230023490922
864691135277186789,0.6,ancestry-shuffled paths,0.4830056011380561,0.46484739266023967,0.4490590522551567
864691135277186789,0.8,random paths,0.6097410564470243,0.5129249626690282,0.5615789918544822
864691135277186789,0.8,depth bins,0.6248119113086033,0.5125251123694088,0.5859242751841813
864691135277186789,0.8,ancestry-shuffled paths,0.670082186884256,0.5731764867860367,0.6235319412459008
864691135277186789,1.0,random paths,0.7799572978139113,0.6013445376257359,0.7205259655609374
864691135277186789,1.0,depth bins,0.799702704271448,0.5946311162651781,0.750306882282904
864691135277186789,1.0,ancestry-shuffled paths,0.85708086021869,0.667690596575114,0.7988345277113724
864691135324623260,0.0,random paths,-0.2046859337452685,-0.4058277043836916,-0.19477352740812923
864691135324623260,0.0,depth bins,-0.2066471462104688,-0.4157685927429669,-0.19014839076383494
864691135324623260,0.0,ancestry-shuffled paths,-0.21046245660475843,-0.41640038368597426,-0.20941491561394845
864691135324623260,0.2,random paths,-0.024208987859197062,-0.013996244470090513,-0.01648381093662457
864691135324623260,0.2,depth bins,-0.03137343604525511,-0.023264742261253024,-0.015526005085427147
864691135324623260,0.2,ancestry-shuffled paths,-0.020603277167309253,-0.011259703024285472,-0.020732190717153848
864691135324623260,0.4,random paths,0.1561572079483888,0.15938105313200618,0.16015325754403256
864691135324623260,0.4,depth bins,0.143941329376017,0.14426947134456664,0.1570479184442337
864691135324623260,0.4,ancestry-shuffled paths,0.1690903096322081,0.17240835141657057,0.16600990945442395
864691135324623260,0.6,random paths,0.336491297535419,0.2929666758292199,0.3366022970641442
864691135324623260,0.6,depth bins,0.3192679966317977,0.26805463909877275,0.3289278827195973
864691135324623260,0.6,ancestry-shuffled paths,0.35873589146569285,0.31504790971544905,0.35237980344797637
