root_id,alignment,method,credit_capture,one_step_progress,iterative_progress
864691135060651419,0.0,ancestry-shuffled paths,0.06119765669725857,0.20275903840078655,0.05801508462783135
864691135196576298,0.0,ancestry-shuffled paths,0.3293776220064778,0.5285011530757442,0.3393706060239044
864691135277186789,0.0,ancestry-shuffled paths,0.07841500175399986,0.23673883773729504,0.0735428364441714
864691135324623260,0.0,ancestry-shuffled paths,0.21046245660475843,0.41640038368597426,0.20941491561394848
864691135409937097,0.0,ancestry-shuffled paths,0.10243282231887255,0.2762791935586759,0.09735096066429523
864691135739661169,0.0,ancestry-shuffled paths,0.22915916244794393,0.4379451602090361,0.22056355615350126
864691135810666525,0.0,ancestry-shuffled paths,0.06723664606101615,0.21629772287832397,0.06547112345042289
864691136043380566,0.0,ancestry-shuffled paths,0.13797722976026683,0.329879727644387,0.13699187290191686
864691135060651419,0.0,depth bins,0.05895117997093794,0.19886598404038067,0.05370234729195106
864691135196576298,0.0,depth bins,0.3676454362872853,0.5728556132377034,0.354902700290611
864691135277186789,0.0,depth bins,0.07317670055302489,0.22698419391466387,0.06670441417451946
864691135324623260,0.0,depth bins,0.2066471462104688,0.4157685927429669,0.19014839076383497
864691135409937097,0.0,depth bins,0.10528249885146479,0.282417511688907,0.09751496014568714
864691135739661169,0.0,depth bins,0.22291303572034957,0.43329123520759827,0.20702328217143018
864691135810666525,0.0,depth bins,0.06274551615472934,0.20646965800203146,0.057387054079509336
864691136043380566,0.0,depth bins,0.12741827330735517,0.31457446732186267,0.11684422576318539
864691135060651419,0.0,morphology-selected paths,6.276804010133443e-33,0.0,2.134095275391405e-17
864691135196576298,0.0,morphology-selected paths,8.973249133664104e-32,0.0,3.394749960804564e-17
864691135277186789,0.0,morphology-selected paths,2.8389752445149145e-32,0.0,2.6368082238472137e-17
864691135324623260,0.0,morphology-selected paths,2.167546224224887e-32,0.0,2.7811236695282474e-17
864691135409937097,0.0,morphology-selected paths,4.1431466608254397e-32,0.0,2.799420896939544e-17
864691135739661169,0.0,morphology-selected paths,1.6074301342972834e-32,0.0,2.763158550033483e-17
864691135810666525,0.0,morphology-selected paths,2.3138656218146933e-33,0.0,2.1195844931761714e-17
864691136043380566,0.0,morphology-selected paths,3.6180420542793916e-32,0.0,2.92969990641853e-17
864691135060651419,0.0,random paths,0.057905747493855256,0.19540145479939505,0.05509168360943613
864691135196576298,0.0,random paths,0.2847510331888522,0.48622337498085055,0.28200610118995606
864691135277186789,0.0,random paths,0.07158162358439332,0.22280413624638107,0.07034322193157605
864691135324623260,0.0,random paths,0.2046859337452685,0.4058277043836916,0.19477352740812925
864691135409937097,0.0,random paths,0.0986272224234913,0.2681470736610775,0.09453439116546088
864691135739661169,0.0,random paths,0.17543354215359966,0.36976613615082166,0.17657944884943305
864691135810666525,0.0,random paths,0.060677721751306556,0.20238528545165174,0.061426677538174115
864691136043380566,0.0,random paths,0.1235047185512816,0.3054888998153002,0.11836749507327089
