root_id,stream,method,requested_channels,effective_rank,wiring_nonzeros,n_weighted_coordinates
864691135060651419,16,morphology-selected paths,8,8,32,128
864691135060651419,16,random paths,8,8,35,128
864691135060651419,16,depth bins,8,8,128,128
864691135060651419,16,ancestry-shuffled paths,8,8,32,128
864691135060651419,17,morphology-selected paths,8,8,32,128
864691135060651419,17,random paths,8,8,33,128
864691135060651419,17,depth bins,8,8,128,128
864691135060651419,17,ancestry-shuffled paths,8,8,32,128
864691135060651419,18,morphology-selected paths,8,8,32,128
864691135060651419,18,random paths,8,8,130,128
864691135060651419,18,depth bins,8,8,128,128
864691135060651419,18,ancestry-shuffled paths,8,8,32,128
864691135060651419,19,morphology-selected paths,8,8,32,128
864691135060651419,19,random paths,8,8,52,128
864691135060651419,19,depth bins,8,8,128,128
864691135060651419,19,ancestry-shuffled paths,8,8,32,128
864691135060651419,20,morphology-selected paths,8,8,32,128
864691135060651419,20,random paths,8,8,84,128
864691135060651419,20,depth bins,8,8,128,128
864691135060651419,20,ancestry-shuffled paths,8,8,32,128
864691135060651419,21,morphology-selected paths,8,8,32,128
864691135060651419,21,random paths,8,8,24,128
864691135060651419,21,depth bins,8,8,128,128
864691135060651419,21,ancestry-shuffled paths,8,8,32,128
864691135060651419,22,morphology-selected paths,8,8,32,128
864691135060651419,22,random paths,8,8,22,128
864691135060651419,22,depth bins,8,8,128,128
864691135060651419,22,ancestry-shuffled paths,8,8,32,128
864691135060651419,23,morphology-selected paths,8,8,32,128
864691135060651419,23,random paths,8,8,20,128
864691135060651419,23,depth bins,8,8,128,128
864691135060651419,23,ancestry-shuffled paths,8,8,32,128
864691135060651419,24,morphology-selected paths,8,8,32,128
864691135060651419,24,random paths,8,8,64,128
864691135060651419,24,depth bins,8,8,128,128
864691135060651419,24,ancestry-shuffled paths,8,8,32,128
864691135060651419,25,morphology-selected paths,8,8,32,128
864691135060651419,25,random paths,8,8,16,128
864691135060651419,25,depth bins,8,8,128,128
864691135060651419,25,ancestry-shuffled paths,8,8,32,128
864691135060651419,26,morphology-selected paths,8,8,32,128
864691135060651419,26,random paths,8,8,78,128
864691135060651419,26,depth bins,8,8,128,128
864691135060651419,26,ancestry-shuffled paths,8,8,32,128
864691135060651419,27,morphology-selected paths,8,8,32,128
864691135060651419,27,random paths,8,8,204,128
864691135060651419,27,depth bins,8,8,128,128
864691135060651419,27,ancestry-shuffled paths,8,8,32,128
864691135060651419,28,morphology-selected paths,8,8,32,128
864691135060651419,28,random paths,8,8,21,128
864691135060651419,28,depth bins,8,8,128,128
864691135060651419,28,ancestry-shuffled paths,8,8,32,128
864691135060651419,29,morphology-selected paths,8,8,32,128
864691135060651419,29,random paths,8,8,25,128
864691135060651419,29,depth bins,8,8,128,128
864691135060651419,29,ancestry-shuffled paths,8,8,32,128
864691135060651419,30,morphology-selected paths,8,8,32,128
864691135060651419,30,random paths,8,8,27,128
864691135060651419,30,depth bins,8,8,128,128
864691135060651419,30,ancestry-shuffled paths,8,8,32,128
864691135060651419,31,morphology-selected paths,8,8,32,128
864691135060651419,31,random paths,8,8,16,128
864691135060651419,31,depth bins,8,8,128,128
864691135060651419,31,ancestry-shuffled paths,8,8,32,128
864691135060651419,32,morphology-selected paths,8,8,32,128
864691135060651419,32,random paths,8,8,21,128
864691135060651419,32,depth bins,8,8,128,128
864691135060651419,32,ancestry-shuffled paths,8,8,32,128
864691135060651419,33,morphology-selected paths,8,8,32,128
864691135060651419,33,random paths,8,8,35,128
864691135060651419,33,depth bins,8,8,128,128
864691135060651419,33,ancestry-shuffled paths,8,8,32,128
864691135060651419,34,morphology-selected paths,8,8,32,128
864691135060651419,34,random paths,8,8,153,128
864691135060651419,34,depth bins,8,8,128,128
864691135060651419,34,ancestry-shuffled paths,8,8,32,128
864691135060651419,35,morphology-selected paths,8,8,32,128
864691135060651419,35,random paths,8,8,78,128
864691135060651419,35,depth bins,8,8,128,128
864691135060651419,35,ancestry-shuffled paths,8,8,32,128
864691135060651419,36,morphology-selected paths,8,8,32,128
864691135060651419,36,random paths,8,8,14,128
864691135060651419,36,depth bins,8,8,128,128
864691135060651419,36,ancestry-shuffled paths,8,8,32,128
864691135060651419,37,morphology-selected paths,8,8,32,128
864691135060651419,37,random paths,8,8,34,128
864691135060651419,37,depth bins,8,8,128,128
864691135060651419,37,ancestry-shuffled paths,8,8,32,128
864691135060651419,38,morphology-selected paths,8,8,32,128
864691135060651419,38,random paths,8,8,24,128
864691135060651419,38,depth bins,8,8,128,128
864691135060651419,38,ancestry-shuffled paths,8,8,32,128
864691135060651419,39,morphology-selected paths,8,8,32,128
864691135060651419,39,random paths,8,8,40,128
864691135060651419,39,depth bins,8,8,128,128
864691135060651419,39,ancestry-shuffled paths,8,8,32,128
864691135196576298,0,morphology-selected paths,8,8,12,21
864691135196576298,0,random paths,8,8,30,21
864691135196576298,0,depth bins,8,8,21,21
864691135196576298,0,ancestry-shuffled paths,8,8,12,21
864691135196576298,1,morphology-selected paths,8,8,12,21
864691135196576298,1,random paths,8,8,32,21
864691135196576298,1,depth bins,8,8,21,21
864691135196576298,1,ancestry-shuffled paths,8,8,12,21
864691135196576298,2,morphology-selected paths,8,8,12,21
864691135196576298,2,random paths,8,8,34,21
864691135196576298,2,depth bins,8,8,21,21
864691135196576298,2,ancestry-shuffled paths,8,8,12,21
864691135196576298,3,morphology-selected paths,8,8,12,21
864691135196576298,3,random paths,8,8,10,21
864691135196576298,3,depth bins,8,8,21,21
864691135196576298,3,ancestry-shuffled paths,8,8,12,21
864691135196576298,4,morphology-selected paths,8,8,12,21
864691135196576298,4,random paths,8,8,25,21
864691135196576298,4,depth bins,8,8,21,21
864691135196576298,4,ancestry-shuffled paths,8,7,12,21
864691135196576298,5,morphology-selected paths,8,8,12,21
864691135196576298,5,random paths,8,8,17,21
864691135196576298,5,depth bins,8,8,21,21
864691135196576298,5,ancestry-shuffled paths,8,6,12,21
864691135196576298,6,morphology-selected paths,8,8,12,21
864691135196576298,6,random paths,8,8,15,21
864691135196576298,6,depth bins,8,8,21,21
864691135196576298,6,ancestry-shuffled paths,8,8,12,21
864691135196576298,7,morphology-selected paths,8,8,12,21
864691135196576298,7,random paths,8,8,25,21
864691135196576298,7,depth bins,8,8,21,21
864691135196576298,7,ancestry-shuffled paths,8,7,12,21
864691135196576298,8,morphology-selected paths,8,8,12,21
864691135196576298,8,random paths,8,8,43,21
864691135196576298,8,depth bins,8,8,21,21
864691135196576298,8,ancestry-shuffled paths,8,8,12,21
864691135196576298,9,morphology-selected paths,8,8,12,21
864691135196576298,9,random paths,8,7,21,21
864691135196576298,9,depth bins,8,8,21,21
864691135196576298,9,ancestry-shuffled paths,8,8,12,21
864691135196576298,10,morphology-selected paths,8,8,12,21
864691135196576298,10,random paths,8,8,32,21
864691135196576298,10,depth bins,8,8,21,21
864691135196576298,10,ancestry-shuffled paths,8,6,12,21
864691135196576298,11,morphology-selected paths,8,8,12,21
864691135196576298,11,random paths,8,8,25,21
864691135196576298,11,depth bins,8,8,21,21
864691135196576298,11,ancestry-shuffled paths,8,7,12,21
864691135196576298,12,morphology-selected paths,8,8,12,21
864691135196576298,12,random paths,8,8,25,21
864691135196576298,12,depth bins,8,8,21,21
864691135196576298,12,ancestry-shuffled paths,8,8,12,21
864691135196576298,13,morphology-selected paths,8,8,12,21
864691135196576298,13,random paths,8,8,39,21
864691135196576298,13,depth bins,8,8,21,21
864691135196576298,13,ancestry-shuffled paths,8,8,12,21
864691135196576298,14,morphology-selected paths,8,8,12,21
864691135196576298,14,random paths,8,8,14,21
864691135196576298,14,depth bins,8,8,21,21
864691135196576298,14,ancestry-shuffled paths,8,8,12,21
864691135196576298,15,morphology-selected paths,8,8,12,21
864691135196576298,15,random paths,8,8,28,21
864691135196576298,15,depth bins,8,8,21,21
864691135196576298,15,ancestry-shuffled paths,8,8,12,21
864691135196576298,16,morphology-selected paths,8,8,12,21
864691135196576298,16,random paths,8,8,41,21
864691135196576298,16,depth bins,8,8,21,21
864691135196576298,16,ancestry-shuffled paths,8,7,12,21
864691135196576298,17,morphology-selected paths,8,8,12,21
864691135196576298,17,random paths,8,8,15,21
864691135196576298,17,depth bins,8,8,21,21
864691135196576298,17,ancestry-shuffled paths,8,8,12,21
864691135196576298,18,morphology-selected paths,8,8,12,21
864691135196576298,18,random paths,8,8,10,21
864691135196576298,18,depth bins,8,8,21,21
864691135196576298,18,ancestry-shuffled paths,8,7,12,21
864691135196576298,19,morphology-selected paths,8,8,12,21
864691135196576298,19,random paths,8,8,22,21
864691135196576298,19,depth bins,8,8,21,21
864691135196576298,19,ancestry-shuffled paths,8,7,12,21
864691135196576298,20,morphology-selected paths,8,8,12,21
864691135196576298,20,random paths,8,8,18,21
864691135196576298,20,depth bins,8,8,21,21
864691135196576298,20,ancestry-shuffled paths,8,6,12,21
864691135196576298,21,morphology-selected paths,8,8,12,21
864691135196576298,21,random paths,8,8,10,21
864691135196576298,21,depth bins,8,8,21,21
864691135196576298,21,ancestry-shuffled paths,8,7,12,21
864691135196576298,22,morphology-selected paths,8,8,12,21
864691135196576298,22,random paths,8,8,25,21
864691135196576298,22,depth bins,8,8,21,21
864691135196576298,22,ancestry-shuffled paths,8,8,12,21
864691135196576298,23,morphology-selected paths,8,8,12,21
864691135196576298,23,random paths,8,7,19,21
864691135196576298,23,depth bins,8,8,21,21
864691135196576298,23,ancestry-shuffled paths,8,8,12,21
864691135196576298,24,morphology-selected paths,8,8,12,21
864691135196576298,24,random paths,8,8,36,21
864691135196576298,24,depth bins,8,8,21,21
864691135196576298,24,ancestry-shuffled paths,8,7,12,21
864691135196576298,25,morphology-selected paths,8,8,12,21
864691135196576298,25,random paths,8,8,15,21
864691135196576298,25,depth bins,8,8,21,21
864691135196576298,25,ancestry-shuffled paths,8,7,12,21
864691135196576298,26,morphology-selected paths,8,8,12,21
864691135196576298,26,random paths,8,8,16,21
864691135196576298,26,depth bins,8,8,21,21
864691135196576298,26,ancestry-shuffled paths,8,8,12,21
864691135196576298,27,morphology-selected paths,8,8,12,21
864691135196576298,27,random paths,8,8,36,21
864691135196576298,27,depth bins,8,8,21,21
864691135196576298,27,ancestry-shuffled paths,8,8,12,21
864691135196576298,28,morphology-selected paths,8,8,12,21
864691135196576298,28,random paths,8,8,19,21
864691135196576298,28,depth bins,8,8,21,21
864691135196576298,28,ancestry-shuffled paths,8,5,12,21
864691135196576298,29,morphology-selected paths,8,8,12,21
864691135196576298,29,random paths,8,8,39,21
864691135196576298,29,depth bins,8,8,21,21
864691135196576298,29,ancestry-shuffled paths,8,8,12,21
864691135196576298,30,morphology-selected paths,8,8,12,21
864691135196576298,30,random paths,8,8,39,21
864691135196576298,30,depth bins,8,8,21,21
864691135196576298,30,ancestry-shuffled paths,8,7,12,21
864691135196576298,31,morphology-selected paths,8,8,12,21
864691135196576298,31,random paths,8,8,32,21
864691135196576298,31,depth bins,8,8,21,21
864691135196576298,31,ancestry-shuffled paths,8,7,12,21
864691135196576298,32,morphology-selected paths,8,8,12,21
864691135196576298,32,random paths,8,8,16,21
864691135196576298,32,depth bins,8,8,21,21
864691135196576298,32,ancestry-shuffled paths,8,7,12,21
864691135196576298,33,morphology-selected paths,8,8,12,21
864691135196576298,33,random paths,8,8,36,21
864691135196576298,33,depth bins,8,8,21,21
864691135196576298,33,ancestry-shuffled paths,8,6,12,21
864691135196576298,34,morphology-selected paths,8,8,12,21
864691135196576298,34,random paths,8,8,44,21
864691135196576298,34,depth bins,8,8,21,21
864691135196576298,34,ancestry-shuffled paths,8,7,12,21
864691135196576298,35,morphology-selected paths,8,8,12,21
864691135196576298,35,random paths,8,8,25,21
864691135196576298,35,depth bins,8,8,21,21
864691135196576298,35,ancestry-shuffled paths,8,8,12,21
864691135196576298,36,morphology-selected paths,8,8,12,21
864691135196576298,36,random paths,8,8,26,21
864691135196576298,36,depth bins,8,8,21,21
864691135196576298,36,ancestry-shuffled paths,8,7,12,21
864691135196576298,37,morphology-selected paths,8,8,12,21
864691135196576298,37,random paths,8,8,34,21
864691135196576298,37,depth bins,8,8,21,21
864691135196576298,37,ancestry-shuffled paths,8,8,12,21
864691135196576298,38,morphology-selected paths,8,8,12,21
864691135196576298,38,random paths,8,8,17,21
864691135196576298,38,depth bins,8,8,21,21
864691135196576298,38,ancestry-shuffled paths,8,7,12,21
864691135196576298,39,morphology-selected paths,8,8,12,21
864691135196576298,39,random paths,8,8,14,21
864691135196576298,39,depth bins,8,8,21,21
864691135196576298,39,ancestry-shuffled paths,8,7,12,21
864691135277186789,0,morphology-selected paths,8,8,90,95
864691135277186789,0,random paths,8,8,22,95
864691135277186789,0,depth bins,8,8,95,95
864691135277186789,0,ancestry-shuffled paths,8,8,90,95
864691135277186789,1,morphology-selected paths,8,8,90,95
864691135277186789,1,random paths,8,8,35,95
864691135277186789,1,depth bins,8,8,95,95
864691135277186789,1,ancestry-shuffled paths,8,8,90,95
864691135277186789,2,morphology-selected paths,8,8,90,95
864691135277186789,2,random paths,8,8,12,95
864691135277186789,2,depth bins,8,8,95,95
864691135277186789,2,ancestry-shuffled paths,8,8,90,95
864691135277186789,3,morphology-selected paths,8,8,90,95
864691135277186789,3,random paths,8,8,13,95
864691135277186789,3,depth bins,8,8,95,95
864691135277186789,3,ancestry-shuffled paths,8,8,90,95
864691135277186789,4,morphology-selected paths,8,8,90,95
864691135277186789,4,random paths,8,8,40,95
864691135277186789,4,depth bins,8,8,95,95
864691135277186789,4,ancestry-shuffled paths,8,8,90,95
864691135277186789,5,morphology-selected paths,8,8,90,95
864691135277186789,5,random paths,8,8,22,95
864691135277186789,5,depth bins,8,8,95,95
864691135277186789,5,ancestry-shuffled paths,8,8,90,95
864691135277186789,6,morphology-selected paths,8,8,90,95
864691135277186789,6,random paths,8,8,24,95
864691135277186789,6,depth bins,8,8,95,95
864691135277186789,6,ancestry-shuffled paths,8,8,90,95
864691135277186789,7,morphology-selected paths,8,8,90,95
864691135277186789,7,random paths,8,8,18,95
864691135277186789,7,depth bins,8,8,95,95
864691135277186789,7,ancestry-shuffled paths,8,8,90,95
864691135277186789,8,morphology-selected paths,8,8,90,95
864691135277186789,8,random paths,8,8,80,95
864691135277186789,8,depth bins,8,8,95,95
864691135277186789,8,ancestry-shuffled paths,8,8,90,95
864691135277186789,9,morphology-selected paths,8,8,90,95
864691135277186789,9,random paths,8,8,49,95
864691135277186789,9,depth bins,8,8,95,95
864691135277186789,9,ancestry-shuffled paths,8,8,90,95
864691135277186789,10,morphology-selected paths,8,8,90,95
864691135277186789,10,random paths,8,8,19,95
864691135277186789,10,depth bins,8,8,95,95
864691135277186789,10,ancestry-shuffled paths,8,8,90,95
864691135277186789,11,morphology-selected paths,8,8,90,95
864691135277186789,11,random paths,8,8,109,95
864691135277186789,11,depth bins,8,8,95,95
864691135277186789,11,ancestry-shuffled paths,8,8,90,95
864691135277186789,12,morphology-selected paths,8,8,90,95
864691135277186789,12,random paths,8,8,28,95
864691135277186789,12,depth bins,8,8,95,95
864691135277186789,12,ancestry-shuffled paths,8,8,90,95
864691135277186789,13,morphology-selected paths,8,8,90,95
864691135277186789,13,random paths,8,8,34,95
864691135277186789,13,depth bins,8,8,95,95
864691135277186789,13,ancestry-shuffled paths,8,8,90,95
864691135277186789,14,morphology-selected paths,8,8,90,95
864691135277186789,14,random paths,8,8,52,95
864691135277186789,14,depth bins,8,8,95,95
