alignment,method,n_cells,credit_capture,credit_capture_ci_low,credit_capture_ci_high,one_step_progress,one_step_progress_ci_low,one_step_progress_ci_high,iterative_progress,iterative_progress_ci_low,iterative_progress_ci_high
0.0,ancestry-shuffled paths,8,0.15203232470632427,0.09221352046747645,0.22574165571713223,0.3306001521487779,0.2543883644857329,0.41690293397291306,0.15009011948499898,0.08875398470373637,0.22857588413291674
0.0,depth bins,8,0.15309747338195198,0.09107995864401938,0.22761827541902635,0.3314034070195143,0.2505764697225078,0.42249177557223355,0.14302842183509107,0.08371203649310825,0.2168597836302845
0.0,morphology-selected paths,8,3.025932051875104e-32,1.4870206045516722e-32,5.059376062349729e-32,0.0,0.0,0.0,2.694830122017395e-17,2.298439096893808e-17,3.091954905253967e-17
0.0,random paths,8,0.13464594286150605,0.08388055280582381,0.19385452054666524,0.30700550818614614,0.23814220215747658,0.38310734485457193,0.13164031834567955,0.0809075989323626,0.19454953303357508
0.2,ancestry-shuffled paths,8,0.1619082921587558,0.10197068896233052,0.23046985959818483,0.3468758531058729,0.27128292760840483,0.42901676189040105,0.15900770399025288,0.09747900952194329,0.2320086226196653
0.2,depth bins,8,0.1720214438119939,0.1094794608463918,0.24408169767605897,0.3601715452266145,0.282521625480009,0.44437220313977727,0.16039640597119886,0.10119646301243124,0.23188991893487637
0.2,morphology-selected paths,8,0.2,0.19999999999999998,0.20000000000000004,0.4207628551154098,0.41782976296301044,0.4236225321182712,0.19417384005964072,0.18225570245637532,0.20671989186109527
0.2,random paths,8,0.16564738884738545,0.11068876478815579,0.22794543831709194,0.3548570065386436,0.2846371360417255,0.42907062832197423,0.1611428373211179,0.10714924181296141,0.22499943709333176
0.4,ancestry-shuffled paths,8,0.17168831902856418,0.1091195396568679,0.2407019905017357,0.3586083044659711,0.27879427798996304,0.44252983766945253,0.1678112402701965,0.10397937999476502,0.23959166953332123
0.4,depth bins,8,0.1908353177628349,0.12914839826306015,0.2622339308568977,0.3847351172378607,0.31075059115690046,0.46355112983567687,0.1778472809035488,0.11847797058654123,0.24695048513306847
0.4,morphology-selected paths,8,0.4,0.39999999999999997,0.4000000000000001,0.614851623317449,0.6123903214527642,0.6172377568824867,0.38694140320288245,0.3683756002957379,0.4065688770725679
0.4,random paths,8,0.19667016554758526,0.13138743417771956,0.26738933219901306,0.39005490229388745,0.31012643367495424,0.4717019724415443,0.19057249309285856,0.1274252876907395,0.26066369648485016
0.6,ancestry-shuffled paths,8,0.18144053292028678,0.1137837090890537,0.25792105208004296,0.3671576048346619,0.28170189357338776,0.45533380964121306,0.17662996549674748,0.10910304631649967,0.25272004824475813
0.6,depth bins,8,0.2096172749702122,0.14852648288691073,0.277667900003154,0.40662534813191586,0.33460680101583284,0.48261769443485,0.19556814864267508,0.13628439334797876,0.26300098250139503
0.6,morphology-selected paths,8,0.5999999999999999,0.5999999999999999,0.6,0.763788600361321,0.7619734031405051,0.7655761725975243,0.5795820311292172,0.5601489283360568,0.5995680245969718
0.6,random paths,8,0.22769912597810776,0.1498011914232144,0.3131764786474515,0.4186922636942565,0.32713941653842743,0.5114715586173373,0.2201268141908448,0.14518549693777955,0.3033238164610385
0.8,ancestry-shuffled paths,8,0.19116493383392355,0.11708342242391316,0.2730472080342232,0.37263421582159056,0.28102245446339624,0.4696297470262404,0.1855201102938308,0.11277364601153417,0.27045530330485007
0.8,depth bins,8,0.2283673154341258,0.1666656889045786,0.2941438472806805,0.42646556888086873,0.35564985835376817,0.49880962884407587,0.2136672955945637,0.15436168841640183,0.2793779769921885
0.8,morphology-selected paths,8,0.8000000000000003,0.8,0.8000000000000003,0.8893582522097898,0.8883804066412172,0.8903131811180272,0.773363714757968,0.7571997851310532,0.7900731938543353
0.8,random paths,8,0.258734270138953,0.16613855536071265,0.3604438652701404,0.4423307246825865,0.3344227167182558,0.5473377278046312,0.25002893110461993,0.1582367275981136,0.35050124952606915
1.0,ancestry-shuffled paths,8,0.20079339416493716,0.11771399462263282,0.295958766868424,0.37338702618911657,0.27070148001631383,0.4791917638320547,0.19447044225449606,0.1144302994372355,0.29035823466651717
1.0,depth bins,8,0.2470072594188385,0.1848951753918439,0.3130467535888576,0.4444693029101594,0.37458888018352,0.5149737759829592,0.23216868617779488,0.17050785660768508,0.29818731539655596
1.0,morphology-selected paths,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9696407640245188,0.9547696650942746,0.9826853146625877
1.0,random paths,8,0.2897907450141186,0.17891403860456026,0.407928398659357,0.45993128775114794,0.3340985421766675,0.5815280802265428,0.2805728419688173,0.1735776404037021,0.3962149314018321
