task_id,family,maximum_depth,best_centered_cut_bound
matching_000,quadratic_matching,3,0.0
matching_000,quadratic_matching,4,0.0
matching_000,quadratic_matching,5,0.0
matching_001,quadratic_matching,3,0.0
matching_001,quadratic_matching,4,0.0
matching_001,quadratic_matching,5,0.0
matching_002,quadratic_matching,3,0.0
matching_002,quadratic_matching,4,0.0
matching_002,quadratic_matching,5,0.0
matching_003,quadratic_matching,3,0.0
matching_003,quadratic_matching,4,0.0
matching_003,quadratic_matching,5,0.0
matching_004,quadratic_matching,3,0.0
matching_004,quadratic_matching,4,0.0
matching_004,quadratic_matching,5,0.0
matching_005,quadratic_matching,3,0.0
matching_005,quadratic_matching,4,0.0
matching_005,quadratic_matching,5,0.0
matching_006,quadratic_matching,3,0.0
matching_006,quadratic_matching,4,0.0
matching_006,quadratic_matching,5,0.0
matching_007,quadratic_matching,3,0.0
matching_007,quadratic_matching,4,0.0
matching_007,quadratic_matching,5,0.0
matching_008,quadratic_matching,3,0.0
matching_008,quadratic_matching,4,0.0
matching_008,quadratic_matching,5,0.0
matching_009,quadratic_matching,3,0.0
matching_009,quadratic_matching,4,0.0
matching_009,quadratic_matching,5,0.0
matching_010,quadratic_matching,3,0.0
matching_010,quadratic_matching,4,0.0
matching_010,quadratic_matching,5,0.0
matching_011,quadratic_matching,3,0.0
matching_011,quadratic_matching,4,0.0
matching_011,quadratic_matching,5,0.0
matching_012,quadratic_matching,3,0.0
matching_012,quadratic_matching,4,0.0
matching_012,quadratic_matching,5,0.0
matching_013,quadratic_matching,3,0.0
matching_013,quadratic_matching,4,0.0
matching_013,quadratic_matching,5,0.0
matching_014,quadratic_matching,3,0.0
matching_014,quadratic_matching,4,0.0
matching_014,quadratic_matching,5,0.0
matching_015,quadratic_matching,3,0.0
matching_015,quadratic_matching,4,0.0
matching_015,quadratic_matching,5,0.0
matching_016,quadratic_matching,3,0.0
matching_016,quadratic_matching,4,0.0
matching_016,quadratic_matching,5,0.0
matching_017,quadratic_matching,3,0.0
matching_017,quadratic_matching,4,0.0
matching_017,quadratic_matching,5,0.0
matching_018,quadratic_matching,3,0.0
matching_018,quadratic_matching,4,0.0
matching_018,quadratic_matching,5,0.0
matching_019,quadratic_matching,3,0.0
matching_019,quadratic_matching,4,0.0
matching_019,quadratic_matching,5,0.0
matching_020,quadratic_matching,3,0.0
matching_020,quadratic_matching,4,0.0
matching_020,quadratic_matching,5,0.0
matching_021,quadratic_matching,3,0.0
matching_021,quadratic_matching,4,0.0
matching_021,quadratic_matching,5,0.0
matching_022,quadratic_matching,3,0.0
matching_022,quadratic_matching,4,0.0
matching_022,quadratic_matching,5,0.0
matching_023,quadratic_matching,3,0.0
matching_023,quadratic_matching,4,0.0
matching_023,quadratic_matching,5,0.0
matching_024,quadratic_matching,3,0.0
matching_024,quadratic_matching,4,0.0
matching_024,quadratic_matching,5,0.0
matching_025,quadratic_matching,3,0.0
matching_025,quadratic_matching,4,0.0
matching_025,quadratic_matching,5,0.0
