reliability_heterogeneity,method,n_seeds,mean_test_loss_after_one_step,ci95_low_test_loss_after_one_step,ci95_high_test_loss_after_one_step,mean_one_step_test_loss_decrease,ci95_low_one_step_test_loss_decrease,ci95_high_one_step_test_loss_decrease,mean_final_test_loss,ci95_low_final_test_loss,ci95_high_final_test_loss,mean_final_test_accuracy,ci95_low_final_test_accuracy,ci95_high_final_test_accuracy,mean_mean_final_physical_attenuation,ci95_low_mean_final_physical_attenuation,ci95_high_mean_final_physical_attenuation
0,aligned_clean_credit,50,0.3913975706,0.3911101818,0.3916911139,0.00303525939,0.002982919837,0.003087511124,0.3636435565,0.3620594252,0.3651999692,0.9975097656,0.9971386719,0.9978613281,0.5152660375,0.5150224048,0.5155123176
0,anti_aligned_shunt,50,0.3915870922,0.391278553,0.3918984054,0.002845737766,0.00268729186,0.003001835965,0.3647654268,0.3632011049,0.3663161921,0.9973730469,0.9969238281,0.9978027344,0.5154233264,0.5149632784,0.5158814326
0,best_global_shunt,50,0.3915870922,0.3912720534,0.3919007146,0.002845737766,0.002690798797,0.00300248835,0.3647654268,0.363194358,0.3663083221,0.9973730469,0.9969238281,0.9978027344,0.5154233264,0.5149599819,0.5158815067
0,exact_clean_bp,50,0.390052452,0.3897411206,0.3903767686,0.004380377945,0.004284091636,0.004476421242,0.3484454081,0.3464931206,0.3503776777,0.9982714844,0.9979589844,0.9985742187,1,1,1
0,explicit_point_gate,50,0.3915870922,0.3912724055,0.3918988956,0.002845737766,0.002691166561,0.003002191674,0.3647654268,0.3632116551,0.3663052776,0.9973730469,0.9969238281,0.9978027344,0.5154233264,0.5149663821,0.5158790652
0,noisy_no_shunt,50,0.3905399214,0.3901524112,0.3909171496,0.003892908583,0.003625718457,0.004155716398,0.3510909089,0.3492337314,0.3529762269,0.9973242187,0.9966503906,0.9979296875,1,1,1
0,reliability_aligned_shunt,50,0.3915870922,0.3912749438,0.3919029389,0.002845737766,0.002690113832,0.003001782417,0.3647654268,0.3632202117,0.3663143586,0.9973730469,0.9969238281,0.9978027344,0.5154233264,0.5149599231,0.5158724362
0,shuffled_shunt,50,0.3915870922,0.3912700776,0.3918951986,0.002845737766,0.002689190428,0.00299977991,0.3647654268,0.36322405,0.3662964059,0.9973730469,0.9969140625,0.9978027344,0.5154233264,0.5149655685,0.5158790762
0,state_matched_additive,50,0.3905399214,0.3901573279,0.3909263219,0.003892908583,0.003624658439,0.004155103145,0.3510909089,0.3492286724,0.3529044997,0.9973242187,0.9966503906,0.9979394531,1,1,1
0.5,aligned_clean_credit,50,0.3914603165,0.3911712907,0.3917532915,0.002972513445,0.00291761115,0.003026328443,0.3645449007,0.3628839228,0.3661768983,0.9976855469,0.9973632812,0.9979980469,0.5138095016,0.5135766323,0.5140384099
