seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7100,1,6,2.887030804e-05,6.918799244e-06,4.172733884,0.8066786302,0.5375217054
7100,1,7,2.236589054e-05,3.026894131e-06,7.389056099,0.880797078,0.353424906
7100,1.5,0,2.2381336e-05,0.0004495411507,0.04978706837,0.04742587318,4.30276419
7100,1.5,1,2.394019974e-05,0.0002040604322,0.1173191661,0.105000585,2.912958819
7100,1.5,2,2.407836835e-05,8.709749683e-05,0.2764530466,0.2165790958,1.895270705
7100,1.5,3,3.277613269e-05,5.031342888e-05,0.6514390575,0.3944675128,1.446741324
7100,1.5,4,2.788511267e-05,1.816545151e-05,1.535063009,0.6055324872,0.8568033865
7100,1.5,5,2.885038294e-05,7.975776259e-06,3.617250785,0.7834209042,0.5716843728
7100,1.5,6,2.887030804e-05,3.387040464e-06,8.523756461,0.894999415,0.3760891755
7100,1.5,7,2.236589054e-05,1.113532121e-06,20.08553692,0.9525741268,0.2143630414
7100,2,0,2.2381336e-05,0.001221979541,0.01831563889,0.03,7.094058843
7100,2,1,2.394019974e-05,0.0004168397689,0.05743261927,0.05431326613,4.163317358
7100,2,2,2.407836835e-05,0.0001337001456,0.1800923121,0.1526086648,2.34819605
7100,2,3,3.277613269e-05,5.803981033e-05,0.564718122,0.3609072548,1.553860122
7100,2,4,2.788511267e-05,1.574722846e-05,1.770794952,0.6390927452,0.7977377427
7100,2,5,2.885038294e-05,5.195732169e-06,5.552707876,0.8473913352,0.461416603
7100,2,6,2.887030804e-05,1.65809741e-06,17.41170806,0.9456867339,0.2631392677
7100,2,7,2.236589054e-05,4.096455745e-07,54.59815003,0.98201379,0.1300177569
7101,0,0,2.4719184e-05,2.4719184e-05,1,0.5,0.9999562513
7101,0,1,2.725226404e-05,2.725226404e-05,1,0.5,1.062235945
7101,0,2,3.228414614e-05,3.228414614e-05,1,0.5,1.149120145
7101,0,3,2.099872638e-05,2.099872638e-05,1,0.5,0.9313808115
7101,0,4,2.990800093e-05,2.990800093e-05,1,0.5,1.110238075
7101,0,5,3.510593888e-05,3.510593888e-05,1,0.5,1.200159255
7101,0,6,3.239194006e-05,3.239194006e-05,1,0.5,1.159763812
7101,0,7,3.314678988e-05,3.314678988e-05,1,0.5,1.168515634
7101,0.5,0,2.4719184e-05,6.719370869e-05,0.3678794412,0.2689414214,1.648649141
7101,0.5,1,2.725226404e-05,5.566893749e-05,0.4895416596,0.3286525465,1.518190137
7101,0.5,2,3.228414614e-05,4.955819853e-05,0.6514390575,0.3944675128,1.423732967
7101,0.5,3,2.099872638e-05,2.422339569e-05,0.8668778998,0.4643463292,1.000341579
7101,0.5,4,2.990800093e-05,2.592658504e-05,1.153564995,0.5356536708,1.033701348
7101,0.5,5,3.510593888e-05,2.286937974e-05,1.535063009,0.6055324872,0.9686698339
7101,0.5,6,3.239194006e-05,1.585720409e-05,2.04272707,0.6713474535,0.8114548889
7101,0.5,7,3.314678988e-05,1.219402254e-05,2.718281828,0.7310585786,0.7087405581
7101,1,0,2.4719184e-05,0.0001826514373,0.1353352832,0.119202922,2.718162907
7101,1,1,2.725226404e-05,0.0001137164456,0.2396510364,0.1933213698,2.16985812
7101,1,2,3.228414614e-05,7.607495736e-05,0.4243728457,0.2979366301,1.763971827
7101,1,3,2.099872638e-05,2.794326133e-05,0.7514772931,0.4290534031,1.074408301
7101,1,4,2.990800093e-05,2.247518358e-05,1.330712197,0.5709465969,0.9624408508
7101,1,5,3.510593888e-05,1.489800718e-05,2.356418442,0.7020633699,0.7818306139
7101,1,6,3.239194006e-05,7.762762008e-06,4.172733884,0.8066786302,0.5677527011
7101,1,7,3.314678988e-05,4.485930197e-06,7.389056099,0.880797078,0.4298728783
7101,1.5,0,2.4719184e-05,0.000496498083,0.04978706837,0.04742587318,4.481493002
7101,1.5,1,2.725226404e-05,0.0002322916617,0.1173191661,0.105000585,3.10124809
7101,1.5,2,3.228414614e-05,0.000116779853,0.2764530466,0.2165790958,2.185519813
7101,1.5,3,2.099872638e-05,3.223436811e-05,0.6514390575,0.3944675128,1.153959029
7101,1.5,4,2.990800093e-05,1.948323994e-05,1.535063009,0.6055324872,0.8960928538
7101,1.5,5,3.510593888e-05,9.705143758e-06,3.617250785,0.7834209042,0.6310293637
7101,1.5,6,3.239194006e-05,3.800195396e-06,8.523756461,0.894999415,0.397240973
7101,1.5,7,3.314678988e-05,1.650281494e-06,20.08553692,0.9525741268,0.2607310805
7101,2,0,2.4719184e-05,0.001349621717,0.01831563889,0.03,7.388732837
7101,2,1,2.725226404e-05,0.0004745084656,0.05743261927,0.05431326613,4.43242792
7101,2,2,3.228414614e-05,0.0001792644325,0.1800923121,0.1526086648,2.707807901
7101,2,3,2.099872638e-05,3.718443869e-05,0.564718122,0.3609072548,1.239399806
7101,2,4,2.990800093e-05,1.688959012e-05,1.770794952,0.6390927452,0.8343187034
7101,2,5,3.510593888e-05,6.322309703e-06,5.552707876,0.8473913352,0.5093149983
7101,2,6,3.239194006e-05,1.860353961e-06,17.41170806,0.9456867339,0.2779385995
7101,2,7,3.314678988e-05,6.071046338e-07,54.59815003,0.98201379,0.1581413942
7102,0,0,2.36030567e-05,2.36030567e-05,1,0.5,0.9910050584
7102,0,1,3.202621339e-05,3.202621339e-05,1,0.5,1.153436442
7102,0,2,3.255153522e-05,3.255153522e-05,1,0.5,1.15778641
7102,0,3,3.317697415e-05,3.317697415e-05,1,0.5,1.172989535
7102,0,4,2.223570813e-05,2.223570813e-05,1,0.5,0.9578680483
7102,0,5,2.393740694e-05,2.393740694e-05,1,0.5,0.9960433411
7102,0,6,2.057469567e-05,2.057469567e-05,1,0.5,0.9217693236
7102,0,7,2.462312995e-05,2.462312995e-05,1,0.5,1.018191047
7102,0.5,0,2.36030567e-05,6.415976013e-05,0.3678794412,0.2689414214,1.633891119
7102,0.5,1,3.202621339e-05,6.542081305e-05,0.4895416596,0.3286525465,1.648537538
7102,0.5,2,3.255153522e-05,4.996865762e-05,0.6514390575,0.3944675128,1.434470267
7102,0.5,3,3.317697415e-05,3.827179601e-05,0.8668778998,0.4643463292,1.259839359
7102,0.5,4,2.223570813e-05,1.927564396e-05,1.153564995,0.5356536708,0.8918352876
7102,0.5,5,2.393740694e-05,1.559376181e-05,1.535063009,0.6055324872,0.8039242574
7102,0.5,6,2.057469567e-05,1.007217067e-05,2.04272707,0.6713474535,0.6449366815
7102,0.5,7,2.462312995e-05,9.058343285e-06,2.718281828,0.7310585786,0.6175640876
7102,1,0,2.36030567e-05,0.0001744043101,0.1353352832,0.119202922,2.693831042
