sweep,config_id,epoch,split,accuracy,strategy,core_type,use_shunting,rule_variant,error_broadcast_mode,dataset,seed
sweep_neurips_mlp_local_learning_20260219163529,config_0,1,train,0.12549999356269836,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,1,valid,0.12527777254581451,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,1,test,0.12469999492168427,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,10,train,0.46566665172576904,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,10,valid,0.46731480956077576,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,10,test,0.46939998865127563,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,11,train,0.4726666510105133,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,11,valid,0.4731481373310089,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,11,test,0.4763999879360199,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,12,train,0.4763333201408386,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,12,valid,0.47914814949035645,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,12,test,0.48319998383522034,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,13,train,0.4804999828338623,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,13,valid,0.48399999737739563,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,13,test,0.48989999294281006,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,14,train,0.48616665601730347,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,14,valid,0.488611102104187,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,14,test,0.49480000138282776,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,15,train,0.48783332109451294,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,15,valid,0.49149999022483826,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,15,test,0.49969998002052307,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,16,train,0.4893333315849304,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,16,valid,0.49498146772384644,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,16,test,0.5042999982833862,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,17,train,0.49300000071525574,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,17,valid,0.4970925748348236,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,17,test,0.5045999884605408,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,18,train,0.4961666464805603,local_ca,point_mlp,,3f,per_soma,mnist,42
sweep_neurips_mlp_local_learning_20260219163529,config_0,18,valid,0.5,local_ca,point_mlp,,3f,per_soma,mnist,42
