run_dir,dataset,network_type,ie_value,seed,error_broadcast_mode,rule_variant,train_accuracy,valid_accuracy,test_accuracy
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_33,noise_resilience,dendritic_additive,0,42,path_transport,5f,0.8161250352859497,0.7500000596046448,0.7570000290870667
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_34,noise_resilience,dendritic_additive,0,43,path_transport,5f,0.827750027179718,0.76500004529953,0.76500004529953
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_35,noise_resilience,dendritic_additive,0,44,path_transport,5f,0.8377500176429749,0.781000018119812,0.7460000514984131
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_36,mnist,dendritic_additive,5,42,path_transport,5f,0.9464791417121887,0.9365000128746033,0.9368000030517578
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_37,mnist,dendritic_additive,5,43,path_transport,5f,0.9497083425521851,0.9411666393280029,0.9432999491691589
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_38,mnist,dendritic_additive,5,44,path_transport,5f,0.9462708234786987,0.9370833039283752,0.9398999810218811
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_39,noise_resilience,dendritic_additive,5,42,path_transport,5f,0.9391250610351562,0.8680000305175781,0.8730000257492065
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_4,noise_resilience,dendritic_shunting,0,43,path_transport,5f,1.0,0.9950000643730164,0.9950000643730164
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_40,noise_resilience,dendritic_additive,5,43,path_transport,5f,0.9312500357627869,0.8440000414848328,0.8520000576972961
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_41,noise_resilience,dendritic_additive,5,44,path_transport,5f,0.9388750195503235,0.8610000610351562,0.8510000109672546
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_42,mnist,dendritic_additive,10,42,path_transport,5f,0.9551249742507935,0.940750002861023,0.9459999799728394
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_43,mnist,dendritic_additive,10,43,path_transport,5f,0.9553541541099548,0.9458333253860474,0.945099949836731
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_44,mnist,dendritic_additive,10,44,path_transport,5f,0.9524374604225159,0.9415000081062317,0.9414999485015869
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_45,noise_resilience,dendritic_additive,10,42,path_transport,5f,0.9631250500679016,0.8610000610351562,0.8960000276565552
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_46,noise_resilience,dendritic_additive,10,43,path_transport,5f,0.9630000591278076,0.9050000309944153,0.8770000338554382
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_47,noise_resilience,dendritic_additive,10,44,path_transport,5f,0.9646250605583191,0.8940000534057617,0.89000004529953
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_48,mnist,dendritic_additive,20,42,path_transport,5f,0.9590625166893005,0.9422500133514404,0.945099949836731
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_49,mnist,dendritic_additive,20,43,path_transport,5f,0.9601041674613953,0.9469999670982361,0.9478999972343445
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_5,noise_resilience,dendritic_shunting,0,44,path_transport,5f,1.0,0.9940000176429749,0.9920000433921814
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_50,mnist,dendritic_additive,20,44,path_transport,5f,0.9581249952316284,0.9448333382606506,0.9436999559402466
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_51,noise_resilience,dendritic_additive,20,42,path_transport,5f,0.9953750371932983,0.9550000429153442,0.9650000333786011
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_52,noise_resilience,dendritic_additive,20,43,path_transport,5f,0.9983750581741333,0.9650000333786011,0.9670000672340393
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_53,noise_resilience,dendritic_additive,20,44,path_transport,5f,0.9965000748634338,0.971000075340271,0.956000030040741
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_54,mnist,dendritic_additive,40,42,path_transport,5f,0.961395800113678,0.9418333172798157,0.9455999732017517
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_55,mnist,dendritic_additive,40,43,path_transport,5f,0.9626458287239075,0.9449166655540466,0.9457999467849731
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_56,mnist,dendritic_additive,40,44,path_transport,5f,0.9604791402816772,0.9434166550636292,0.9465999603271484
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_57,noise_resilience,dendritic_additive,40,42,path_transport,5f,1.0,0.9650000333786011,0.984000027179718
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_58,noise_resilience,dendritic_additive,40,43,path_transport,5f,1.0,0.9930000305175781,0.9890000224113464
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_59,noise_resilience,dendritic_additive,40,44,path_transport,5f,1.0,0.9860000610351562,0.9820000529289246
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_6,mnist,dendritic_shunting,5,42,path_transport,5f,0.9844791293144226,0.9645833373069763,0.9661999940872192
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_7,mnist,dendritic_shunting,5,43,path_transport,5f,0.9787499904632568,0.9632499814033508,0.9650999903678894
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_8,mnist,dendritic_shunting,5,44,path_transport,5f,0.9841874837875366,0.9635833501815796,0.9666000008583069
/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_path_transport_upper_bound_20260308221201/results/config_9,noise_resilience,dendritic_shunting,5,42,path_transport,5f,1.0,0.9880000352859497,0.9910000562667847
