seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,statistical_reliability,step_optimal_attenuation,optimal_reliability_gain,global_statistical_reliability,step_optimal_global_attenuation,coefficient_noise_sd
8100,0,0,2.428318126e-05,2.428318126e-05,1,0.5,1,1,0.5,1,1.007074834
8100,0,1,2.435455516e-05,2.435455516e-05,1,0.5,1,1,0.5,1,1.003273127
8100,0,2,2.632148191e-05,2.632148191e-05,1,0.5,1,1,0.5,1,1.04206964
8100,0,3,3.014063305e-05,3.014063305e-05,1,0.5,1,1,0.5,1,1.116417871
8100,0,4,1.818245432e-05,1.818245432e-05,1,0.5,1,1,0.5,1,0.8658245645
8100,0,5,2.582581933e-05,2.582581933e-05,1,0.5,1,1,0.5,1,1.029930809
8100,0,6,2.561540267e-05,2.561540267e-05,1,0.5,1,1,0.5,1,1.02875963
8100,0,7,2.888543509e-05,2.888543509e-05,1,0.5,1,1,0.5,1,1.096049398
8100,0.5,0,2.428318126e-05,6.600853035e-05,0.3678794412,0.2689414214,0.5378828427,0.5378828427,0.452169352,0.9043387041,1.6603857
8100,0.5,1,2.435455516e-05,4.974970911e-05,0.4895416596,0.3286525465,0.657305093,0.657305093,0.452169352,0.9043387041,1.433918117
8100,0.5,2,2.632148191e-05,4.040513323e-05,0.6514390575,0.3944675128,0.7889350256,0.7889350256,0.452169352,0.9043387041,1.291099897
8100,0.5,3,3.014063305e-05,3.476917921e-05,0.8668778998,0.4643463292,0.9286926583,0.9286926583,0.452169352,0.9043387041,1.199079047
8100,0.5,4,1.818245432e-05,1.576196781e-05,1.153564995,0.5356536708,1,1,0.452169352,0.9043387041,0.8061370258
8100,0.5,5,2.582581933e-05,1.68239474e-05,1.535063009,0.6055324872,1,1,0.452169352,0.9043387041,0.8312754341
8100,0.5,6,2.561540267e-05,1.253980673e-05,2.04272707,0.6713474535,1,1,0.452169352,0.9043387041,0.719794861
8100,0.5,7,2.888543509e-05,1.062635772e-05,2.718281828,0.7310585786,1,1,0.452169352,0.9043387041,0.6647875646
8100,1,0,2.428318126e-05,0.0001794297886,0.1353352832,0.119202922,0.238405844,0.238405844,0.3276257053,0.6552514105,2.737513221
8100,1,1,2.435455516e-05,0.0001016250775,0.2396510364,0.1933213698,0.3866427396,0.3866427396,0.3276257053,0.6552514105,2.049413176
8100,1,2,2.632148191e-05,6.20244254e-05,0.4243728457,0.2979366301,0.5958732602,0.5958732602,0.3276257053,0.6552514105,1.599642557
8100,1,3,3.014063305e-05,4.010850803e-05,0.7514772931,0.4290534031,0.8581068062,0.8581068062,0.3276257053,0.6552514105,1.287860575
