reliability_heterogeneity,method,n_seeds,mean_test_loss_after_one_step,ci95_low_test_loss_after_one_step,ci95_high_test_loss_after_one_step,mean_one_step_test_loss_decrease,ci95_low_one_step_test_loss_decrease,ci95_high_one_step_test_loss_decrease,mean_final_test_loss,ci95_low_final_test_loss,ci95_high_final_test_loss,mean_final_test_accuracy,ci95_low_final_test_accuracy,ci95_high_final_test_accuracy,mean_mean_final_physical_attenuation,ci95_low_mean_final_physical_attenuation,ci95_high_mean_final_physical_attenuation
0,aligned_clean_credit,50,0.3898338681,0.3894907047,0.3901705383,0.004502958763,0.004397133341,0.004610965914,0.3458400938,0.343231417,0.3483605394,0.9985058594,0.9982226562,0.9987792969,1,1,1
0,anti_aligned_shunt,50,0.3901752781,0.3897352621,0.3906245663,0.004161548808,0.003918619854,0.004411397536,0.3482300527,0.3457982843,0.3505865182,0.9982128906,0.9977441406,0.9986523438,1,1,1
0,best_global_shunt,50,0.3901752781,0.389739126,0.3906238042,0.004161548808,0.003922781663,0.004406323846,0.3482300527,0.3457956285,0.3506222347,0.9982128906,0.997734375,0.9986523438,1,1,1
0,exact_clean_bp,50,0.3898338681,0.3894895521,0.3901675395,0.004502958763,0.004397566788,0.004613075471,0.3458400938,0.3432396334,0.3484097329,0.9985058594,0.9982226562,0.9987792969,1,1,1
0,explicit_point_gate,50,0.3901752781,0.3897341263,0.3906252169,0.004161548808,0.003919444542,0.004408610317,0.3482300527,0.3457351909,0.350648645,0.9982128906,0.997734375,0.9986523438,1,1,1
0,noisy_no_shunt,50,0.3901752781,0.3897336573,0.3906229135,0.004161548808,0.003919843395,0.004409192862,0.3482300527,0.3457922919,0.3506410427,0.9982128906,0.9977441406,0.9986523438,1,1,1
0,reliability_aligned_shunt,50,0.3901752781,0.3897337192,0.3906240987,0.004161548808,0.003917412616,0.004411441934,0.3482300527,0.345695601,0.3506377462,0.9982128906,0.9977441406,0.9986425781,1,1,1
0,shuffled_shunt,50,0.3901752781,0.389728764,0.390614742,0.004161548808,0.003920555194,0.004405289279,0.3482300527,0.3457784922,0.350592023,0.9982128906,0.9977441406,0.9986425781,1,1,1
0,state_matched_additive,50,0.3901752781,0.3897295238,0.3906227747,0.004161548808,0.003918478627,0.004405819828,0.3482300527,0.3457476572,0.3506545255,0.9982128906,0.9977441406,0.9986425781,1,1,1
0.5,aligned_clean_credit,50,0.3901749961,0.3898333775,0.3905134787,0.004161830806,0.004065786284,0.004262295448,0.3502811067,0.3477452976,0.3527088534,0.9983105469,0.9980273438,0.99859375,0.8720292371,0.8714489031,0.8726108001
0.5,anti_aligned_shunt,50,0.390599444,0.3901434915,0.3910565293,0.003737382837,0.003423459287,0.004033978966,0.3529556326,0.3504551444,0.3553915001,0.9974804687,0.9967773438,0.9981445313,0.8712482334,0.8704745132,0.8720394737
