heterogeneity,left_minus_right,metric,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
0,reliability_aligned_shunt - best_global_shunt,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,reliability_aligned_shunt - best_global_shunt,final_test_loss,50,0,0,0,0,50,1
0,reliability_aligned_shunt - best_global_shunt,final_test_accuracy,50,0,0,0,0,50,1
0,reliability_aligned_shunt - noisy_no_shunt,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,reliability_aligned_shunt - noisy_no_shunt,final_test_loss,50,0,0,0,0,50,1
0,reliability_aligned_shunt - noisy_no_shunt,final_test_accuracy,50,0,0,0,0,50,1
0,reliability_aligned_shunt - shuffled_shunt,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,reliability_aligned_shunt - shuffled_shunt,final_test_loss,50,0,0,0,0,50,1
0,reliability_aligned_shunt - shuffled_shunt,final_test_accuracy,50,0,0,0,0,50,1
0,reliability_aligned_shunt - anti_aligned_shunt,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,reliability_aligned_shunt - anti_aligned_shunt,final_test_loss,50,0,0,0,0,50,1
0,reliability_aligned_shunt - anti_aligned_shunt,final_test_accuracy,50,0,0,0,0,50,1
0,reliability_aligned_shunt - explicit_point_gate,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,reliability_aligned_shunt - explicit_point_gate,final_test_loss,50,0,0,0,0,50,1
0,reliability_aligned_shunt - explicit_point_gate,final_test_accuracy,50,0,0,0,0,50,1
0,aligned_clean_credit - exact_clean_bp,one_step_test_loss_decrease,50,0,0,0,0,50,1
0,aligned_clean_credit - exact_clean_bp,final_test_loss,50,0,0,0,0,50,1
0,aligned_clean_credit - exact_clean_bp,final_test_accuracy,50,0,0,0,0,50,1
0.5,reliability_aligned_shunt - best_global_shunt,one_step_test_loss_decrease,50,-4.128853728e-05,-0.0001142659347,3.603573887e-05,20,0,0.09709384968
