optimizer,rule,mean_rule_nmse,mean_exact_nmse,mean,ci95_low,ci95_high,n_seeds,positive_seeds
adam,unit_broadcast,1.3455786123906292e-06,9.389833887022197e-06,-8.044255274631568e-06,-2.186671481864984e-05,-2.7434918366867403e-07,20,7
adam,calibrated_broadcast,1.3455817302603564e-06,9.389833887022197e-06,-8.04425215676184e-06,-2.1866709484229268e-05,-2.7434658465063927e-07,20,7
adam,sign_broadcast,1.3455786123906292e-06,9.389833887022197e-06,-8.044255274631568e-06,-2.186671481864984e-05,-2.7434918366867403e-07,20,7
sgd,unit_broadcast,0.00727717547706438,0.02092607777043157,-0.013648902293367193,-0.017440801947764224,-0.010129173533961979,20,0
sgd,calibrated_broadcast,0.025212638927617124,0.02092607777043157,0.004286561157185552,0.0021111752822419515,0.007170772563078013,20,19
sgd,sign_broadcast,0.00727717547706438,0.02092607777043157,-0.013648902293367193,-0.017440801947764224,-0.010129173533961979,20,0
