phase,seed,model,task,n_conditions,checkpoint_count
development,210100,algebraic,matching,24,7
development,210100,algebraic,quartet,24,7
development,210100,algebraic,nested,24,7
development,210100,conductance,0,24,7
development,210100,conductance,1,24,7
development,210100,conductance,2,24,7
development,210101,algebraic,matching,24,7
development,210101,algebraic,quartet,24,7
development,210101,algebraic,nested,24,7
development,210101,conductance,0,24,7
development,210101,conductance,1,24,7
development,210101,conductance,2,24,7
development,210102,algebraic,matching,24,7
development,210102,algebraic,quartet,24,7
development,210102,algebraic,nested,24,7
development,210102,conductance,0,24,7
development,210102,conductance,1,24,7
development,210102,conductance,2,24,7
fresh,211200,algebraic,matching,12,7
fresh,211200,algebraic,quartet,12,7
fresh,211200,algebraic,nested,12,7
fresh,211200,conductance,0,8,7
fresh,211200,conductance,1,8,7
fresh,211200,conductance,2,8,7
fresh,211201,algebraic,matching,12,7
fresh,211201,algebraic,quartet,12,7
fresh,211201,algebraic,nested,12,7
fresh,211201,conductance,0,8,7
fresh,211201,conductance,1,8,7
fresh,211201,conductance,2,8,7
fresh,211202,algebraic,matching,12,7
fresh,211202,algebraic,quartet,12,7
fresh,211202,algebraic,nested,12,7
fresh,211202,conductance,0,8,7
fresh,211202,conductance,1,8,7
fresh,211202,conductance,2,8,7
fresh,211203,algebraic,matching,12,7
fresh,211203,algebraic,quartet,12,7
fresh,211203,algebraic,nested,12,7
fresh,211203,conductance,0,8,7
fresh,211203,conductance,1,8,7
fresh,211203,conductance,2,8,7
fresh,211204,algebraic,matching,12,7
fresh,211204,algebraic,quartet,12,7
fresh,211204,algebraic,nested,12,7
fresh,211204,conductance,0,8,7
fresh,211204,conductance,1,8,7
fresh,211204,conductance,2,8,7
fresh,211205,algebraic,matching,12,7
fresh,211205,algebraic,quartet,12,7
fresh,211205,algebraic,nested,12,7
fresh,211205,conductance,0,8,7
fresh,211205,conductance,1,8,7
fresh,211205,conductance,2,8,7
fresh,211206,algebraic,matching,12,7
fresh,211206,algebraic,quartet,12,7
fresh,211206,algebraic,nested,12,7
fresh,211206,conductance,0,8,7
fresh,211206,conductance,1,8,7
fresh,211206,conductance,2,8,7
fresh,211207,algebraic,matching,12,7
fresh,211207,algebraic,quartet,12,7
fresh,211207,algebraic,nested,12,7
fresh,211207,conductance,0,8,7
fresh,211207,conductance,1,8,7
fresh,211207,conductance,2,8,7
fresh,211208,algebraic,matching,12,7
fresh,211208,algebraic,quartet,12,7
fresh,211208,algebraic,nested,12,7
fresh,211208,conductance,0,8,7
fresh,211208,conductance,1,8,7
fresh,211208,conductance,2,8,7
fresh,211209,algebraic,matching,12,7
fresh,211209,algebraic,quartet,12,7
fresh,211209,algebraic,nested,12,7
fresh,211209,conductance,0,8,7
fresh,211209,conductance,1,8,7
fresh,211209,conductance,2,8,7
fresh,211210,algebraic,matching,12,7
fresh,211210,algebraic,quartet,12,7
fresh,211210,algebraic,nested,12,7
fresh,211210,conductance,0,8,7
fresh,211210,conductance,1,8,7
fresh,211210,conductance,2,8,7
fresh,211211,algebraic,matching,12,7
fresh,211211,algebraic,quartet,12,7
fresh,211211,algebraic,nested,12,7
fresh,211211,conductance,0,8,7
fresh,211211,conductance,1,8,7
fresh,211211,conductance,2,8,7
fresh,211212,algebraic,matching,12,7
fresh,211212,algebraic,quartet,12,7
fresh,211212,algebraic,nested,12,7
fresh,211212,conductance,0,8,7
fresh,211212,conductance,1,8,7
fresh,211212,conductance,2,8,7
fresh,211213,algebraic,matching,12,7
fresh,211213,algebraic,quartet,12,7
fresh,211213,algebraic,nested,12,7
fresh,211213,conductance,0,8,7
fresh,211213,conductance,1,8,7
fresh,211213,conductance,2,8,7
fresh,211214,algebraic,matching,12,7
fresh,211214,algebraic,quartet,12,7
fresh,211214,algebraic,nested,12,7
fresh,211214,conductance,0,8,7
fresh,211214,conductance,1,8,7
fresh,211214,conductance,2,8,7
fresh,211215,algebraic,matching,12,7
fresh,211215,algebraic,quartet,12,7
fresh,211215,algebraic,nested,12,7
fresh,211215,conductance,0,8,7
fresh,211215,conductance,1,8,7
fresh,211215,conductance,2,8,7
fresh,211216,algebraic,matching,12,7
fresh,211216,algebraic,quartet,12,7
fresh,211216,algebraic,nested,12,7
fresh,211216,conductance,0,8,7
fresh,211216,conductance,1,8,7
fresh,211216,conductance,2,8,7
fresh,211217,algebraic,matching,12,7
fresh,211217,algebraic,quartet,12,7
fresh,211217,algebraic,nested,12,7
fresh,211217,conductance,0,8,7
fresh,211217,conductance,1,8,7
fresh,211217,conductance,2,8,7
fresh,211218,algebraic,matching,12,7
fresh,211218,algebraic,quartet,12,7
fresh,211218,algebraic,nested,12,7
fresh,211218,conductance,0,8,7
fresh,211218,conductance,1,8,7
fresh,211218,conductance,2,8,7
fresh,211219,algebraic,matching,12,7
fresh,211219,algebraic,quartet,12,7
fresh,211219,algebraic,nested,12,7
fresh,211219,conductance,0,8,7
fresh,211219,conductance,1,8,7
fresh,211219,conductance,2,8,7
