model,task,optimizer,rule,step,gradient_cosine,optimizer_update_cosine,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_sign_oracle_capture,path_best_rank_one_capture,path_effective_rank,path_full_rank_capture,path_delivered_relative_squared_error,path_delivered_cosine,path_energy,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_sign_oracle_capture,credit_best_rank_one_capture,credit_effective_rank,credit_full_rank_capture,credit_delivered_relative_squared_error,credit_delivered_cosine,credit_energy
algebraic,matching,adam,calibrated_broadcast,0,0.8672138530294816,0.8672138530294816,0.14493546748486646,0.6954598426394072,0.4317424978831509,0.7637297203220824,1.6721733413728963,1.0,0.4579981178695608,0.6807551691540933,381.63300169830404,0.13775560406139795,0.6760573872980016,0.4192025647532171,0.790313183747259,1.563931600439322,1.0,0.4604196158978534,0.6814876962972771,1113.701491041255
algebraic,matching,adam,calibrated_broadcast,1,0.8703099118585659,0.3168567168059726,0.14387241526429276,0.7019187167920491,0.43650431072134177,0.7680809078142372,1.6617137016344514,1.0,0.45273011410096753,0.6854438854640135,370.7752997656843,0.1358961241440542,0.6835012048812562,0.42535450416164905,0.7948012856715845,1.5552233972401894,1.0,0.45457543215709545,0.6861735478827724,1089.3433235372631
algebraic,matching,adam,calibrated_broadcast,16,0.8708454766439504,0.563824358284212,0.14750871744552077,0.714417695520872,0.4593404886020256,0.8095342345213282,1.5253667215545885,1.0,0.4580905120910629,0.7083924372347503,242.92674853792732,0.1412660808638054,0.7092651856254044,0.44821870058559626,0.8187963849943586,1.4866295816197137,1.0,0.45190355959597345,0.7115306465024476,464.7251490979726
algebraic,matching,adam,calibrated_broadcast,64,0.7753325603044832,0.6166202176393896,0.11321823003256211,0.6578535691509833,0.6520833284850398,0.9277112063512515,1.1790903746122272,1.0,0.5175381258351772,0.7577149850605501,386.1929832424091,0.11280732104333702,0.6561346918559006,0.6479255058954048,0.9296102044097936,1.1727137078857575,1.0,0.5235176637881839,0.7502485729673716,165.37212855859744
algebraic,matching,adam,calibrated_broadcast,256,0.8303321633402095,0.03494590647787228,0.08442148381577559,0.6879515143517644,0.9438473173253866,0.9999014508317832,1.0001971445343396,1.0,0.4918220505849956,0.8255989892915737,646.6409511743053,0.08438690424651539,0.6877605424057993,0.9438441215406124,0.9999159444491965,1.0001681430650542,1.0,0.49195562112500124,0.8254901461143277,3.0775727264610224
algebraic,matching,adam,calibrated_broadcast,512,0.8432643097819493,-0.038355870389832535,0.08400807203198042,0.6933029523154169,0.9457602590037721,0.999889513200098,1.0002210151143682,1.0,0.4864230173179817,0.8291227264499131,650.427816217237,0.08417577703210466,0.693142435008059,0.9457716459685441,0.9998996054774404,1.0002008235851068,1.0,0.486888243009464,0.829008160874683,0.4872463776502626
algebraic,matching,adam,calibrated_broadcast,1024,0.8551947725378861,-0.18815067592082968,0.0843903123172505,0.6920486385830309,0.9465730139454973,0.9998125275646801,1.0003751580389806,1.0,0.4829038878565874,0.8283184134579455,628.3117844607448,0.08464100300449903,0.692200509003729,0.9465808575417711,0.9997779492546,1.000444591008895,1.0,0.4821666516347373,0.8284173246543585,0.6710291736044602
algebraic,matching,adam,exact,0,1.0,1.0,0.14493546748486646,0.6954598426394072,0.4317424978831509,0.7637297203220824,1.6721733413728963,1.0,0.0,1.0,381.63300169830404,0.13775560406139795,0.6760573872980016,0.4192025647532171,0.790313183747259,1.563931600439322,1.0,0.0,1.0,1113.701491041255
algebraic,matching,adam,exact,1,1.0,0.5131712356812977,0.14476554117386825,0.6966390968823103,0.433105033236428,0.7655054533046625,1.6669764461473306,1.0,0.0,1.0,373.16163166418676,0.13757384036608222,0.6782341506785385,0.42123260524348993,0.79152105772898,1.562617072594083,1.0,0.0,1.0,1037.9344843291087
algebraic,matching,adam,exact,16,1.0,0.7229695842083046,0.1472266312898958,0.7032089077975487,0.4387655455717132,0.7908326213384482,1.5895650820201586,1.0,0.0,1.0,278.342974599842,0.14240230049632563,0.6929387936919105,0.42936556768581174,0.8039479870120573,1.5399685475613931,1.0,0.0,1.0,460.62751419319284
algebraic,matching,adam,exact,64,1.0,0.7460471758974296,0.14330483660184584,0.6831655996062977,0.47130974182842655,0.8389039214935261,1.4322739667477529,1.0,0.0,1.0,204.90649451567137,0.13990154753165907,0.685607222139012,0.4674483363403377,0.8402616015331281,1.4206626369925994,1.0,0.0,1.0,176.01733132279742
algebraic,matching,adam,exact,256,1.0,0.7300172089578629,0.14191484413878278,0.5537564805033112,0.5317369485204771,0.9145502557142933,1.2104377075712327,1.0,0.0,1.0,628.244545389797,0.1418192132457907,0.5599488793098134,0.5351414310285161,0.9112257337617254,1.2156016014141549,1.0,0.0,1.0,109.7877906914789
algebraic,matching,adam,exact,512,1.0,0.3801090140729449,0.12510159917612634,0.5564404289259439,0.5548491092588071,0.9698842042322686,1.0870709797340314,1.0,0.0,1.0,794.967629688942,0.12449866410938301,0.5648426613253016,0.561478765968664,0.9610960430806476,1.1097869501987279,1.0,0.0,1.0,14.031312192761153
