sensitivity,model,task,optimizer,contrast,seed,difference
selected_rate,algebraic,matching,adam,calibrated_broadcast minus exact,211217,0.00014456673223249908
selected_rate,algebraic,matching,adam,calibrated_broadcast minus exact,211218,0.0012112060614849034
selected_rate,algebraic,matching,adam,calibrated_broadcast minus exact,211219,-0.011658068150749198
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211200,0.0014402403195938017
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211201,-0.0016340747718597004
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211202,-0.1611077886869985
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211203,0.0002468362004766009
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211204,-7.736900363559951e-05
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211205,0.0011990915018772995
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211206,0.00030732511012589864
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211207,-4.9760951102401085e-05
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211208,0.0005699630506052974
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211209,0.000196706798400198
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211210,0.0009653427356433007
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211211,0.0003115130907202987
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211212,0.0002454073859647979
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211213,0.0009249225685377012
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211214,0.000639542371079202
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211215,0.0025357217669114973
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211216,0.0005878933872776014
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211217,0.00014456718102930088
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211218,0.0012112106418060015
selected_rate,algebraic,matching,adam,sign_broadcast minus exact,211219,-0.011658064682180298
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211200,-0.001906275354649701
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211201,0.004858087056286299
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211202,5.9404194433797936e-05
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211203,-0.0005184064084396978
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211204,-0.0003124020968380027
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211205,-0.0012785613621460988
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211206,0.013149187325863
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211207,-0.001125852489200798
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211208,-0.0010126607048444973
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211209,0.009323467988182198
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211210,-0.0006443369525773977
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211211,-0.0005612808310610021
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211212,0.005674665489746801
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211213,-8.301660933300245e-05
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211214,-0.0007222884582326998
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211215,-0.0026796119761303
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211216,-0.0006287887568925017
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211217,-0.0003991062786081988
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211218,0.0107189527833985
selected_rate,algebraic,matching,adam,unit_broadcast minus calibrated_broadcast,211219,-0.0001483638749725999
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211200,0.0050854183244358996
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211201,-0.030149883293828197
selected_rate,algebraic,matching,sgd,unit_broadcast minus exact,211202,0.007422466133469002
