model,task,optimizer,rule,step,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_best_rank_one_capture,path_effective_rank,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_best_rank_one_capture,credit_effective_rank
algebraic,matching,adam,exact,0,0.1449354674848664,0.6954598426394072,0.7637297203220824,1.6721733413728963,0.1377556040613979,0.6760573872980016,0.790313183747259,1.563931600439322
algebraic,matching,adam,exact,1,0.1447655411738682,0.6966390968823103,0.7655054533046625,1.6669764461473306,0.1375738403660822,0.6782341506785385,0.79152105772898,1.562617072594083
algebraic,matching,adam,exact,16,0.1472266312898958,0.7032089077975487,0.7908326213384482,1.5895650820201586,0.1424023004963256,0.6929387936919105,0.8039479870120573,1.5399685475613931
algebraic,matching,adam,exact,64,0.1433048366018458,0.6831655996062977,0.8389039214935261,1.4322739667477529,0.139901547531659,0.685607222139012,0.8402616015331281,1.4206626369925994
algebraic,matching,adam,exact,256,0.1419148441387827,0.5537564805033112,0.9145502557142932,1.2104377075712327,0.1418192132457907,0.5599488793098134,0.9112257337617254,1.2156016014141549
algebraic,matching,adam,exact,512,0.1251015991761263,0.5564404289259439,0.9698842042322686,1.0870709797340314,0.124498664109383,0.5648426613253016,0.9610960430806476,1.109786950198728
algebraic,matching,adam,exact,1024,0.1224038880792518,0.5654714623604309,0.99726077202714,1.0056463212360682,0.1217208733151822,0.5663054849008421,0.9972973231631987,1.0055652412817424
algebraic,nested,adam,exact,0,0.1773675148231702,0.7605079623969304,0.7854806548930003,1.6771706165137747,0.1798875029613216,0.7566512692076433,0.8029026401900499,1.567228195026194
algebraic,nested,adam,exact,1,0.1772622130276443,0.7628342635283977,0.7876238969002093,1.6707293597973143,0.1799171053742176,0.7591822146699722,0.8044290027344712,1.5631748721630745
algebraic,nested,adam,exact,16,0.1787335598640526,0.7818835715022594,0.8098339928522306,1.5921399060908263,0.1820317061596967,0.7786758724031086,0.8183600920536398,1.5223628832232177
algebraic,nested,adam,exact,64,0.1836677965653581,0.7591828073340597,0.8157258111929904,1.5420166945050813,0.1900220560643564,0.7508947000286753,0.814346768695048,1.518395574344226
algebraic,nested,adam,exact,256,0.1872986339980363,0.5447277176727601,0.680779172644743,2.0591142871635912,0.1910536620838822,0.547521995677846,0.7117562385618704,1.8768595041854816
algebraic,nested,adam,exact,512,0.1956200548238407,0.3474028338519919,0.5031803472062423,3.066048522042031,0.2000867907518824,0.3191101681856979,0.566248687181598,2.6465856011979247
algebraic,nested,adam,exact,1024,0.1756860471852368,0.3053412689603342,0.448245188725424,3.4167017786858564,0.1989826709039011,0.2862671839879801,0.5527499122268807,2.6846747645826925
algebraic,quartet,adam,exact,0,0.1449354674848664,0.6954598426394072,0.7637297203220824,1.6721733413728963,0.1404160088164842,0.6847264540637996,0.7975994070682407,1.535095905868729
