seed,state,condition_id,architecture,feedback_family,budget_k,exact_field_energy,address_residual_energy,coefficient_residual_energy,total_field_error,address_capture,realized_field_score,decomposition_error,heldout_accuracy
4200,initialization,dendritic_tree__correct_ancestry_subtrees__k1,dendritic_tree,correct_ancestry_subtrees,1,5534.688836,4636.361069,2176.469416,6812.830485,0.1623086307,-0.230932883,1.818989404e-12,0.181640625
4200,initialization,dendritic_tree__within_neuron_route_derangement__k1,dendritic_tree,within_neuron_route_derangement,1,5534.688836,4636.361069,2176.469416,6812.830485,0.1623086307,-0.230932883,1.818989404e-12,0.181640625
4200,initialization,dendritic_tree__depth_interleaved_bins__k1,dendritic_tree,depth_interleaved_bins,1,5534.688836,4636.361069,2176.469416,6812.830485,0.1623086307,-0.230932883,1.818989404e-12,0.181640625
4200,initialization,dendritic_tree__random_sparse_matched__k1,dendritic_tree,random_sparse_matched,1,5534.688836,4636.361069,2176.469416,6812.830485,0.1623086307,-0.230932883,1.818989404e-12,0.181640625
4200,initialization,dendritic_tree__random_rank_k__k1,dendritic_tree,random_rank_k,1,5534.688836,4669.128387,2796.766835,7465.895221,0.1563882767,-0.3489277252,1.818989404e-12,0.7758789062
4200,initialization,dendritic_tree__learned_rank_k_upper_bound__k1,dendritic_tree,learned_rank_k_upper_bound,1,5534.688836,4772.965854,3.431067132e-31,4772.965854,0.1376270654,0.1376270654,0,0.5815429688
4200,initialization,dendritic_tree__correct_ancestry_subtrees__k2,dendritic_tree,correct_ancestry_subtrees,2,5534.688836,3787.834951,1369.207783,5157.042734,0.3156191679,0.06823258053,0,0.4423828125
4200,initialization,dendritic_tree__within_neuron_route_derangement__k2,dendritic_tree,within_neuron_route_derangement,2,5534.688836,5534.688836,5226.47258,10761.16142,0,-0.9443119089,1.818989404e-12,0.1831054688
4200,initialization,dendritic_tree__depth_interleaved_bins__k2,dendritic_tree,depth_interleaved_bins,2,5534.688836,3824.24575,1427.084774,5251.330524,0.3090405146,0.05119679182,0,0.2055664062
4200,initialization,dendritic_tree__random_sparse_matched__k2,dendritic_tree,random_sparse_matched,2,5534.688836,3819.773973,1456.080169,5275.854143,0.309848469,0.0467658979,9.094947018e-13,0.208984375
