subset,seed,n_conditions,spearman_rho
all_conditions,4200,27,0.8141897271
all_conditions,4201,27,0.8295046202
all_conditions,4202,27,0.8286430639
all_conditions,4203,27,0.8023128712
all_conditions,4204,27,0.775433671
all_conditions,4205,27,0.856740862
all_conditions,4206,27,0.743589889
all_conditions,4207,27,0.8455286206
all_conditions,4208,27,0.834375
all_conditions,4209,27,0.8629473461
all_conditions,4210,27,0.8255161089
all_conditions,4211,27,0.843569318
all_conditions,4212,27,0.8232536434
all_conditions,4213,27,0.7961863082
all_conditions,4214,27,0.8611633954
all_conditions,4215,27,0.7941866014
all_conditions,4216,27,0.87
all_conditions,4217,27,0.7904360153
all_conditions,4218,27,0.8363806947
all_conditions,4219,27,0.855625
restricted_k_lt_8,4200,18,0.6725755996
restricted_k_lt_8,4201,18,0.6531038969
restricted_k_lt_8,4202,18,0.6218049881
restricted_k_lt_8,4203,18,0.5675535462
restricted_k_lt_8,4204,18,0.4807090719
restricted_k_lt_8,4205,18,0.6903395197
restricted_k_lt_8,4206,18,0.546687607
restricted_k_lt_8,4207,18,0.6656234604
restricted_k_lt_8,4208,18,0.6475495308
restricted_k_lt_8,4209,18,0.7142857143
restricted_k_lt_8,4210,18,0.623891582
restricted_k_lt_8,4211,18,0.6704900938
restricted_k_lt_8,4212,18,0.614181439
restricted_k_lt_8,4213,18,0.5302713987
restricted_k_lt_8,4214,18,0.7136151206
restricted_k_lt_8,4215,18,0.6350364964
restricted_k_lt_8,4216,18,0.7226277372
restricted_k_lt_8,4217,18,0.6496350365
restricted_k_lt_8,4218,18,0.6677100543
restricted_k_lt_8,4219,18,0.7017726799
