state,architecture,feedback_family,budget_k,n_seeds,mean_address_capture,ci95_low_address_capture,ci95_high_address_capture,mean_coefficient_residual_energy,ci95_low_coefficient_residual_energy,ci95_high_coefficient_residual_energy,mean_realized_field_score,ci95_low_realized_field_score,ci95_high_realized_field_score
initialization,dendritic_tree,depth_interleaved_bins,4,20,0.5648366039,0.563407891,0.5663011567,706.7329677,696.3324979,717.3914302,0.4355531266,0.4318229915,0.4391917933
initialization,dendritic_tree,depth_interleaved_bins,8,20,1,1,1,8.550057084e-30,8.221273421e-30,8.90005693e-30,1,1,1
initialization,dendritic_tree,exact_compartment_transport,8,20,1,1,1,8.550057084e-30,8.223877583e-30,8.895178229e-30,1,1,1
initialization,dendritic_tree,learned_rank_k_upper_bound,1,20,0.1329633476,0.1308166079,0.1351280072,7.647620227e-31,6.687130792e-31,8.685597552e-31,0.1329633476,0.1307661144,0.1351296498
initialization,dendritic_tree,learned_rank_k_upper_bound,2,20,0.2612405622,0.2585046017,0.2643581871,1.683325737e-30,1.543879332e-30,1.829844824e-30,0.2612405622,0.2585185158,0.2642870901
initialization,dendritic_tree,learned_rank_k_upper_bound,4,20,0.5120672,0.5097394452,0.514739988,3.726995609e-30,3.547000717e-30,3.911529454e-30,0.5120672,0.5097323024,0.5147340323
initialization,dendritic_tree,learned_rank_k_upper_bound,8,20,1,1,1,8.550057084e-30,8.224389616e-30,8.896974821e-30,1,1,1
initialization,dendritic_tree,neuron_indexed_shared,1,20,0.1581537891,0.1572897527,0.1589878118,2205.126811,2190.125498,2221.037629,-0.2451325635,-0.2497383907,-0.2406255353
initialization,dendritic_tree,random_rank_k,1,20,0.1512204508,0.1493029623,0.1530994547,2902.287426,2798.571231,3003.920662,-0.379235801,-0.3975399846,-0.3609727082
initialization,dendritic_tree,random_rank_k,2,20,0.2879216961,0.2861643798,0.2896418503,1889.73381,1818.815705,1965.225375,-0.05758634381,-0.07229791322,-0.04354250517
initialization,dendritic_tree,random_rank_k,4,20,0.5418532843,0.5393212793,0.5442172616,758.3449865,717.4105588,806.8787805,0.4031620609,0.3922687487,0.4122572921
initialization,dendritic_tree,random_rank_k,8,20,1,1,1,8.550057084e-30,8.222584729e-30,8.895776231e-30,1,1,1
initialization,dendritic_tree,random_sparse_matched,1,20,0.1581537891,0.1573057319,0.1589756628,2205.126811,2189.874073,2221.418928,-0.2451325635,-0.249752033,-0.2405786306
initialization,dendritic_tree,random_sparse_matched,2,20,0.3042497765,0.3031226252,0.3053949263,1446.421504,1435.890607,1456.266769,0.03971606409,0.03615690319,0.04316553976
initialization,dendritic_tree,random_sparse_matched,4,20,0.5682719026,0.5661859036,0.5703535191,688.6640247,677.7620291,700.3438336,0.4423232637,0.4382343076,0.4461623743
initialization,dendritic_tree,random_sparse_matched,8,20,1,1,1,8.550057084e-30,8.222222734e-30,8.899999461e-30,1,1,1
initialization,dendritic_tree,within_neuron_route_derangement,1,20,0.1581537891,0.1572896395,0.158966904,2205.126811,2190.320416,2221.167534,-0.2451325635,-0.2497587679,-0.2405712851
initialization,dendritic_tree,within_neuron_route_derangement,2,20,0,0,0,5258.973584,5229.007714,5291.060617,-0.9616988508,-0.9678961998,-0.9557610418
initialization,dendritic_tree,within_neuron_route_derangement,4,20,0,0,0,5178.968092,5151.887395,5208.824548,-0.9470906286,-0.9534140357,-0.9408592499
initialization,dendritic_tree,within_neuron_route_derangement,8,20,0,0,0,5090.748896,5057.725567,5125.769033,-0.9309645604,-0.9384208653,-0.9239458633
initialization,flat_compartment,backpropagation,8,20,1,1,1,8.550057084e-30,8.226988671e-30,8.899753627e-30,1,1,1
initialization,flat_compartment,correct_ancestry_subtrees,1,20,0.1581537891,0.1572921167,0.158979139,2205.126811,2190.142941,2220.863702,-0.2451325635,-0.2498728049,-0.2405854258
initialization,flat_compartment,correct_ancestry_subtrees,2,20,0.3092236825,0.307820405,0.3105993287,1377.977923,1367.084824,1389.005029,0.05722016133,0.05358378372,0.06088037085
initialization,flat_compartment,correct_ancestry_subtrees,4,20,0.5753532134,0.573369598,0.577325884,642.1927464,635.410256,648.4780958,0.4579031286,0.4547012951,0.4610148117
initialization,flat_compartment,correct_ancestry_subtrees,8,20,1,1,1,8.550057084e-30,8.223350962e-30,8.900759184e-30,1,1,1
initialization,flat_compartment,depth_interleaved_bins,1,20,0.1581537891,0.1572977203,0.1589867278,2205.126811,2190.128414,2221.169112,-0.2451325635,-0.2497550743,-0.2406050155
initialization,flat_compartment,depth_interleaved_bins,2,20,0.3034984859,0.302187995,0.3047956998,1452.932189,1438.772662,1467.886803,0.03775651588,0.03306259023,0.04233184242
