seed,condition_id,heldout_loss,reconstructed_heldout_loss,heldout_accuracy,reconstructed_heldout_accuracy
4200,dendritic_tree__correct_ancestry_subtrees__k1,19.88165147,19.88165147,0.181640625,0.181640625
4200,dendritic_tree__within_neuron_route_derangement__k1,19.88165147,19.88165147,0.181640625,0.181640625
4200,dendritic_tree__depth_interleaved_bins__k1,19.88165147,19.88165147,0.181640625,0.181640625
4200,dendritic_tree__random_sparse_matched__k1,19.88165147,19.88165147,0.181640625,0.181640625
4200,dendritic_tree__random_rank_k__k1,0.5498406751,0.5498406751,0.7758789062,0.7758789062
4200,dendritic_tree__learned_rank_k_upper_bound__k1,0.6548356944,0.6548356944,0.5815429688,0.5815429688
4200,dendritic_tree__correct_ancestry_subtrees__k2,0.8974996298,0.8974996298,0.4423828125,0.4423828125
4200,dendritic_tree__within_neuron_route_derangement__k2,31.51988955,31.51988955,0.1831054688,0.1831054688
4200,dendritic_tree__depth_interleaved_bins__k2,5.913975362,5.913975362,0.2055664062,0.2055664062
4200,dendritic_tree__random_sparse_matched__k2,5.785445531,5.785445531,0.208984375,0.208984375
4200,dendritic_tree__random_rank_k__k2,0.5246781884,0.5246781884,0.724609375,0.724609375
4200,dendritic_tree__learned_rank_k_upper_bound__k2,0.6213765541,0.6213765541,0.6274414062,0.6274414062
4200,dendritic_tree__correct_ancestry_subtrees__k4,0.4263004694,0.4263004694,0.7998046875,0.7998046875
4200,dendritic_tree__within_neuron_route_derangement__k4,17.21032127,17.21032127,0.197265625,0.197265625
4200,dendritic_tree__depth_interleaved_bins__k4,0.5549636485,0.5549636485,0.73046875,0.73046875
4200,dendritic_tree__random_sparse_matched__k4,0.491309885,0.491309885,0.7690429688,0.7690429688
4200,dendritic_tree__random_rank_k__k4,0.4695485127,0.4695485127,0.8129882812,0.8129882812
4200,dendritic_tree__learned_rank_k_upper_bound__k4,0.5558968017,0.5558968017,0.7133789062,0.7133789062
4200,dendritic_tree__correct_ancestry_subtrees__k8,0.4111300619,0.4111300619,0.8095703125,0.8095703125
4200,dendritic_tree__within_neuron_route_derangement__k8,6.98274369,6.98274369,0.2641601562,0.2641601562
4200,dendritic_tree__depth_interleaved_bins__k8,0.4111300619,0.4111300619,0.8095703125,0.8095703125
4200,dendritic_tree__random_sparse_matched__k8,0.4111300619,0.4111300619,0.8095703125,0.8095703125
4200,dendritic_tree__random_rank_k__k8,0.4111300619,0.4111300619,0.8095703125,0.8095703125
