cohort,regime,root_id,shunting_localization,additive_localization,difference,n_sites
original_eight,Ra100_Rm15000,864691135060651419,0.003821845743904002,0.006626989202938781,-0.0028051434590347793,16
original_eight,Ra100_Rm15000,864691135196576298,0.0010967469072472424,0.0008452645674906556,0.0002514823397565868,4
original_eight,Ra100_Rm15000,864691135277186789,0.0021071119369584874,0.002736533742250633,-0.0006294218052921458,16
original_eight,Ra100_Rm15000,864691135324623260,0.010957924756317046,0.010694796380352823,0.00026312837596422113,10
original_eight,Ra100_Rm15000,864691135409937097,0.0031547819051697826,0.003980869548667255,-0.0008260876434974723,15
original_eight,Ra100_Rm15000,864691135739661169,0.02029107465606242,0.029453427219176768,-0.009162352563114352,8
original_eight,Ra100_Rm15000,864691135810666525,0.002038286383789085,0.002528377658390223,-0.0004900912746011381,16
original_eight,Ra100_Rm15000,864691136043380566,0.001335027292470939,0.0018849025329501644,-0.0005498752404792253,16
original_eight,Ra150_Rm300,864691135060651419,0.13341190837485192,0.0877534131118961,0.04565849526295582,16
original_eight,Ra150_Rm300,864691135196576298,0.09523916063326066,0.003913136095299411,0.09132602453796124,4
original_eight,Ra150_Rm300,864691135277186789,0.09440411103454717,0.03287704362876594,0.06152706740578122,16
original_eight,Ra150_Rm300,864691135324623260,0.1580362499068375,0.02540233376407766,0.13263391614275982,10
original_eight,Ra150_Rm300,864691135409937097,0.10799776594006581,0.05423030467233078,0.05376746126773504,15
original_eight,Ra150_Rm300,864691135739661169,0.14423108222981232,0.0798348512706493,0.06439623095916303,8
original_eight,Ra150_Rm300,864691135810666525,0.07314214311104697,0.03518483738965053,0.03795730572139644,16
original_eight,Ra150_Rm300,864691136043380566,0.07428672233106179,0.022584245071341262,0.051702477259720526,16
original_eight,Ra150_Rm1000,864691135060651419,0.061898497086453466,0.06157795035190046,0.00032054673455300794,16
original_eight,Ra150_Rm1000,864691135196576298,0.032764305128302015,0.00401391112451573,0.02875039400378629,4
original_eight,Ra150_Rm1000,864691135277186789,0.038350945640819326,0.023396429349047287,0.01495451629177204,16
original_eight,Ra150_Rm1000,864691135324623260,0.08320350336204331,0.029158025830385587,0.054045477531657726,10
original_eight,Ra150_Rm1000,864691135409937097,0.0465920831536629,0.03726711429365372,0.009324968860009174,15
original_eight,Ra150_Rm1000,864691135739661169,0.08214076536187077,0.07770058901849752,0.004440176343373245,8
original_eight,Ra150_Rm1000,864691135810666525,0.03088799554896384,0.022655131110601415,0.008232864438362426,16
original_eight,Ra150_Rm1000,864691136043380566,0.0268356341774644,0.016073480199323607,0.010762153978140792,16
original_eight,Ra150_Rm3000,864691135060651419,0.02587407045524813,0.034040684070411165,-0.008166613615163033,16
original_eight,Ra150_Rm3000,864691135196576298,0.01036724998879825,0.003083156544409274,0.0072840934443889754,4
original_eight,Ra150_Rm3000,864691135277186789,0.01484494069931857,0.0132795200495469,0.0015654206497716693,16
original_eight,Ra150_Rm3000,864691135324623260,0.04381860589303081,0.026603570915068837,0.017215034977961976,10
original_eight,Ra150_Rm3000,864691135409937097,0.01955097645449885,0.02028938516020066,-0.0007384087057018073,15
original_eight,Ra150_Rm3000,864691135739661169,0.05357916813148692,0.06371145553761219,-0.010132287406125267,8
original_eight,Ra150_Rm3000,864691135810666525,0.0127558455535407,0.012172955770759398,0.000582889782781301,16
original_eight,Ra150_Rm3000,864691136043380566,0.009592525613736833,0.009070187572325583,0.0005223380414112493,16
original_eight,Ra150_Rm5000,864691135060651419,0.016375345586164235,0.023773667601552403,-0.007398322015388166,16
original_eight,Ra150_Rm5000,864691135196576298,0.005867915188425076,0.002434118931708214,0.0034337962567168624,4
original_eight,Ra150_Rm5000,864691135277186789,0.009228578868193484,0.009421017688959138,-0.00019243882076565516,16
original_eight,Ra150_Rm5000,864691135324623260,0.03208709463823666,0.02323237536483936,0.0088547192733973,10
original_eight,Ra150_Rm5000,864691135409937097,0.012627723649989962,0.01415903162866083,-0.0015313079786708685,15
original_eight,Ra150_Rm5000,864691135739661169,0.04411565092682609,0.05554642437939432,-0.011430773452568236,8
original_eight,Ra150_Rm5000,864691135810666525,0.008208307808642679,0.008584554261476609,-0.0003762464528339313,16
original_eight,Ra150_Rm5000,864691136043380566,0.005860067094513386,0.006445295852619243,-0.0005852287581058569,16
original_eight,Ra150_Rm15000,864691135060651419,0.005708383445773872,0.00957922427618914,-0.0038708408304152686,16
original_eight,Ra150_Rm15000,864691135196576298,0.0017107608804573828,0.0011735807761813987,0.000537180104275984,4
original_eight,Ra150_Rm15000,864691135277186789,0.003158644224079889,0.00392006512627317,-0.0007614209021932814,16
