architecture,arm,multiplier,seed,validation_loss
shunting,projected_k1,0.3,50200,0.10019864515463511
shunting,projected_k1,0.3,50201,0.0952382930914561
shunting,projected_k1,0.3,50202,0.0993089880545934
shunting,projected_k1,1.0,50200,0.09855057662725449
shunting,projected_k1,1.0,50201,0.08815909933050474
shunting,projected_k1,1.0,50202,0.09645746687054634
shunting,projected_k1,3.0,50200,0.09911634318033855
shunting,projected_k1,3.0,50201,0.08982251052061717
shunting,projected_k1,3.0,50202,0.09885863421360652
additive,projected_k1,0.3,50200,0.0980712567170461
additive,projected_k1,0.3,50201,0.09648915974299113
additive,projected_k1,0.3,50202,0.09173222029209137
additive,projected_k1,1.0,50200,0.09903266125917434
additive,projected_k1,1.0,50201,0.09367279821634293
additive,projected_k1,1.0,50202,0.09197767599423727
additive,projected_k1,3.0,50200,0.09500656187534333
additive,projected_k1,3.0,50201,0.0934544161359469
additive,projected_k1,3.0,50202,0.08761854670445124
