run_dir,seed,network_type,init_policy,rule_variant,broadcast_mode,decoder_update_mode,post_calibration_present,post_calibration_warning_count,test_accuracy
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_30,42,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9149999618530273
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_45,42,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9239999651908875
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_0,42,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.91239994764328
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_15,42,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9055999517440796
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_31,43,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9085999727249146
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_46,43,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9194999933242798
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_1,43,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9107999801635742
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_16,43,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9144999980926514
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_32,44,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9041999578475952
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_47,44,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9120999574661255
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_2,44,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9080999493598938
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_17,44,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9218999743461609
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_33,45,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9111999869346619
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_48,45,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9205999970436096
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_3,45,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9120000004768372
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_18,45,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9092999696731567
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_34,46,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9107999801635742
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_49,46,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.8996999859809875
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_4,46,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9156000018119812
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_19,46,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9054999947547913
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_35,47,dendritic_additive,analytical,3f,per_soma,local,False,0,0.9054999947547913
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_50,47,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9187999963760376
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_5,47,dendritic_shunting,analytical,3f,per_soma,local,False,0,0.9055999517440796
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_20,47,dendritic_shunting,occupancy_quantile,3f,per_soma,local,True,0,0.9125999808311462
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_36,48,dendritic_additive,analytical,3f,per_soma,local,False,0,0.901699960231781
local_sweep_runs/rebuttal_3f_init_policy_factorial_mnist_15seed_20260724231010/results/config_51,48,dendritic_additive,occupancy_quantile,3f,per_soma,local,True,3,0.9210999608039856
