seed,task,budget,rule,rate,optimizer,primary_rate,path_rank,rank_one_capture,three_profile_capture
2026090814,aligned_strong,16384,hard_distal_unit_proximal,0.1,adam,False,2,0.912767870792326,0.9963318350971676
2026090814,aligned_strong,16384,swapped_distal_unit_proximal,0.1,adam,False,2,0.992556369810049,0.8220814814956008
2026090814,aligned_strong,16384,hard_distal_and_proximal,0.1,adam,False,2,0.9359854060559142,0.9963509345015541
2026090814,aligned_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.1,adam,False,2,0.908780796123333,0.994570901124069
2026090814,aligned_strong,16384,shunt_proportional_unit_proximal,0.1,adam,False,2,0.9044857512116177,0.9961124346300123
2026090814,opposed_strong,4096,exact,0.01,adam,False,2,0.8820495333534389,0.9995738141724824
2026090814,opposed_strong,4096,unit_broadcast,0.01,adam,False,2,0.8513422812722652,0.9232702589347125
2026090814,opposed_strong,4096,calibrated_broadcast,0.01,adam,False,2,0.8513408577944243,0.9232648530660618
2026090814,opposed_strong,4096,ancestry_three_oracle,0.01,adam,False,2,0.8819849677718359,0.9995594339139569
2026090814,opposed_strong,4096,hard_distal_unit_proximal,0.01,adam,False,2,0.8807299273172885,0.9995749893578161
2026090814,opposed_strong,4096,swapped_distal_unit_proximal,0.01,adam,False,2,0.9999998641936815,0.7956827006116974
2026090814,opposed_strong,4096,hard_distal_and_proximal,0.01,adam,False,2,0.9647828723841311,0.9844590676657555
2026090814,opposed_strong,4096,ancestry_two_leaf_oracle_unit_proximal,0.01,adam,False,2,0.8820137297164221,0.999561524406978
2026090814,opposed_strong,4096,shunt_proportional_unit_proximal,0.01,adam,False,2,0.8807733537836197,0.9995767210312644
2026090814,opposed_strong,4096,exact,0.03,adam,True,2,0.8874219382303276,0.9988907567106509
2026090814,opposed_strong,4096,unit_broadcast,0.03,adam,True,2,0.8634243064527982,0.9532508754241484
2026090814,opposed_strong,4096,calibrated_broadcast,0.03,adam,True,2,0.8634247412549051,0.9532178464455747
2026090814,opposed_strong,4096,ancestry_three_oracle,0.03,adam,True,2,0.885789139987328,0.9994639426780563
2026090814,opposed_strong,4096,hard_distal_unit_proximal,0.03,adam,True,2,0.8848884028638527,0.999588045820784
2026090814,opposed_strong,4096,swapped_distal_unit_proximal,0.03,adam,True,2,0.9999991141963438,0.8114654915998605
2026090814,opposed_strong,4096,hard_distal_and_proximal,0.03,adam,True,2,0.9630564378737936,0.9736788691521072
2026090814,opposed_strong,4096,ancestry_two_leaf_oracle_unit_proximal,0.03,adam,True,2,0.8858206805465014,0.9994595212057146
2026090814,opposed_strong,4096,shunt_proportional_unit_proximal,0.03,adam,True,2,0.8849114570096532,0.9995879812670739
2026090814,opposed_strong,4096,exact,0.1,adam,False,2,0.8904643917336209,0.9993253204092433
2026090814,opposed_strong,4096,unit_broadcast,0.1,adam,False,2,0.8684457504512817,0.9259666052499252
2026090814,opposed_strong,4096,calibrated_broadcast,0.1,adam,False,2,0.8684456890645256,0.9259668276159564
2026090814,opposed_strong,4096,ancestry_three_oracle,0.1,adam,False,2,0.8935454172768369,0.9993044171916083
2026090814,opposed_strong,4096,hard_distal_unit_proximal,0.1,adam,False,2,0.8942665083760998,0.9994092007331827
2026090814,opposed_strong,4096,swapped_distal_unit_proximal,0.1,adam,False,2,0.9999987344319754,0.8305714731998345
2026090814,opposed_strong,4096,hard_distal_and_proximal,0.1,adam,False,2,0.9582591764179665,0.9945788513386367
2026090814,opposed_strong,4096,ancestry_two_leaf_oracle_unit_proximal,0.1,adam,False,2,0.8929113520645995,0.9992445361950727
2026090814,opposed_strong,4096,shunt_proportional_unit_proximal,0.1,adam,False,2,0.8946240013993421,0.9994124359241374
2026090814,opposed_strong,16384,exact,0.01,adam,False,2,0.8891115877617674,0.9984948102140494
2026090814,opposed_strong,16384,unit_broadcast,0.01,adam,False,2,0.8397028246647659,0.9772227203796581
2026090814,opposed_strong,16384,calibrated_broadcast,0.01,adam,False,2,0.8397024005819258,0.9772217765472906
2026090814,opposed_strong,16384,ancestry_three_oracle,0.01,adam,False,2,0.887917582369358,0.9992184634793461
2026090814,opposed_strong,16384,hard_distal_unit_proximal,0.01,adam,False,2,0.8876841910915149,0.9994200065416452
2026090814,opposed_strong,16384,swapped_distal_unit_proximal,0.01,adam,False,2,0.999999997622016,0.805961392472539
2026090814,opposed_strong,16384,hard_distal_and_proximal,0.01,adam,False,2,0.9647828723841311,0.9844590676657555
2026090814,opposed_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.01,adam,False,2,0.8880188888194605,0.9992399772948733
2026090814,opposed_strong,16384,shunt_proportional_unit_proximal,0.01,adam,False,2,0.8877129353308632,0.9994258733260506
2026090814,opposed_strong,16384,exact,0.03,adam,True,2,0.891337338796717,0.9987334313174805
2026090814,opposed_strong,16384,unit_broadcast,0.03,adam,True,2,0.8634243064527982,0.9532508754241484
2026090814,opposed_strong,16384,calibrated_broadcast,0.03,adam,True,2,0.8634247412549051,0.9532178464455747
2026090814,opposed_strong,16384,ancestry_three_oracle,0.03,adam,True,2,0.8898063422307704,0.9996311117090135
2026090814,opposed_strong,16384,hard_distal_unit_proximal,0.03,adam,True,2,0.889493737119982,0.9997075332442775
2026090814,opposed_strong,16384,swapped_distal_unit_proximal,0.03,adam,True,2,0.9999999984457345,0.8978636850492487
2026090814,opposed_strong,16384,hard_distal_and_proximal,0.03,adam,True,2,0.9630564378737936,0.9736788691521072
2026090814,opposed_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.03,adam,True,2,0.8897472004260888,0.9995595114095268
2026090814,opposed_strong,16384,shunt_proportional_unit_proximal,0.03,adam,True,2,0.8894084188713227,0.9997210496197543
2026090814,opposed_strong,16384,exact,0.1,adam,False,2,0.8941863620319007,0.9996139459606938
2026090814,opposed_strong,16384,unit_broadcast,0.1,adam,False,2,0.8684457504512817,0.9259666052499252
2026090814,opposed_strong,16384,calibrated_broadcast,0.1,adam,False,2,0.8684456890645256,0.9259668276159564
2026090814,opposed_strong,16384,ancestry_three_oracle,0.1,adam,False,2,0.8921565394656364,0.999292805741422
2026090814,opposed_strong,16384,hard_distal_unit_proximal,0.1,adam,False,2,0.8942665083760998,0.9994092007331827
2026090814,opposed_strong,16384,swapped_distal_unit_proximal,0.1,adam,False,2,0.9999999999919794,0.8904289549054744
2026090814,opposed_strong,16384,hard_distal_and_proximal,0.1,adam,False,2,0.9582591764179665,0.9945788513386367
2026090814,opposed_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.1,adam,False,2,0.8929113520645995,0.9992445361950727
2026090814,opposed_strong,16384,shunt_proportional_unit_proximal,0.1,adam,False,2,0.890509188547748,0.9991736263633759
