seed,task,budget,rule,rate,optimizer,primary_rate,best_step,validation_nmse,test_nmse,fixed_endpoint_test_nmse,parameters_sha256,n_changed_parameters,g_i0_changed,g_i1_changed
2026090820,aligned_strong,4096,hard_distal_unit_proximal,0.1,adam,False,2048,3.7077022795408974e-06,4.020998788679367e-06,0.0007407396351861632,6385040d6507b669017ea87e237e4f059bed830e71457f0c3b697cd5bd5a44f6,24,True,True
2026090820,aligned_strong,4096,swapped_distal_unit_proximal,0.1,adam,False,1024,0.002923268183516071,0.002721115937745978,0.0074003140154401,6d17cca9cd96d499aa89138a9c0e2bb1153d9b9696a26a29141c8f8dd920ad70,24,True,True
2026090820,aligned_strong,4096,hard_distal_and_proximal,0.1,adam,False,4096,4.083533066508578e-07,4.0066493540152395e-07,4.0066493540152395e-07,a1e4290f50bb4c58ac10fd568308ef5767eadc12726b081f214967788647198c,22,False,False
2026090820,aligned_strong,4096,ancestry_two_leaf_oracle_unit_proximal,0.1,adam,False,4096,4.863977893751294e-07,4.966164607578924e-07,4.966164607578924e-07,b4d217ed5cfaf6d0f1ff17a0b644ee0aba9359c2321253d61cd631cf13bc1da2,24,True,True
2026090820,aligned_strong,4096,shunt_proportional_unit_proximal,0.1,adam,False,4096,2.227018305693884e-06,2.305464591585668e-06,2.305464591585668e-06,e692acc69f10f796c14b76d6ff7c92c46365526f782413bf7c7eed816ec4e2cb,24,True,True
2026090820,aligned_strong,16384,exact,0.01,adam,False,16384,5.436802321671652e-08,5.4571953857969045e-08,5.4571953857969045e-08,a7ca830f955e12816a3a346e81f99d478a3d1b0baf70e96a80ae8c847a776ca9,24,True,True
2026090820,aligned_strong,16384,unit_broadcast,0.01,adam,False,16384,1.3389361745678218e-06,1.2722027201559722e-06,1.2722027201559722e-06,057f38a3791809bb5b2d7803af258aadf887c073030135e3a4ccc081f9d99c83,24,True,True
2026090820,aligned_strong,16384,calibrated_broadcast,0.01,adam,False,16384,1.339190163924513e-06,1.2724801011597367e-06,1.2724801011597367e-06,d8b6fc1e358f21bfbefd3d8211f2572a9cd257528575db664e613e3d61c25b42,24,True,True
2026090820,aligned_strong,16384,ancestry_three_oracle,0.01,adam,False,16384,2.4867095048656926e-07,2.5590260995426573e-07,2.5590260995426573e-07,342d8f46428420e87f5ab03c6b0832d748639858169d340aefcec5e93cbbee56,24,True,True
2026090820,aligned_strong,16384,hard_distal_unit_proximal,0.01,adam,False,12288,2.7390064896075407e-08,2.4684722344150092e-08,1.0057190528161415e-07,70c8247bede5ac56960bf546003e6f9b4c68f10ffdc6970614bf6e4eca8673f3,24,True,True
2026090820,aligned_strong,16384,swapped_distal_unit_proximal,0.01,adam,False,12288,0.006302208415407195,0.006625971875889574,0.008232971247491346,a5cc758f64de1a7aec4e3e64fc62fac9039606f501059966a79811cf727cf661,24,True,True
2026090820,aligned_strong,16384,hard_distal_and_proximal,0.01,adam,False,12288,6.964605088073357e-08,6.463754086212668e-08,1.77341670057577e-07,c2c525319a5304c868e863e907417b268fb53626e97dfb82c35e6225c0053fbb,22,False,False
2026090820,aligned_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.01,adam,False,12288,1.1221741115518803e-07,1.0881710448017201e-07,3.4971953823457535e-07,ece0ca6de5f872e5c1380d64a797c1bb7f4e90b9aed910096ae856f2821641ff,24,True,True
2026090820,aligned_strong,16384,shunt_proportional_unit_proximal,0.01,adam,False,12288,2.7088393927924872e-08,2.4376200555360034e-08,9.271620260145221e-08,170c35a9db873b6ac59bd2f8689275977cc98df9bff0a521576c1a58a02115d0,24,True,True
2026090820,aligned_strong,16384,exact,0.03,adam,True,12288,4.541260769012798e-08,4.2400895575780486e-08,2.997492260958185e-07,fd4de2fda42bc8e00de77d88dd11ed28ac6a8ba57314ae71ca6d4413e103612a,24,True,True
2026090820,aligned_strong,16384,unit_broadcast,0.03,adam,True,12288,3.966528787911312e-06,3.870106804547659e-06,6.4166936566615435e-06,77ee0498f41c443f5131cf0aa17162ff798610e1fb199557dabac1ef983da51e,24,True,True
2026090820,aligned_strong,16384,calibrated_broadcast,0.03,adam,True,16384,2.7865556210452786e-06,2.860336280344298e-06,2.860336280344298e-06,3a0fefe475da572a8747b41c73559d6c90c0d1184a9cebec906fa07246bd6f6c,24,True,True
2026090820,aligned_strong,16384,ancestry_three_oracle,0.03,adam,True,16384,1.7948800768691167e-06,1.8134661138009184e-06,1.8134661138009184e-06,fafad7cd060a2342c39b14650a39a1d3d131b6936a8a1fec4e98b734c9815ca9,24,True,True
2026090820,aligned_strong,16384,hard_distal_unit_proximal,0.03,adam,True,8192,2.3605807142229542e-07,2.2785024928475296e-07,1.0341510454546819e-05,87fb865f5082534f20e7b861d6b85bb9d77f8dd027e91a991a8b978e24ccd80f,24,True,True
2026090820,aligned_strong,16384,swapped_distal_unit_proximal,0.03,adam,True,256,0.0016960318826029174,0.0016938887752546673,0.00844802143833707,ea5bbd3e3abc443f1f554b5b9cfa938507047e8e79e39b19c092239bfb4f892b,24,True,True
2026090820,aligned_strong,16384,hard_distal_and_proximal,0.03,adam,True,12288,2.5580198491124246e-08,2.4598717075089232e-08,9.780714472341037e-08,379baca5cd1dddbfb7e8441735f77c00959a64bd929fbe126f6c6ce568adfde1,22,False,False
2026090820,aligned_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.03,adam,True,12288,1.1215036078276889e-07,1.1429037531499854e-07,4.023426328820418e-07,af474b828985352e559b3ba1330feac2425e56c949f25046939e2896af0b2e94,24,True,True
2026090820,aligned_strong,16384,shunt_proportional_unit_proximal,0.03,adam,True,16384,2.8108647869345774e-08,2.6503215409234914e-08,2.6503215409234914e-08,ffd816184e9b8f20e7d46f2a69dcf73cddfc0de4a79c942c50bb3f82e1c9880e,24,True,True
2026090820,aligned_strong,16384,exact,0.1,adam,False,8192,1.1188072402519445e-07,1.0614290804016811e-07,8.127264775003651e-06,72046d0c6a35ba69093fa9624b5ff60bc912aa7cc297c05d66277efcbf48d7cf,24,True,True
2026090820,aligned_strong,16384,unit_broadcast,0.1,adam,False,16384,2.1833583770989045e-06,2.03833555193816e-06,2.03833555193816e-06,27808d88369e72c7b6a4fdbd8e566e60757aefc1d6a3ca8d246e7ed1596909ce,24,True,True
2026090820,aligned_strong,16384,calibrated_broadcast,0.1,adam,False,12288,5.98689062898238e-06,6.255274886614595e-06,3.083188442759319e-05,7962dd1a8d805e238e248d5d08432cad12eab50fe40eb54d94e80a35fc001c73,24,True,True
2026090820,aligned_strong,16384,ancestry_three_oracle,0.1,adam,False,8192,6.53024996308348e-08,6.925586629330725e-08,1.0978369216589658e-07,18ca9cf7b8fa91ed7f9e0c25ba1aeaddd1682f3d6881e7a38ddcf6e876ddf686,24,True,True
2026090820,aligned_strong,16384,hard_distal_unit_proximal,0.1,adam,False,12288,5.3237991462950334e-08,5.371573156621533e-08,6.87941523490514e-05,ac2608acd4cb19c9d9dcf689b50a9308dcee53bbc2fb99d49a9cabaa21d7350b,24,True,True
2026090820,aligned_strong,16384,swapped_distal_unit_proximal,0.1,adam,False,1024,0.002923268183516071,0.002721115937745978,0.010530103404880992,6d17cca9cd96d499aa89138a9c0e2bb1153d9b9696a26a29141c8f8dd920ad70,24,True,True
2026090820,aligned_strong,16384,hard_distal_and_proximal,0.1,adam,False,4096,4.083533066508578e-07,4.0066493540152395e-07,0.002231059593768101,a1e4290f50bb4c58ac10fd568308ef5767eadc12726b081f214967788647198c,22,False,False
2026090820,aligned_strong,16384,ancestry_two_leaf_oracle_unit_proximal,0.1,adam,False,8192,1.3192253861470322e-07,1.3462521893221278e-07,2.2971450336202154e-05,4a2ef287eb0a6f7c6e5ce83037e48f7dca7321abc9da250b311e588ecd39d563,24,True,True
2026090820,aligned_strong,16384,shunt_proportional_unit_proximal,0.1,adam,False,16384,6.284980795039427e-08,6.148262346789547e-08,6.148262346789547e-08,92a380a0e78d376b0285aa38fbbf72cfe9b789dcf7712f01a643ea1f1b0dd525,24,True,True
2026090820,opposed_strong,4096,exact,0.01,adam,False,4096,4.7668804563917834e-05,4.5552997677971494e-05,4.5552997677971494e-05,25132e3ffb2147ed3ed6f02056f2eed4a681f48126fd3ce671d28dce94b4026c,24,True,True
2026090820,opposed_strong,4096,unit_broadcast,0.01,adam,False,2048,0.7164416628332283,0.7322518196091798,0.8239158216286616,3cd3dfd45ad74c558b429f3ffd1d1ad06d8295dc119e49f46f34cd2dbcebd56a,24,True,True
2026090820,opposed_strong,4096,calibrated_broadcast,0.01,adam,False,2048,0.7164415943280528,0.7322517403279587,0.8239160801497812,d04e26ce3886b9da8e7b2d8efe5dec40dd19400b9caf60cd47facf6420c45d23,24,True,True
