panel,record,budget_k,context,group_size,raw_coefficient_sum,normalized_coefficient_sum,normalization,control,cued_stream,b1,b2,b3,b4,b5,b6,b7,b8,architecture,feedback_family,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress,n_pairs,mean_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds,tied_seeds,p_two_sided_wilcoxon,p_exact_two_sided_mean_signflip,p_holm_four_budgets,p_holm_four_individual_controls_at_k4,p_exact_mean_signflip_holm_four_budgets,p_exact_mean_signflip_holm_four_individual_controls_at_k4,seed,accuracy_difference_pp,comparator_families,readout,calibration_samples,cue_noise_sd,cue_delay_trials,epoch,mean_accuracy_pct,ci95_low_pct,ci95_high_pct,mean_pp,p_wilcoxon,primary_family_holm_p,analysis_status,display_row
B,design prediction,4.0,4.0,2.0,0.85,0.6010407640085653,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,4.0,5.0,2.0,0.85,0.6010407640085653,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,4.0,6.0,2.0,0.85,0.6010407640085653,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,4.0,7.0,2.0,0.85,0.6010407640085653,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,0.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,1.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,2.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,3.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,4.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,5.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,6.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,design prediction,8.0,7.0,1.0,1.0,1.0,unit Euclidean norm per route row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,control support,,,,,,,random_rank_k,b3,0.057708817690270156,0.05604980208596022,0.9700403666235242,-0.1459776500384827,-0.028214117755305728,-0.09471217502182472,0.14613961049956126,0.010821578536350606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,control support,,,,,,,random_sparse_matched,b3,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,control support,,,,,,,depth_interleaved_bins,b3,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.7071067811865475,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,control support,,,,,,,within_neuron_route_derangement,b3,0.7071067811865475,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,ancestry support (normalized),,,,,,,correct_ancestry_subtrees,b3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,1.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.1866455078,0.1827148437,0.1907226563,19.87260017,19.58235723,20.19455524,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306428169,0.1319110322,0.3623277802,0.3614446927,0.363180812,-1.097266085,-1.101635403,-1.092769521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,condition_mean,2.0,,,,,,,,,,,,,,,,dendritic_tree,correct_ancestry_subtrees,20.0,0.4486328125,0.4288574219,0.4686523437,0.8416249512,0.8125954238,0.8717139489,0.0,0.0,0.0,0.2651939017,0.2641764421,0.2662309986,0.5149647929,0.5139844596,0.5159777259,-0.08484231529,-0.1569119101,-0.01520106749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
