panel,record,budget_k,context,group_size,raw_coefficient_sum,normalized_coefficient_sum,normalization,control,cued_stream,b1,b2,b3,b4,b5,b6,b7,b8,architecture,feedback_family,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress,n_pairs,mean_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds,tied_seeds,p_two_sided_wilcoxon,p_exact_two_sided_mean_signflip,p_holm_four_budgets,p_holm_four_individual_controls_at_k4,p_exact_mean_signflip_holm_four_budgets,p_exact_mean_signflip_holm_four_individual_controls_at_k4,seed,accuracy_difference_pp,comparator_families,readout,calibration_samples,cue_noise_sd,cue_delay_trials,epoch,mean_accuracy_pct,ci95_low_pct,ci95_high_pct,mean_pp,p_wilcoxon,primary_family_holm_p,analysis_status,display_row
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.0,62.841796875,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.0,61.9140625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,62.01171875,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.0,59.619140625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,59.912109375,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,61.181640625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.0,66.064453125,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212.0,62.939453125,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.0,60.791015625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214.0,58.251953125,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.0,62.255859375,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.0,59.375,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.0,58.056640625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.0,57.2265625,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,within_neuron_route_derangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.0,64.990234375,within_neuron_route_derangement,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,6.93359375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.0,6.298828125,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202.0,9.228515625,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203.0,4.736328125,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204.0,8.349609375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.0,9.912109375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.0,5.126953125,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,7.177734375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.0,10.15625,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,6.0546875,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,4.345703125,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.0,7.71484375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212.0,4.6875,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.0,5.810546875,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214.0,6.201171875,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.0,2.734375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.0,8.447265625,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.0,8.59375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.0,9.27734375,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,depth_interleaved_bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.0,10.44921875,depth_interleaved_bins,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,3.076171875,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.0,5.56640625,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202.0,4.98046875,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203.0,3.90625,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204.0,4.1015625,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.0,9.912109375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.0,4.1015625,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,3.7109375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.0,0.78125,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,4.58984375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,0.5859375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.0,3.3203125,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212.0,4.8828125,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.0,1.904296875,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214.0,3.02734375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.0,1.220703125,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.0,3.7109375,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.0,6.591796875,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.0,1.3671875,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_sparse_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.0,4.00390625,random_sparse_matched,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,-1.318359375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.0,-0.537109375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202.0,3.369140625,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203.0,0.732421875,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204.0,3.41796875,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.0,-0.146484375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.0,1.806640625,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,6.73828125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.0,3.173828125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,0.5859375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,-0.830078125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.0,0.146484375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212.0,3.759765625,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.0,1.611328125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214.0,6.787109375,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.0,-0.9765625,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.0,1.07421875,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.0,1.7578125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.0,13.134765625,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,random_rank_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.0,2.001953125,random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,-1.318359375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.0,-0.537109375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202.0,3.369140625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203.0,0.732421875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204.0,3.41796875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.0,-0.146484375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206.0,1.806640625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207.0,3.7109375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208.0,0.78125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,0.5859375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210.0,-0.830078125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.0,0.146484375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212.0,3.759765625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.0,1.611328125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214.0,3.02734375,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215.0,-0.9765625,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.0,1.07421875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217.0,1.7578125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218.0,1.3671875,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
E,paired_seed,4.0,,,,,,best_matched_nonanatomical_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.0,2.001953125,within_neuron_route_derangement;depth_interleaved_bins;random_sparse_matched;random_rank_k,,,,,,,,,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,16.0,0.0,0.0,80.0,19.39208984375,19.03076171875,19.76806640625,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,16.0,0.5,0.0,80.0,19.1552734375,18.80615234375,19.50439453125,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,16.0,1.0,0.0,80.0,19.0673828125,18.66455078125,19.45068359375,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,64.0,0.0,0.0,80.0,75.06103515625,74.52392578125,75.5908203125,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,64.0,0.5,0.0,80.0,21.38916015625,20.90087890625,21.8310546875,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,64.0,1.0,0.0,80.0,19.29931640625,18.837890625,19.74853515625,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,256.0,0.0,0.0,80.0,79.97802734375,79.599609375,80.3759765625,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,256.0,0.5,0.0,80.0,25.8251953125,24.9658203125,26.640625,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soft,256.0,1.0,0.0,80.0,19.27001953125,18.85009765625,19.677795410156246,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,16.0,0.0,0.0,80.0,80.29052734375,79.90966796875,80.68359375,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,16.0,0.5,0.0,80.0,32.4072265625,29.88031005859375,35.02447509765624,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,16.0,1.0,0.0,80.0,20.810546875,20.1806640625,21.4599609375,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,64.0,0.0,0.0,80.0,80.29052734375,79.90966796875,80.68359375,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,64.0,0.5,0.0,80.0,54.2236328125,51.5234375,56.68212890624999,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,64.0,1.0,0.0,80.0,22.29736328125,21.66748046875,22.900451660156246,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,256.0,0.0,0.0,80.0,80.29052734375,79.91204833984375,80.693359375,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,256.0,0.5,0.0,80.0,64.03076171875,62.4267578125,65.45654296875,,,,,
F,grid_mean,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,256.0,1.0,0.0,80.0,23.43994140625,22.68060302734375,24.2431640625,,,,,
F,paired_contrast,,,,,,,oracle_context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.6088867188,-60.1953125,0.0,,,,,,,,,,,soft,16.0,0.0,0.0,,,,,-60.8984375,8.84491502121e-05,,,
F,paired_contrast,,,,,,,frozen_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5224609375,0.9326171875,18.0,,,,,,,,,,,soft,16.0,0.0,0.0,,,,,0.72265625,0.000129049051718,,,
F,paired_contrast,,,,,,,mismatched_encoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55908203125,1.05712890625,19.0,,,,,,,,,,,soft,16.0,0.0,0.0,,,,,0.81298828125,0.000252650576145,,,
F,paired_contrast,,,,,,,oracle_context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.8237304688,-60.4638671875,0.0,,,,,,,,,,,soft,16.0,0.5,0.0,,,,,-61.1352539062,8.84491502121e-05,,,
F,paired_contrast,,,,,,,frozen_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30517578125,0.6591796875,17.0,,,,,,,,,,,soft,16.0,0.5,0.0,,,,,0.48583984375,0.000445218487698,,,
F,paired_contrast,,,,,,,mismatched_encoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27587890625,0.6640625,16.0,,,,,,,,,,,soft,16.0,0.5,0.0,,,,,0.47119140625,0.000768907276141,,,
F,paired_contrast,,,,,,,oracle_context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.9409179688,-60.5493164062,0.0,,,,,,,,,,,soft,16.0,1.0,0.0,,,,,-61.2231445312,8.84491502121e-05,,,
F,paired_contrast,,,,,,,frozen_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224609375,0.57373046875,15.0,,,,,,,,,,,soft,16.0,1.0,0.0,,,,,0.39794921875,0.00128118703539,,,
