panel,record,block,block_size,eta,kappa,root_id,identity_residual,perturbation,category,mean,ci95_low,ci95_high,n_cells,regime,value,dose,condition,cells_positive,cohort,mean_signed_log_change,mean_absolute_log_change,maximum_sign_flip_fraction,membrane_resistance_ohm_cm2,background_leak_multiplier
B,derived_gain,4227.0,17.0,0.9583148623463258,0.3897874146964674,864691135409937097,1.3877787807814457e-17,,,,,,,,,,,,,,,,,
B,derived_gain,4220.0,5.0,0.9775679439637557,0.3897874146964674,864691135409937097,1.3877787807814457e-17,,,,,,,,,,,,,,,,,
B,derived_gain,4216.0,4.0,0.9875404577733838,0.3897874146964674,864691135409937097,1.3877787807814457e-17,,,,,,,,,,,,,,,,,
B,derived_gain,4209.0,6.0,0.9940459041056274,0.3897874146964674,864691135409937097,1.3877787807814457e-17,,,,,,,,,,,,,,,,,
B,derived_gain,0.0,46.0,0.997969825473052,0.3897874146964674,864691135409937097,1.3877787807814457e-17,,,,,,,,,,,,,,,,,
C,cohort_mean,,,,,,,focal shunt,descendant,0.11008151725848012,0.0871877305676568,0.1302113726780167,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,focal shunt,descendant,,,,,,0.09980440803696877,,,,,,,,,
C,cell_value,,,,,864691135196576298,,focal shunt,descendant,,,,,,0.048046488348488375,,,,,,,,,
C,cell_value,,,,,864691135277186789,,focal shunt,descendant,,,,,,0.12556193492204376,,,,,,,,,
C,cell_value,,,,,864691135324623260,,focal shunt,descendant,,,,,,0.1221032613305614,,,,,,,,,
C,cell_value,,,,,864691135409937097,,focal shunt,descendant,,,,,,0.12296942004434505,,,,,,,,,
C,cell_value,,,,,864691135739661169,,focal shunt,descendant,,,,,,0.15174973084874777,,,,,,,,,
C,cell_value,,,,,864691135810666525,,focal shunt,descendant,,,,,,0.13387624769635945,,,,,,,,,
C,cell_value,,,,,864691136043380566,,focal shunt,descendant,,,,,,0.07654064684032635,,,,,,,,,
C,cohort_mean,,,,,,,focal shunt,sister,0.022106991879912073,0.01972118304751934,0.02455187145560072,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,focal shunt,sister,,,,,,0.024256321758300833,,,,,,,,,
C,cell_value,,,,,864691135196576298,,focal shunt,sister,,,,,,0.028879615920585473,,,,,,,,,
C,cell_value,,,,,864691135277186789,,focal shunt,sister,,,,,,0.022197574155137036,,,,,,,,,
C,cell_value,,,,,864691135324623260,,focal shunt,sister,,,,,,0.01794567201765545,,,,,,,,,
C,cell_value,,,,,864691135409937097,,focal shunt,sister,,,,,,0.0220889732051934,,,,,,,,,
C,cell_value,,,,,864691135739661169,,focal shunt,sister,,,,,,0.021229681954203137,,,,,,,,,
C,cell_value,,,,,864691135810666525,,focal shunt,sister,,,,,,0.023287582746762618,,,,,,,,,
C,cell_value,,,,,864691136043380566,,focal shunt,sister,,,,,,0.016970513281458627,,,,,,,,,
C,cohort_mean,,,,,,,focal shunt,ancestor,0.006945445562939308,0.0043087562850351105,0.010098088225480965,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,focal shunt,ancestor,,,,,,0.0041068821852116855,,,,,,,,,
C,cell_value,,,,,864691135196576298,,focal shunt,ancestor,,,,,,0.016038452742417227,,,,,,,,,
C,cell_value,,,,,864691135277186789,,focal shunt,ancestor,,,,,,0.003972142281520927,,,,,,,,,
C,cell_value,,,,,864691135324623260,,focal shunt,ancestor,,,,,,0.01099368422741614,,,,,,,,,
C,cell_value,,,,,864691135409937097,,focal shunt,ancestor,,,,,,0.0042759351837231,,,,,,,,,
C,cell_value,,,,,864691135739661169,,focal shunt,ancestor,,,,,,0.008690022361551487,,,,,,,,,
C,cell_value,,,,,864691135810666525,,focal shunt,ancestor,,,,,,0.0031212078244009815,,,,,,,,,
C,cell_value,,,,,864691136043380566,,focal shunt,ancestor,,,,,,0.004365237697272912,,,,,,,,,
C,cohort_mean,,,,,,,focal shunt,depth-matched unrelated,0.005746165630654096,0.0028529428578545884,0.008969594311752904,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,focal shunt,depth-matched unrelated,,,,,,0.0030246891780171124,,,,,,,,,
C,cell_value,,,,,864691135196576298,,focal shunt,depth-matched unrelated,,,,,,0.013347535147523725,,,,,,,,,
C,cell_value,,,,,864691135277186789,,focal shunt,depth-matched unrelated,,,,,,0.0035795518611379,,,,,,,,,
C,cell_value,,,,,864691135324623260,,focal shunt,depth-matched unrelated,,,,,,0.00865408658953519,,,,,,,,,
C,cell_value,,,,,864691135409937097,,focal shunt,depth-matched unrelated,,,,,,0.0014932411845616932,,,,,,,,,
C,cell_value,,,,,864691135739661169,,focal shunt,depth-matched unrelated,,,,,,0.011554032940334675,,,,,,,,,
C,cell_value,,,,,864691135810666525,,focal shunt,depth-matched unrelated,,,,,,0.0011650821314339388,,,,,,,,,
C,cell_value,,,,,864691136043380566,,focal shunt,depth-matched unrelated,,,,,,0.003151106012688531,,,,,,,,,
C,cohort_mean,,,,,,,focal shunt,unrelated,0.004368607968124056,0.0018922359678713856,0.007386463706402971,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,focal shunt,unrelated,,,,,,0.001071100211169952,,,,,,,,,
C,cell_value,,,,,864691135196576298,,focal shunt,unrelated,,,,,,0.013347535147523975,,,,,,,,,
C,cell_value,,,,,864691135277186789,,focal shunt,unrelated,,,,,,0.0013298235167862162,,,,,,,,,
C,cell_value,,,,,864691135324623260,,focal shunt,unrelated,,,,,,0.00652458187407869,,,,,,,,,
C,cell_value,,,,,864691135409937097,,focal shunt,unrelated,,,,,,0.001453393055969297,,,,,,,,,
C,cell_value,,,,,864691135739661169,,focal shunt,unrelated,,,,,,0.0071268308528698015,,,,,,,,,
C,cell_value,,,,,864691135810666525,,focal shunt,unrelated,,,,,,0.001098831332847331,,,,,,,,,
C,cell_value,,,,,864691136043380566,,focal shunt,unrelated,,,,,,0.0029967677537471845,,,,,,,,,
C,cohort_mean,,,,,,,matched additive,descendant,0.03517892033180595,0.020971922554183807,0.05166532169143928,8.0,normalized passive,,,,,,,,,,
C,cell_value,,,,,864691135060651419,,matched additive,descendant,,,,,,0.021710599551370745,,,,,,,,,
C,cell_value,,,,,864691135196576298,,matched additive,descendant,,,,,,0.005994023352308875,,,,,,,,,
C,cell_value,,,,,864691135277186789,,matched additive,descendant,,,,,,0.03519490035873489,,,,,,,,,
C,cell_value,,,,,864691135324623260,,matched additive,descendant,,,,,,0.0313886885922262,,,,,,,,,
C,cell_value,,,,,864691135409937097,,matched additive,descendant,,,,,,0.06244369804999842,,,,,,,,,
C,cell_value,,,,,864691135739661169,,matched additive,descendant,,,,,,0.07925194579233495,,,,,,,,,
