panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,task
C,seed outcome,exact,,,,,,tonic,ood_3.0,2026092216.0,0.1700417624422863,,,
C,seed outcome,exact,,,,,,tonic,ood_3.0,2026092217.0,0.1532089610418057,,,
C,seed outcome,exact,,,,,,tonic,ood_3.0,2026092218.0,0.1796594903315782,,,
C,seed outcome,exact,,,,,,tonic,ood_3.0,2026092219.0,0.3130650208608173,,,
C,mean and bootstrap interval,broadcast,,0.4570277241965434,0.4141100453225561,0.5012801599144188,20.0,tonic,ood_3.0,,,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092200.0,0.4047867964610014,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092201.0,0.5109193765663721,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092202.0,0.3991564511960819,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092203.0,0.3889356432771146,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092204.0,0.3757261286556291,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092205.0,0.3993981548235794,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092206.0,0.641193512446348,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092207.0,0.28924792770352,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092208.0,0.4343592606706048,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092209.0,0.6113347886460977,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092210.0,0.4895435463143147,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092211.0,0.6034065197834102,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092212.0,0.4802042824861414,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092213.0,0.4286115262100832,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092214.0,0.4483294615533323,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092215.0,0.4286406886932021,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092216.0,0.2739812583575397,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092217.0,0.4815847953804434,,,
C,seed outcome,broadcast,,,,,,tonic,ood_3.0,2026092218.0,0.4155448709019039,,,
