panel,record,latent_feature,increasing,decreasing,task,rule,rate,step,mean,ci_low,ci_high,budget,seed,best_step,test_nmse,fixed_endpoint_test_nmse,n_changed_parameters,g_i0_changed,g_i1_changed,n,mean_fixed_endpoint,context,z1,quantity
A,nominal teacher,-0.3599999999999999,0.31967104785978795,0.6265099485412855,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.33999999999999986,0.3274345860706603,0.6184028086014538,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.32000000000000006,0.3353020361609456,0.6102080897922727,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.30000000000000004,0.34326946096016503,0.6019302696677581,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.28,0.35133267858987327,0.5935740498806128,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.26,0.3594872688851671,0.585144347757467,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.24,0.36772858103523887,0.5766462867025064,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.21999999999999997,0.3760517424323156,0.5680851854537033,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.19999999999999996,0.3844516687079604,0.5594665462261751,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.17999999999999994,0.3929230749251903,0.5507960417875135,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.15999999999999992,0.40146048788433136,0.542079501520109,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.1399999999999999,0.41005825949012564,0.5333228965353979,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.11999999999999988,0.41871058111746706,0.5245323239144464,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.09999999999999987,0.42741149890342345,0.5157139901582136,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.08000000000000007,0.4361549298840364,0.5068741939390666,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.06000000000000005,0.4449346788859243,0.49801930825253066,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.040000000000000036,0.4537444560750661,0.48915576207472805,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,-0.020000000000000018,0.4625778950584453,0.48029002163638446,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.0,0.4714285714285714,0.4714285714285714,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.020000000000000018,0.48029002163638446,0.4625778950584453,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.040000000000000036,0.48915576207472805,0.4537444560750661,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.06000000000000005,0.49801930825253066,0.4449346788859243,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.08000000000000007,0.5068741939390666,0.4361549298840364,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.10000000000000009,0.5157139901582136,0.4274114989034234,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.1200000000000001,0.5245323239144465,0.41871058111746706,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.14000000000000012,0.533322896535398,0.4100582594901256,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.16000000000000014,0.5420795015201091,0.40146048788433125,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.18000000000000016,0.5507960417875135,0.3929230749251902,,,,,,,,,,,,,,,,,,,,
A,nominal teacher,0.20000000000000018,0.5594665462261752,0.3844516687079603,,,,,,,,,,,,,,,,,,,,
