target_root_id,target_nucleus_id,method,heldout_normalized_mse,heldout_normalized_mse_sd,common_checkpoint_error_field_capture,common_checkpoint_update_capture,common_checkpoint_update_cosine,final_training_objective,mean_learned_conductance
864691135060651419,256550,exact compartment error,0.8399059571607829,0.027364998426898657,1.0,1.0,1.0,0.47307937587684695,0.6890966539236061
864691135060651419,256550,random anatomical routes,0.8936010987930989,0.029990691271738083,0.2570141369037297,0.262816772662307,0.4394048004373077,0.5141714629619173,0.5968376180692748
864691135060651419,256550,site-shuffled routes,0.9247867140318332,0.053169196846099005,0.44798770464814747,0.45079874252736163,0.5688652925130296,0.523205201619774,0.4481645530618967
864691135060651419,256550,topology-matched routes,0.8704831027126189,0.03811957561534107,0.0777906773493743,0.0702197932545935,0.1784649166631497,0.5082596141964453,0.5865331314013115
864691135196576298,264888,exact compartment error,0.7602596605529113,,1.0,1.0,1.0,0.35669076075645284,0.46339264468551356
864691135196576298,264888,random anatomical routes,0.7927329921026718,,0.7342172067968472,0.6970396173587103,0.8298762369678769,0.36961354785556777,0.42906619991155
864691135196576298,264888,site-shuffled routes,0.8097907883699691,,0.5974260886746383,0.537210233246283,0.7339488545860695,0.37940039501425127,0.3935076937738335
864691135196576298,264888,topology-matched routes,0.777547305410297,,0.575978026369812,0.541670522719416,0.745811923941031,0.3810299024300045,0.2526193739019184
864691135277186789,258209,exact compartment error,0.8092755635265516,0.06076227895993896,1.0,1.0,1.0,0.42163119462690984,0.4664432045685049
864691135277186789,258209,random anatomical routes,0.8904457143633308,0.03260399711008825,0.2718290303895252,0.2415392162627898,0.44285041656057966,0.4753561426788725,0.38905522941402815
864691135277186789,258209,site-shuffled routes,0.8855436059673296,0.07349297305050274,0.1927569294382535,0.1722490346598311,0.3863011826261339,0.47705435493974924,0.32664419677685375
864691135277186789,258209,topology-matched routes,0.8901281078058516,0.0636606522716255,0.0908005786208944,0.06493700859059172,0.25639548835197845,0.48006470151796277,0.31819726118653435
864691135324623260,264889,exact compartment error,0.7936895217266451,,1.0,1.0,1.0,0.39410719676778333,1.3199464503130651
864691135324623260,264889,random anatomical routes,0.7861628801712277,,0.2497931279691271,0.23997312903433218,0.36520046344678847,0.41344868516087485,2.4978425011091367
864691135324623260,264889,site-shuffled routes,0.8182843238551376,,0.5003520818866518,0.5346789531789179,0.6496405366210405,0.42766679254965523,2.070509032485713
864691135324623260,264889,topology-matched routes,0.7843106318678684,,0.06277918983347368,0.051293761612000346,0.20960090358989616,0.4135516341140776,2.494758627344365
864691135409937097,291111,exact compartment error,0.88799096610561,,1.0,1.0,1.0,0.4313396010356727,0.48825496457262896
864691135409937097,291111,random anatomical routes,0.9438423316408568,,0.42920206737306366,0.39770974509077706,0.5838116926605579,0.46598350661811044,0.4743199891455128
864691135409937097,291111,site-shuffled routes,0.910821373723954,,0.445435409374499,0.3939459066303036,0.6049595492565718,0.467763230112479,0.3089938597165923
864691135409937097,291111,topology-matched routes,0.9528313733784003,,0.4240742841382845,0.2971352602074017,0.5192985251633943,0.4926812836541476,0.4628652901972138
864691135739661169,264871,exact compartment error,0.7910789744131211,,1.0,1.0,1.0,0.408666477065273,0.73596399780658
864691135739661169,264871,random anatomical routes,0.7906062049699039,,0.42192183041705683,0.3824975135258259,0.5877993146093654,0.4107381448264767,0.8648404784362184
864691135739661169,264871,site-shuffled routes,0.8094454819515166,,0.6263717440762764,0.651509757675627,0.7551325508439828,0.4421499973811419,0.7487134363173158
864691135739661169,264871,topology-matched routes,0.7905121470395706,,0.25224685069385416,0.16271075323886103,0.41005681047656894,0.4114184616646407,0.8564261113607404
864691135810666525,256456,exact compartment error,0.6314434458444447,0.19053924786146278,1.0,1.0,1.0,0.440087980636745,0.7529514095830863
864691135810666525,256456,random anatomical routes,0.7359872866965024,0.14366334377565051,0.3045492592097944,0.2874237790620774,0.4340151371694108,0.500750698000563,0.9250274152004734
864691135810666525,256456,site-shuffled routes,0.7148205484465192,0.17081037728842893,0.34219269526801516,0.3340610205522048,0.486651997536171,0.48865941956412606,0.8675023038631398
864691135810666525,256456,topology-matched routes,0.7587397506115681,0.09390798470713231,0.42576581367391986,0.4373232957054028,0.5989628581198078,0.5193098736964936,0.8101200723906794
