seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,state,gradient_cosine,exact_gradient_norm,delivered_gradient_norm,gradient_relative_error,path_capture
15414,0,01_23,True,fresh,0,sgd,0.3,0,01_23,exact_path,0,common_exact_state,0.9999999999999999,0.8314422124002503,0.8314422124002503,0.0,1.0
15414,0,01_23,True,fresh,0,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9969649929074531,0.8314422124002503,0.848797977892591,0.08143990043807084,0.9842415845557918
15414,0,01_23,True,fresh,0,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9976583337043544,0.8314422124002503,0.8408563315491988,0.06974641496751392,0.9868370336178736
15414,0,01_23,True,fresh,0,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9969588025882573,0.8314422124002503,0.8415085539619276,0.07938901940868444,0.9858035863263266
15414,0,01_23,False,fresh,0,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,0.8523589297511298,0.8523589297511298,0.0,1.0
15414,0,01_23,False,fresh,0,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.9972947065654365,0.8523589297511298,0.8673607324701714,0.0762599947771159,0.9842415845557918
15414,0,01_23,False,fresh,0,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9979085309472058,0.8523589297511298,0.8590737893871936,0.06540606710595266,0.9868370336178736
15414,0,01_23,False,fresh,0,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.997265478284127,0.8523589297511298,0.8602960362332576,0.07487778586359908,0.9858035863263266
15414,0,01_23,False,fresh,0,sgd,0.3,2,03_12,exact_path,0,common_exact_state,0.9999999999999999,0.8856837278343349,0.8856837278343349,0.0,1.0
15414,0,01_23,False,fresh,0,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.9969013353371815,0.8856837278343349,0.9003559978718558,0.08108284727667493,0.9842415845557918
15414,0,01_23,False,fresh,0,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.9976224828564912,0.8856837278343349,0.8919003692124348,0.06955340978548774,0.9868370336178736
15414,0,01_23,False,fresh,0,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9968932140340996,0.8856837278343349,0.8928294786057558,0.07955373673365627,0.9858035863263266
15414,0,01_23,True,fresh,0,adam,0.01,0,01_23,exact_path,0,common_exact_state,0.9999999999999999,0.8314422124002503,0.8314422124002503,0.0,1.0
15414,0,01_23,True,fresh,0,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.9969649929074531,0.8314422124002503,0.848797977892591,0.08143990043807084,0.9842415845557918
15414,0,01_23,True,fresh,0,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9976583337043544,0.8314422124002503,0.8408563315491988,0.06974641496751392,0.9868370336178736
15414,0,01_23,True,fresh,0,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.9969588025882573,0.8314422124002503,0.8415085539619276,0.07938901940868444,0.9858035863263266
15414,0,01_23,False,fresh,0,adam,0.01,1,02_13,exact_path,0,common_exact_state,1.0,0.8523589297511298,0.8523589297511298,0.0,1.0
15414,0,01_23,False,fresh,0,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9972947065654365,0.8523589297511298,0.8673607324701714,0.0762599947771159,0.9842415845557918
15414,0,01_23,False,fresh,0,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9979085309472058,0.8523589297511298,0.8590737893871936,0.06540606710595266,0.9868370336178736
15414,0,01_23,False,fresh,0,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.997265478284127,0.8523589297511298,0.8602960362332576,0.07487778586359908,0.9858035863263266
15414,0,01_23,False,fresh,0,adam,0.01,2,03_12,exact_path,0,common_exact_state,0.9999999999999999,0.8856837278343349,0.8856837278343349,0.0,1.0
